,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-278494.0,-52663.0
Net Income From Continuing Operation Net Minority Interest,1071221.0,-52663.0
EBITDA,-278494.0,-52663.0
EBIT,-278494.0,-52663.0
Net Interest Income,1349715.0,
Interest Income,1349715.0,
Normalized Income,1071221.0,-52663.0
Net Income From Continuing And Discontinued Operation,1071221.0,-52663.0
Total Expenses,278494.0,52663.0
Total Operating Income As Reported,-278494.0,
Diluted Average Shares,16365385.0,25000000.0
Basic Average Shares,16365385.0,25000000.0
Diluted EPS,0.07,-0.002107
Basic EPS,0.07,-0.002107
Diluted NI Availto Com Stockholders,1071221.0,-52663.0
Net Income Common Stockholders,1071221.0,-52663.0
Net Income,1071221.0,-52663.0
Net Income Including Noncontrolling Interests,1071221.0,-52663.0
Net Income Continuous Operations,1071221.0,-52663.0
Pretax Income,1071221.0,-52663.0
Net Non Operating Interest Income Expense,1349715.0,
Interest Income Non Operating,1349715.0,
Operating Income,-278494.0,-52663.0
Operating Expense,278494.0,52663.0
Selling General And Administration,278494.0,52663.0
General And Administrative Expense,278494.0,52663.0
Other Gand A,278494.0,52663.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
