,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-2571576.0,-2794984.0,-2048243.0,-5598769.0
Total Unusual Items,16021.0,-209700.0,,47583.0
Total Unusual Items Excluding Goodwill,16021.0,-209700.0,,47583.0
Net Income From Continuing Operation Net Minority Interest,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Reconciled Depreciation,615805.0,507598.0,691210.0,769927.0
Reconciled Cost Of Revenue,1688624.0,1541677.0,1576838.0,4723267.0
EBITDA,-2555555.0,-3004684.0,-2048243.0,-5551186.0
EBIT,-3171365.0,-3512282.0,-2739453.0,-6321113.0
Net Interest Income,-1172742.0,-707714.0,-1544862.0,-1749309.0
Interest Expense,1172742.0,707714.0,1544862.0,1749309.0
Normalized Income,-4360128.0,-4010296.0,-4284315.0,-8118005.0
Net Income From Continuing And Discontinued Operation,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Total Expenses,5957511.0,5876811.0,5167172.0,10722409.0
Total Operating Income As Reported,-3207206.0,-4059845.0,-2762605.0,-4879817.0
Diluted Average Shares,82669.0,57317.0,12510.0,
Basic Average Shares,82669.0,57317.0,12510.0,
Diluted EPS,-52.569993,-73.584,-342.09,
Basic EPS,-52.569993,-73.584,-342.09,
Diluted NI Availto Com Stockholders,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Net Income Common Stockholders,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Preferred Stock Dividends,,,,0.0
Net Income,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Net Income Including Noncontrolling Interests,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Net Income Continuous Operations,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Tax Provision,,,0.0,0.0
Pretax Income,-4344107.0,-4219996.0,-4284315.0,-8070422.0
Other Income Expense,35841.0,80826.0,23152.0,732297.0
Other Non Operating Income Expenses,19820.0,290526.0,23152.0,684714.0
Special Income Charges,16021.0,-209700.0,,194096.0
Other Special Charges,-16021.0,-257037.0,,-194096.0
Impairment Of Capital Assets,0.0,466737.0,,
Net Non Operating Interest Income Expense,-1172742.0,-707714.0,-1544862.0,-1749309.0
Interest Expense Non Operating,1172742.0,707714.0,1544862.0,1749309.0
Operating Income,-3207206.0,-3593108.0,-2762605.0,-7053410.0
Operating Expense,4268892.0,4335129.0,3590334.0,5999142.0
Depreciation Amortization Depletion Income Statement,615810.0,507593.0,691210.0,769927.0
Depreciation And Amortization In Income Statement,615810.0,507593.0,691210.0,769927.0
Selling General And Administration,3653082.0,3827536.0,2899124.0,5229215.0
General And Administrative Expense,3653082.0,3827536.0,2899124.0,5229215.0
Other Gand A,1606862.0,3827536.0,2899124.0,3658844.0
Salaries And Wages,2046220.0,1410735.0,1472374.0,1570371.0
Gross Profit,1061686.0,742021.0,827729.0,-1054268.0
Cost Of Revenue,1688619.0,1541682.0,1576838.0,4723267.0
Total Revenue,2750305.0,2283703.0,2404567.0,3668999.0
Operating Revenue,2750305.0,2283703.0,2404567.0,3668999.0
