,2024-09-30,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,-2321.428571,0.0,
Tax Rate For Calcs,0.0,0.21,0.0,0.008929,0.0,
Normalized EBITDA,-1072000.0,-1018000.0,-1136000.0,-884000.0,-839000.0,
Total Unusual Items,0.0,0.0,,-260000.0,0.0,398000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,,-260000.0,0.0,398000.0
Net Income From Continuing Operation Net Minority Interest,-1040000.0,-983000.0,-1136000.0,-1221000.0,-895000.0,
Reconciled Depreciation,0.0,0.0,0.0,86000.0,86000.0,
Reconciled Cost Of Revenue,499000.0,491000.0,629000.0,655000.0,648000.0,
EBITDA,-1072000.0,-1018000.0,-1136000.0,-1144000.0,-839000.0,
EBIT,-1072000.0,-1018000.0,-1136000.0,-1230000.0,-925000.0,
Net Interest Income,32000.0,44000.0,0.0,164000.0,30000.0,
Interest Expense,,,0.0,2000.0,15000.0,6000.0
Interest Income,32000.0,44000.0,,,30000.0,42000.0
Normalized Income,-1040000.0,-983000.0,-1136000.0,-963321.428571,-895000.0,
Net Income From Continuing And Discontinued Operation,-1040000.0,-983000.0,-1136000.0,-1221000.0,-895000.0,
Total Expenses,1650000.0,1629000.0,1810000.0,1960000.0,1797000.0,
Total Operating Income As Reported,-1072000.0,-1018000.0,-1184000.0,-1276000.0,-925000.0,
Diluted Average Shares,890943.0,572050.0,428075.0,,66679.0,62175.0
Basic Average Shares,890943.0,572050.0,428075.0,,66679.0,62175.0
Diluted EPS,-11.25,-1.6,-2.8,,-15.403,-31.2
Basic EPS,-11.25,-1.6,-2.8,,-15.403,-31.2
Diluted NI Availto Com Stockholders,-10026000.0,-1003000.0,-1180000.0,-1282000.0,-1028000.0,
Net Income Common Stockholders,-10026000.0,-1003000.0,-1180000.0,-1282000.0,-1028000.0,
Otherunder Preferred Stock Dividend,8974000.0,0.0,0.0,0.0,0.0,
Preferred Stock Dividends,12000.0,20000.0,44000.0,61000.0,133000.0,
Net Income,-1040000.0,-983000.0,-1136000.0,-1221000.0,-895000.0,
Net Income Including Noncontrolling Interests,-1040000.0,-983000.0,-1136000.0,-1221000.0,-895000.0,
Net Income Continuous Operations,-1040000.0,-983000.0,-1136000.0,-1221000.0,-895000.0,
Tax Provision,0.0,9000.0,0.0,-11000.0,0.0,
Pretax Income,-1040000.0,-974000.0,-1136000.0,-1232000.0,-895000.0,
Other Income Expense,,,48000.0,-380000.0,45000.0,398000.0
Other Non Operating Income Expenses,,,48000.0,,45000.0,48000.0
Special Income Charges,0.0,0.0,,-260000.0,0.0,398000.0
Other Special Charges,,,,0.0,,-400000.0
Write Off,,,,,0.0,2000.0
Impairment Of Capital Assets,0.0,0.0,,260000.0,0.0,2000.0
Net Non Operating Interest Income Expense,32000.0,44000.0,0.0,164000.0,30000.0,
Interest Expense Non Operating,,,0.0,2000.0,15000.0,6000.0
Interest Income Non Operating,32000.0,44000.0,,,30000.0,42000.0
Operating Income,-1072000.0,-1018000.0,-1184000.0,-1016000.0,-925000.0,
Operating Expense,1151000.0,1138000.0,1181000.0,1305000.0,1149000.0,
Depreciation Amortization Depletion Income Statement,0.0,0.0,0.0,86000.0,86000.0,
Depreciation And Amortization In Income Statement,0.0,0.0,0.0,86000.0,86000.0,
Amortization,0.0,0.0,,,86000.0,87000.0
Amortization Of Intangibles Income Statement,0.0,0.0,,,86000.0,87000.0
Research And Development,38000.0,65000.0,50000.0,4000.0,5000.0,
Selling General And Administration,1113000.0,1073000.0,1131000.0,1215000.0,1058000.0,
Selling And Marketing Expense,66000.0,57000.0,54000.0,68000.0,81000.0,
General And Administrative Expense,1047000.0,1016000.0,1077000.0,1147000.0,977000.0,
Other Gand A,1047000.0,1016000.0,1077000.0,1147000.0,977000.0,
Gross Profit,79000.0,120000.0,-3000.0,289000.0,224000.0,
Cost Of Revenue,499000.0,491000.0,629000.0,655000.0,648000.0,
Total Revenue,578000.0,611000.0,626000.0,944000.0,872000.0,
Operating Revenue,578000.0,611000.0,626000.0,944000.0,872000.0,
