,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-295128.0,-33600.0
Net Income From Continuing Operation Net Minority Interest,2010116.0,-33600.0
EBITDA,-295128.0,-33600.0
EBIT,-295128.0,-33600.0
Net Interest Income,2305244.0,
Interest Income,2305244.0,
Normalized Income,2010116.0,-33600.0
Net Income From Continuing And Discontinued Operation,2010116.0,-33600.0
Total Expenses,295128.0,33600.0
Total Operating Income As Reported,-295128.0,
Diluted Average Shares,18750000.0,35937500.0
Basic Average Shares,14048913.0,35937500.0
Diluted EPS,0.08,-0.000935
Basic EPS,0.08,-0.000935
Diluted NI Availto Com Stockholders,2010116.0,-33600.0
Net Income Common Stockholders,2010116.0,-33600.0
Net Income,2010116.0,-33600.0
Net Income Including Noncontrolling Interests,2010116.0,-33600.0
Net Income Continuous Operations,2010116.0,-33600.0
Pretax Income,2010116.0,-33600.0
Net Non Operating Interest Income Expense,2305244.0,
Interest Income Non Operating,2305244.0,
Operating Income,-295128.0,-33600.0
Operating Expense,295128.0,33600.0
Selling General And Administration,295128.0,33600.0
General And Administrative Expense,295128.0,33600.0
Other Gand A,295128.0,33600.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
