,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-18608224.752788,-98369880.0,-5193720.0,-3086115.0
Tax Rate For Calcs,0.046865,0.21,0.21,0.283
Normalized EBITDA,7989000.0,-451000.0,3418000.0,1240000.0
Total Unusual Items,-397059000.0,-468428000.0,-24732000.0,-10905000.0
Total Unusual Items Excluding Goodwill,-397059000.0,-468428000.0,-24732000.0,-10905000.0
Net Income From Continuing Operation Net Minority Interest,-398662000.0,-523388000.0,-40203000.0,-19509000.0
Reconciled Depreciation,26379000.0,26293000.0,11721000.0,11341000.0
Reconciled Cost Of Revenue,48214000.0,41687000.0,26558000.0,23867000.0
EBITDA,-389070000.0,-468879000.0,-21314000.0,-9665000.0
EBIT,-415449000.0,-495172000.0,-33035000.0,-21006000.0
Net Interest Income,-2753000.0,-987000.0,-4971000.0,-4967000.0
Interest Expense,2815000.0,1813000.0,6202000.0,6201000.0
Interest Income,62000.0,826000.0,1231000.0,1234000.0
Normalized Income,-20211224.752788,-153329880.0,-20664720.0,-11690115.0
Net Income From Continuing And Discontinued Operation,-398662000.0,-523388000.0,-40203000.0,-19509000.0
Total Expenses,133173000.0,128363000.0,72654000.0,70212000.0
Total Operating Income As Reported,-410289000.0,-492904000.0,-34418000.0,-22458000.0
Diluted Average Shares,71487725.0,71465493.0,41651366.0,41651366.0
Basic Average Shares,71487725.0,71465493.0,41651366.0,41651366.0
Diluted EPS,-5.58,-7.32,-0.965226,-0.47
Basic EPS,-5.58,-7.32,-0.965226,-0.47
Diluted NI Availto Com Stockholders,-398662000.0,-523388000.0,-40203000.0,-19509000.0
Net Income Common Stockholders,-398662000.0,-523388000.0,-40203000.0,-19509000.0
Net Income,-398662000.0,-523388000.0,-40203000.0,-19509000.0
Net Income Including Noncontrolling Interests,-398662000.0,-523388000.0,-40203000.0,-19509000.0
Net Income Continuous Operations,-398662000.0,-523388000.0,-40203000.0,-19509000.0
Tax Provision,-19602000.0,26403000.0,966000.0,-7698000.0
Pretax Income,-418264000.0,-496985000.0,-39237000.0,-27207000.0
Other Income Expense,-402281000.0,-471522000.0,-24580000.0,-10687000.0
Other Non Operating Income Expenses,-5222000.0,-3094000.0,152000.0,218000.0
Special Income Charges,-397059000.0,-468428000.0,-24732000.0,-10905000.0
Impairment Of Capital Assets,382248000.0,459100000.0,155000.0,1864000.0
Restructuring And Mergern Acquisition,14811000.0,9328000.0,24577000.0,9041000.0
Net Non Operating Interest Income Expense,-2753000.0,-987000.0,-4971000.0,-4967000.0
Interest Expense Non Operating,2815000.0,1813000.0,6202000.0,6201000.0
Interest Income Non Operating,62000.0,826000.0,1231000.0,1234000.0
Operating Income,-13230000.0,-24476000.0,-9686000.0,-11553000.0
Operating Expense,82009000.0,84203000.0,45953000.0,46243000.0
Depreciation Amortization Depletion Income Statement,23429000.0,23820000.0,11578000.0,11239000.0
Depreciation And Amortization In Income Statement,23429000.0,23820000.0,11578000.0,11239000.0
Amortization,22898000.0,23288000.0,11194000.0,10836000.0
Amortization Of Intangibles Income Statement,22898000.0,23288000.0,11194000.0,10836000.0
Depreciation Income Statement,531000.0,532000.0,384000.0,403000.0
Research And Development,2596000.0,2789000.0,2909000.0,3019000.0
Selling General And Administration,55984000.0,57594000.0,31466000.0,31985000.0
Selling And Marketing Expense,37063000.0,33310000.0,14072000.0,13807000.0
General And Administrative Expense,18921000.0,24284000.0,17394000.0,18178000.0
Other Gand A,18921000.0,24284000.0,17394000.0,18178000.0
Gross Profit,68779000.0,59727000.0,36267000.0,34690000.0
Cost Of Revenue,51164000.0,44160000.0,26701000.0,23969000.0
Total Revenue,119943000.0,103887000.0,62968000.0,58659000.0
Operating Revenue,119943000.0,103887000.0,62968000.0,58659000.0
