,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-1638840.0,0.0,-49936.423031,0.0
Tax Rate For Calcs,0.21,0.21,0.004661,0.21
Normalized EBITDA,-19267000.0,-21880000.0,-8885000.0,-8355000.0
Total Unusual Items,-7804000.0,,-10713000.0,
Total Unusual Items Excluding Goodwill,-7804000.0,,-10713000.0,
Net Income From Continuing Operation Net Minority Interest,-31382000.0,-26938000.0,-23322000.0,-14823000.0
Reconciled Depreciation,3390000.0,3272000.0,3480000.0,3355000.0
Reconciled Cost Of Revenue,35678000.0,27198000.0,25655000.0,22424000.0
EBITDA,-27071000.0,-21880000.0,-19598000.0,-8355000.0
EBIT,-30461000.0,-25152000.0,-23078000.0,-11710000.0
Net Interest Income,-2523000.0,-2729000.0,-3095000.0,-2994000.0
Interest Expense,2523000.0,2729000.0,3095000.0,2994000.0
Normalized Income,-25216840.0,-26938000.0,-12658936.423031,-14823000.0
Net Income From Continuing And Discontinued Operation,-31382000.0,-26938000.0,-23322000.0,-14823000.0
Total Expenses,69811000.0,60796000.0,49300000.0,42136000.0
Total Operating Income As Reported,-24137000.0,-26289000.0,-12647000.0,-11920000.0
Diluted Average Shares,29695203.0,56288534.0,56288534.0,56288534.0
Basic Average Shares,29695203.0,56288534.0,56288534.0,56288534.0
Diluted EPS,-1.23,-0.585181,-0.511703,-0.352292
Basic EPS,-1.23,-0.585181,-0.511703,-0.352292
Diluted NI Availto Com Stockholders,-36640000.0,-32939000.0,-28803000.0,-19830000.0
Net Income Common Stockholders,-36640000.0,-32939000.0,-28803000.0,-19830000.0
Preferred Stock Dividends,5258000.0,6001000.0,5481000.0,5007000.0
Net Income,-31382000.0,-26938000.0,-23322000.0,-14823000.0
Minority Interests,1683000.0,991000.0,2729000.0,129000.0
Net Income Including Noncontrolling Interests,-33065000.0,-27929000.0,-26051000.0,-14952000.0
Net Income Continuous Operations,-33065000.0,-27929000.0,-26051000.0,-14952000.0
Tax Provision,81000.0,48000.0,-122000.0,248000.0
Pretax Income,-32984000.0,-27881000.0,-26173000.0,-14704000.0
Other Income Expense,-6324000.0,1137000.0,-10431000.0,210000.0
Other Non Operating Income Expenses,1480000.0,1137000.0,282000.0,210000.0
Special Income Charges,-7804000.0,,-10713000.0,
Other Special Charges,7804000.0,,10713000.0,
Net Non Operating Interest Income Expense,-2523000.0,-2729000.0,-3095000.0,-2994000.0
Interest Expense Non Operating,2523000.0,2729000.0,3095000.0,2994000.0
Operating Income,-24137000.0,-26289000.0,-12647000.0,-11920000.0
Operating Expense,32347000.0,31874000.0,21910000.0,18101000.0
Depreciation Amortization Depletion Income Statement,1604000.0,1548000.0,1745000.0,1744000.0
Depreciation And Amortization In Income Statement,1604000.0,1548000.0,1745000.0,1744000.0
Amortization,1604000.0,1548000.0,1745000.0,1744000.0
Amortization Of Intangibles Income Statement,1604000.0,1548000.0,1745000.0,1744000.0
Research And Development,502000.0,4040000.0,6870000.0,767000.0
Selling General And Administration,30241000.0,26286000.0,13295000.0,15590000.0
Gross Profit,8210000.0,5585000.0,9263000.0,6181000.0
Cost Of Revenue,37464000.0,28922000.0,27390000.0,24035000.0
Total Revenue,45674000.0,34507000.0,36653000.0,30216000.0
Operating Revenue,45674000.0,34507000.0,36653000.0,30216000.0
