,2024-06-30,2024-03-31,2023-06-30
Tax Effect Of Unusual Items,-12332670.0,-475125.0,-84840.0
Tax Rate For Calcs,0.21,0.21,0.21
Normalized EBITDA,-253834000.0,-1891157.0,871000.0
Total Unusual Items,-58727000.0,-2262500.0,-404000.0
Total Unusual Items Excluding Goodwill,-58727000.0,-2262500.0,-404000.0
Net Income From Continuing Operation Net Minority Interest,-314026000.0,-4236183.0,-1904000.0
Reconciled Cost Of Revenue,41845000.0,,30094000.0
EBITDA,-312561000.0,-4153657.0,467000.0
EBIT,-312561000.0,-4153657.0,467000.0
Net Interest Income,-1398000.0,198988.0,-1567000.0
Interest Expense,1398000.0,33736.0,1567000.0
Interest Income,,232724.0,
Normalized Income,-267631670.0,-2448808.0,-1584840.0
Net Income From Continuing And Discontinued Operation,-314026000.0,-4236183.0,-1904000.0
Total Expenses,220752000.0,1545279.0,97381000.0
Total Operating Income As Reported,-85214000.0,-1545279.0,3864000.0
Diluted Average Shares,99569095.0,134970114.0,134970114.0
Basic Average Shares,99569095.0,134970114.0,134970114.0
Diluted EPS,-3.15,-0.031386,-0.014107
Basic EPS,-3.15,-0.031386,-0.014107
Diluted NI Availto Com Stockholders,-314026000.0,-4236183.0,-1904000.0
Net Income Common Stockholders,-314026000.0,-4236183.0,-1904000.0
Net Income,-314026000.0,-4236183.0,-1904000.0
Net Income Including Noncontrolling Interests,-314026000.0,-4236183.0,-1904000.0
Net Income Continuous Operations,-314026000.0,-4236183.0,-1904000.0
Tax Provision,67000.0,48790.0,804000.0
Pretax Income,-313959000.0,-4187393.0,-1100000.0
Other Income Expense,-227347000.0,-2841102.0,-3397000.0
Other Non Operating Income Expenses,-168620000.0,-578602.0,-2993000.0
Special Income Charges,-6687000.0,,0.0
Other Special Charges,7387000.0,,
Restructuring And Mergern Acquisition,-700000.0,,0.0
Gain On Sale Of Security,-52040000.0,-2262500.0,-404000.0
Net Non Operating Interest Income Expense,-1398000.0,198988.0,-1567000.0
Interest Expense Non Operating,1398000.0,33736.0,1567000.0
Interest Income Non Operating,,232724.0,
Operating Income,-85214000.0,-1545279.0,3864000.0
Operating Expense,178907000.0,1545279.0,67287000.0
Research And Development,41245000.0,,30433000.0
Selling General And Administration,137662000.0,1545279.0,36854000.0
General And Administrative Expense,,1545279.0,
Other Gand A,,1545279.0,
Gross Profit,93693000.0,,71151000.0
Cost Of Revenue,41845000.0,,30094000.0
Total Revenue,135538000.0,0.0,101245000.0
Operating Revenue,135538000.0,0.0,101245000.0
