,2024-09-30,2024-06-30,2023-09-30
Tax Effect Of Unusual Items,6222000.0,127596000.0,-14964000.0
Tax Rate For Calcs,0.061,0.196,0.174
Normalized EBITDA,245000000.0,56000000.0,128000000.0
Total Unusual Items,102000000.0,651000000.0,-86000000.0
Total Unusual Items Excluding Goodwill,102000000.0,651000000.0,-86000000.0
Net Income From Continuing Operation Net Minority Interest,168000000.0,454000000.0,-77000000.0
Reconciled Depreciation,102000000.0,75000000.0,66000000.0
Reconciled Cost Of Revenue,352000000.0,355000000.0,440000000.0
EBITDA,347000000.0,707000000.0,42000000.0
EBIT,245000000.0,632000000.0,-24000000.0
Net Interest Income,-66000000.0,-62000000.0,-68000000.0
Interest Expense,66000000.0,62000000.0,68000000.0
Normalized Income,72222000.0,-69404000.0,-5964000.0
Net Income From Continuing And Discontinued Operation,168000000.0,454000000.0,-77000000.0
Total Expenses,499000000.0,476000000.0,551000000.0
Total Operating Income As Reported,158000000.0,27000000.0,7000000.0
Diluted Average Shares,53169000.0,59775000.0,59029000.0
Basic Average Shares,50924000.0,57434000.0,59029000.0
Diluted EPS,3.16,7.6,-1.3
Basic EPS,3.3,7.9,-1.3
Diluted NI Availto Com Stockholders,168000000.0,454000000.0,-77000000.0
Net Income Common Stockholders,168000000.0,454000000.0,-77000000.0
Net Income,168000000.0,454000000.0,-77000000.0
Minority Interests,0.0,-4000000.0,-1000000.0
Net Income Including Noncontrolling Interests,168000000.0,458000000.0,-76000000.0
Net Income Continuous Operations,168000000.0,458000000.0,-76000000.0
Tax Provision,11000000.0,112000000.0,-16000000.0
Pretax Income,179000000.0,570000000.0,-92000000.0
Other Income Expense,189000000.0,695000000.0,-117000000.0
Other Non Operating Income Expenses,87000000.0,44000000.0,-31000000.0
Special Income Charges,0.0,560000000.0,-2000000.0
Gain On Sale Of Ppe,0.0,561000000.0,0.0
Impairment Of Capital Assets,0.0,0.0,2000000.0
Restructuring And Mergern Acquisition,0.0,1000000.0,0.0
Gain On Sale Of Security,102000000.0,91000000.0,-84000000.0
Net Non Operating Interest Income Expense,-66000000.0,-62000000.0,-68000000.0
Interest Expense Non Operating,66000000.0,62000000.0,68000000.0
Operating Income,56000000.0,-63000000.0,93000000.0
Operating Expense,120000000.0,121000000.0,111000000.0
Other Operating Expenses,7000000.0,6000000.0,8000000.0
Depreciation Amortization Depletion Income Statement,75000000.0,75000000.0,66000000.0
Depreciation And Amortization In Income Statement,75000000.0,75000000.0,66000000.0
Selling General And Administration,38000000.0,40000000.0,37000000.0
General And Administrative Expense,38000000.0,40000000.0,37000000.0
Other Gand A,38000000.0,40000000.0,37000000.0
Gross Profit,176000000.0,58000000.0,204000000.0
Cost Of Revenue,379000000.0,355000000.0,440000000.0
Total Revenue,555000000.0,413000000.0,644000000.0
Operating Revenue,555000000.0,413000000.0,644000000.0
