,2024-09-30,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-5941364.0,-6685120.0,-4901326.0
Total Unusual Items,-630032.0,-352399.0,614346.0
Total Unusual Items Excluding Goodwill,-630032.0,-352399.0,614346.0
Net Income From Continuing Operation Net Minority Interest,-5894574.0,-6026331.0,-3189698.0
Reconciled Depreciation,30675.0,,29012.0
Reconciled Cost Of Revenue,30675.0,,29012.0
EBITDA,-6571396.0,-7037519.0,-4286980.0
EBIT,-6602071.0,-7037519.0,-4315992.0
Net Interest Income,796043.0,164743.0,83788.0
Interest Income,796043.0,164743.0,83788.0
Normalized Income,-5264542.0,-5673932.0,-3804044.0
Net Income From Continuing And Discontinued Operation,-5894574.0,-6026331.0,-3189698.0
Total Expenses,6602071.0,7037519.0,4315992.0
Total Operating Income As Reported,-6978071.0,,-4315992.0
Diluted Average Shares,14124788.0,,8486578.0
Basic Average Shares,14124788.0,,8486578.0
Diluted EPS,-0.417,,-0.376
Basic EPS,-0.417,,-0.376
Diluted NI Availto Com Stockholders,-5894574.0,,-3189698.0
Net Income Common Stockholders,-5894574.0,-6026331.0,-3189698.0
Net Income,-5894574.0,-6026331.0,-3189698.0
Minority Interests,860993.0,1494166.0,562435.0
Net Income Including Noncontrolling Interests,-6755567.0,-7520497.0,-3752133.0
Net Income Continuous Operations,-6755567.0,-7520497.0,-3752133.0
Pretax Income,-6755567.0,-7520497.0,-3752133.0
Other Income Expense,-949539.0,-647721.0,480071.0
Other Non Operating Income Expenses,-319507.0,-295322.0,-134275.0
Special Income Charges,-376000.0,-25605.0,0.0
Impairment Of Capital Assets,376000.0,,0.0
Gain On Sale Of Security,-254032.0,-326794.0,614346.0
Net Non Operating Interest Income Expense,796043.0,164743.0,83788.0
Interest Income Non Operating,796043.0,164743.0,83788.0
Operating Income,-6602071.0,-7037519.0,-4315992.0
Operating Expense,6571396.0,7066531.0,4286980.0
Other Operating Expenses,1267247.0,6813868.0,1119179.0
Selling General And Administration,5304149.0,194579.0,3167801.0
General And Administrative Expense,5304149.0,194579.0,3167801.0
Other Gand A,3085016.0,-311824.0,1909810.0
Salaries And Wages,2219133.0,506403.0,1257991.0
Gross Profit,-30675.0,,-29012.0
Cost Of Revenue,30675.0,,29012.0
Total Revenue,0.0,,0.0
Operating Revenue,0.0,,0.0
