,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.000566,0.055026,0.21,0.21
Normalized EBITDA,-579328000.0,14440000.0,-15997000.0,-29810000.0
Net Income From Continuing Operation Net Minority Interest,-575651000.0,17139000.0,-12926000.0,-26464000.0
Reconciled Depreciation,1343000.0,1303000.0,1554000.0,1614000.0
Reconciled Cost Of Revenue,41335000.0,23592000.0,23208000.0,24768000.0
EBITDA,-579328000.0,14440000.0,-15997000.0,-29810000.0
EBIT,-580671000.0,13137000.0,-17551000.0,-31424000.0
Normalized Income,-575651000.0,17139000.0,-12926000.0,-26464000.0
Net Income From Continuing And Discontinued Operation,-575651000.0,17139000.0,-12926000.0,-26464000.0
Total Expenses,719769000.0,110688000.0,107376000.0,114132000.0
Total Operating Income As Reported,-580671000.0,13137000.0,-17551000.0,-31424000.0
Diluted Average Shares,43931000.0,91903788.0,91903788.0,91903788.0
Basic Average Shares,43931000.0,68538418.0,68538418.0,68538418.0
Diluted EPS,-13.1,1.32,-0.188595,-0.386119
Basic EPS,-13.1,1.77,-0.188595,-0.386119
Diluted NI Availto Com Stockholders,-575651000.0,121313000.0,-12926000.0,-26464000.0
Net Income Common Stockholders,-575651000.0,121313000.0,-12926000.0,-26464000.0
Otherunder Preferred Stock Dividend,0.0,-104174000.0,0.0,0.0
Net Income,-575651000.0,17139000.0,-12926000.0,-26464000.0
Net Income Including Noncontrolling Interests,-575651000.0,17139000.0,-12926000.0,-26464000.0
Net Income Continuous Operations,-575651000.0,17139000.0,-12926000.0,-26464000.0
Tax Provision,-326000.0,998000.0,361000.0,158000.0
Pretax Income,-575977000.0,18137000.0,-12565000.0,-26306000.0
Other Income Expense,4694000.0,5000000.0,4986000.0,5118000.0
Other Non Operating Income Expenses,4694000.0,5000000.0,4986000.0,5118000.0
Operating Income,-580671000.0,13137000.0,-17551000.0,-31424000.0
Operating Expense,678434000.0,87096000.0,84168000.0,89364000.0
Research And Development,279962000.0,23499000.0,24920000.0,29763000.0
Selling General And Administration,398472000.0,63597000.0,59248000.0,59601000.0
Selling And Marketing Expense,147228000.0,46716000.0,44894000.0,42143000.0
General And Administrative Expense,251244000.0,16881000.0,14354000.0,17458000.0
Other Gand A,251244000.0,16881000.0,14354000.0,17458000.0
Gross Profit,97763000.0,100233000.0,66617000.0,57940000.0
Cost Of Revenue,41335000.0,23592000.0,23208000.0,24768000.0
Total Revenue,139098000.0,123825000.0,89825000.0,82708000.0
Operating Revenue,139098000.0,123825000.0,89825000.0,82708000.0
