,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,-3150000.0,1050000.0,-420000.0,-230790000.0,3360000.0,,
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.28,,
Normalized EBITDA,67000000.0,21000000.0,126000000.0,102000000.0,103000000.0,,
Total Unusual Items,-15000000.0,5000000.0,-2000000.0,-1099000000.0,12000000.0,,
Total Unusual Items Excluding Goodwill,-15000000.0,5000000.0,-2000000.0,-1099000000.0,12000000.0,,
Net Income From Continuing Operation Net Minority Interest,-106000000.0,-90000000.0,-21000000.0,-1205000000.0,18000000.0,,
Reconciled Depreciation,57000000.0,60000000.0,97000000.0,59000000.0,59000000.0,,
Reconciled Cost Of Revenue,1078000000.0,981000000.0,1057000000.0,984000000.0,1009000000.0,,
EBITDA,52000000.0,26000000.0,124000000.0,-997000000.0,115000000.0,,
EBIT,-5000000.0,-34000000.0,27000000.0,-1056000000.0,56000000.0,,
Net Interest Income,-49000000.0,-31000000.0,-27000000.0,-28000000.0,-27000000.0,,
Interest Expense,55000000.0,33000000.0,31000000.0,31000000.0,31000000.0,,
Interest Income,6000000.0,2000000.0,4000000.0,3000000.0,4000000.0,,
Normalized Income,-94150000.0,-93950000.0,-19420000.0,-336790000.0,9360000.0,,
Net Income From Continuing And Discontinued Operation,-106000000.0,-90000000.0,-21000000.0,-1205000000.0,18000000.0,,
Total Expenses,1546000000.0,1461000000.0,1578000000.0,1458000000.0,1511000000.0,,
Diluted Average Shares,125791000.0,125194000.0,124401000.0,124344000.0,125555000.0,,
Basic Average Shares,125791000.0,125194000.0,124401000.0,124344000.0,124230000.0,,
Diluted EPS,-0.87,-0.75,-0.2,-9.71,0.11,,
Basic EPS,-0.87,-0.75,-0.2,-9.71,0.12,,
Diluted NI Availto Com Stockholders,-109000000.0,-94000000.0,-24000000.0,-1209000000.0,15000000.0,,
Net Income Common Stockholders,-109000000.0,-94000000.0,-24000000.0,-1209000000.0,15000000.0,,
Preferred Stock Dividends,3000000.0,4000000.0,3000000.0,4000000.0,3000000.0,,
Net Income,-106000000.0,-90000000.0,-21000000.0,-1205000000.0,18000000.0,,
Net Income Including Noncontrolling Interests,-106000000.0,-90000000.0,-21000000.0,-1205000000.0,18000000.0,,
Net Income Continuous Operations,-106000000.0,-90000000.0,-21000000.0,-1205000000.0,18000000.0,,
Tax Provision,46000000.0,23000000.0,17000000.0,118000000.0,7000000.0,,
Pretax Income,-60000000.0,-67000000.0,-4000000.0,-1087000000.0,25000000.0,,
Other Income Expense,-41000000.0,-32000000.0,-12000000.0,-1129000000.0,-15000000.0,,
Other Non Operating Income Expenses,-26000000.0,-37000000.0,-10000000.0,-30000000.0,-27000000.0,,
Special Income Charges,-14000000.0,5000000.0,-2000000.0,-1097000000.0,14000000.0,,
Gain On Sale Of Business,0.0,4000000.0,9000000.0,2000000.0,3000000.0,,
Other Special Charges,4000000.0,,1000000.0,,,-3000000.0,7000000.0
Write Off,2000000.0,,,,-2000000.0,,
Impairment Of Capital Assets,,-6000000.0,27000000.0,1058000000.0,,26000000.0,36000000.0
Restructuring And Mergern Acquisition,8000000.0,5000000.0,-17000000.0,41000000.0,-9000000.0,,
Gain On Sale Of Security,-1000000.0,,0.0,-2000000.0,-2000000.0,-11000000.0,
Net Non Operating Interest Income Expense,-49000000.0,-31000000.0,-27000000.0,-28000000.0,-27000000.0,,
Interest Expense Non Operating,55000000.0,33000000.0,31000000.0,31000000.0,31000000.0,,
Interest Income Non Operating,6000000.0,2000000.0,4000000.0,3000000.0,4000000.0,,
Operating Income,30000000.0,-4000000.0,35000000.0,70000000.0,67000000.0,,
Operating Expense,421000000.0,430000000.0,467000000.0,425000000.0,453000000.0,,
Other Taxes,,,0.0,0.0,,,0.0
Depreciation Amortization Depletion Income Statement,10000000.0,10000000.0,43000000.0,10000000.0,10000000.0,,
Depreciation And Amortization In Income Statement,10000000.0,10000000.0,43000000.0,10000000.0,10000000.0,,
Amortization,10000000.0,10000000.0,43000000.0,10000000.0,10000000.0,,
Amortization Of Intangibles Income Statement,10000000.0,10000000.0,43000000.0,10000000.0,10000000.0,,
Research And Development,43000000.0,42000000.0,47000000.0,45000000.0,50000000.0,,
Selling General And Administration,368000000.0,378000000.0,377000000.0,370000000.0,393000000.0,,
General And Administrative Expense,,,,,392000000.0,,
Other Gand A,,,,,392000000.0,,
Salaries And Wages,,,,,26000000.0,,
Gross Profit,451000000.0,426000000.0,502000000.0,495000000.0,520000000.0,,
Cost Of Revenue,1125000000.0,1031000000.0,1111000000.0,1033000000.0,1058000000.0,,
Total Revenue,1576000000.0,1457000000.0,1613000000.0,1528000000.0,1578000000.0,,
Operating Revenue,1576000000.0,1457000000.0,1613000000.0,1528000000.0,1578000000.0,,
