,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,6280110.48,-1876218.478456,-2037.602469,2099250.72
Tax Rate For Calcs,0.0,0.21,0.00869,0.002693,0.21
Normalized EBITDA,-22183892.0,-61296432.0,196192290.0,-28932522.0,-45228017.0
Total Unusual Items,-3657525.0,29905288.0,-215914300.0,-756700.0,9996432.0
Total Unusual Items Excluding Goodwill,-3657525.0,29905288.0,-215914300.0,-756700.0,9996432.0
Net Income From Continuing Operation Net Minority Interest,-30224930.0,-2650193.0,-236752626.0,-31539413.0,-26780700.0
Reconciled Depreciation,3602160.0,3292709.0,4495984.0,3128242.0,3564219.0
Reconciled Cost Of Revenue,26542307.0,30036174.0,34522828.0,36428951.0,35692133.0
EBITDA,-25841417.0,-31391144.0,-19722010.0,-29689222.0,-35231585.0
EBIT,-29443577.0,-34683853.0,-24217994.0,-32817464.0,-38795804.0
Net Interest Income,2898945.0,2184286.0,1437888.0,1949898.0,2174166.0
Interest Income,2898945.0,2184286.0,1437888.0,1949898.0,2174166.0
Normalized Income,-26567405.0,-26275370.52,-22714544.478456,-30784750.602469,-34677881.28
Net Income From Continuing And Discontinued Operation,-30224930.0,-2650193.0,-236752626.0,-31539413.0,-26780700.0
Total Expenses,54528208.0,58390643.0,54446281.0,57874368.0,61265347.0
Total Operating Income As Reported,-26639241.0,-36383269.0,-24217994.0,-32817464.0,-38813572.0
Diluted Average Shares,260327707.0,237051968.0,205411121.0,204972162.0,204091819.0
Basic Average Shares,260327707.0,237051968.0,205411121.0,204972162.0,204091819.0
Diluted EPS,-0.12,-0.01,-1.15,-0.15,-0.13
Basic EPS,-0.12,-0.01,-1.15,-0.15,-0.13
Diluted NI Availto Com Stockholders,-30224930.0,-2650193.0,-236752626.0,-31539413.0,-26780700.0
Net Income Common Stockholders,-30224930.0,-2650193.0,-236752626.0,-31539413.0,-26780700.0
Net Income,-30224930.0,-2650193.0,-236752626.0,-31539413.0,-26780700.0
Net Income Including Noncontrolling Interests,-30224930.0,-2650193.0,-236752626.0,-31539413.0,-26780700.0
Net Income Continuous Operations,-30224930.0,-2650193.0,-236752626.0,-31539413.0,-26780700.0
Tax Provision,0.0,31310.0,-2075330.0,-85157.0,151625.0
Pretax Income,-30224930.0,-2618883.0,-238827956.0,-31624570.0,-26629075.0
Other Income Expense,-3680298.0,29880684.0,-216047850.0,-757004.0,9992563.0
Other Non Operating Income Expenses,-22773.0,-24604.0,-133550.0,-304.0,-3869.0
Special Income Charges,-2388105.0,0.0,0.0,0.0,-17768.0
Restructuring And Mergern Acquisition,2388105.0,0.0,0.0,0.0,17768.0
Gain On Sale Of Security,-1269420.0,29905288.0,-215914300.0,-756700.0,10014200.0
Net Non Operating Interest Income Expense,2898945.0,2184286.0,1437888.0,1949898.0,2174166.0
Interest Income Non Operating,2898945.0,2184286.0,1437888.0,1949898.0,2174166.0
Operating Income,-29443577.0,-34683853.0,-24217994.0,-32817464.0,-38795804.0
Operating Expense,27985901.0,28354469.0,19923453.0,21445417.0,25573214.0
Depreciation Amortization Depletion Income Statement,3602160.0,3292709.0,4495984.0,3128242.0,3564219.0
Depreciation And Amortization In Income Statement,3602160.0,3292709.0,4495984.0,3128242.0,3564219.0
Research And Development,4825884.0,4789111.0,4425610.0,4650688.0,5319230.0
Selling General And Administration,19557857.0,20272649.0,11001859.0,13666487.0,16689765.0
Selling And Marketing Expense,7891526.0,3638926.0,3803882.0,3955552.0,6274749.0
General And Administrative Expense,11666331.0,16633723.0,7197977.0,9710935.0,10415016.0
Other Gand A,11666331.0,16633723.0,7197977.0,9710935.0,10415016.0
Gross Profit,-1457676.0,-6329384.0,-4294541.0,-11372047.0,-13222590.0
Cost Of Revenue,26542307.0,30036174.0,34522828.0,36428951.0,35692133.0
Total Revenue,25084631.0,23706790.0,30228287.0,25056904.0,22469543.0
Operating Revenue,25084631.0,23706790.0,30228287.0,25056904.0,22469543.0
