,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.003629,0.016057,0.018545,0.010135
Normalized EBITDA,-3167717.0,-2175987.0,-1985336.0,-4224656.0
Total Unusual Items,0.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Reconciled Depreciation,276270.0,525418.0,524304.0,435466.0
Reconciled Cost Of Revenue,8745217.0,15405211.0,12275524.0,13091856.0
EBITDA,-3167717.0,-2175987.0,-1985336.0,-4224656.0
EBIT,-3551021.0,-2701405.0,-2509640.0,-4660122.0
Net Interest Income,-220187.0,-311551.0,-99225.0,-107309.0
Interest Expense,220472.0,311706.0,99306.0,113552.0
Interest Income,285.0,155.0,81.0,6243.0
Normalized Income,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Net Income From Continuing And Discontinued Operation,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Total Expenses,13407537.0,20624583.0,17877692.0,19641257.0
Total Operating Income As Reported,-3518280.0,-2679334.0,-2476657.0,-4635736.0
Diluted Average Shares,12423421.0,12423421.0,12075619.0,11675033.0
Basic Average Shares,12423421.0,12423421.0,12075619.0,11675033.0
Diluted EPS,-0.3,-0.24,-0.21,-0.4
Basic EPS,-0.3,-0.24,-0.21,-0.4
Diluted NI Availto Com Stockholders,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Net Income Common Stockholders,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Net Income,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Net Income Including Noncontrolling Interests,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Net Income Continuous Operations,-3757808.0,-2964728.0,-2560563.0,-4725291.0
Tax Provision,-13685.0,-48383.0,-48383.0,-48383.0
Pretax Income,-3771493.0,-3013111.0,-2608946.0,-4773674.0
Other Income Expense,-33026.0,-22226.0,-33064.0,-30629.0
Other Non Operating Income Expenses,-33026.0,-22226.0,-33064.0,-30629.0
Special Income Charges,0.0,0.0,0.0,0.0
Other Special Charges,,,,0.0
Write Off,0.0,,,0.0
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-220187.0,-311551.0,-99225.0,-107309.0
Interest Expense Non Operating,220472.0,311706.0,99306.0,113552.0
Interest Income Non Operating,285.0,155.0,81.0,6243.0
Operating Income,-3518280.0,-2679334.0,-2476657.0,-4635736.0
Operating Expense,4769354.0,5089650.0,5468114.0,6354100.0
Depreciation Amortization Depletion Income Statement,383304.0,395696.0,390250.0,240165.0
Depreciation And Amortization In Income Statement,383304.0,395696.0,390250.0,240165.0
Amortization,,,239333.0,240165.0
Amortization Of Intangibles Income Statement,,,239333.0,240165.0
Research And Development,0.0,25000.0,,
Selling General And Administration,4386050.0,4668954.0,5077864.0,6113935.0
General And Administrative Expense,4386050.0,4668954.0,5077864.0,6113935.0
Other Gand A,4386050.0,4668954.0,5077864.0,5739724.0
Salaries And Wages,,,656576.0,374211.0
Gross Profit,1251074.0,2410316.0,2991457.0,1718364.0
Cost Of Revenue,8638183.0,15534933.0,12409578.0,13287157.0
Total Revenue,9889257.0,17945249.0,15401035.0,15005521.0
Operating Revenue,9805530.0,17815598.0,15325894.0,14317280.0
