,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,139740000.0,30085658.34557,-101837957.824639,97584158.415842,80920000.0,,
Tax Rate For Calcs,0.34,0.316691,0.032186,0.123212,0.34,,
Normalized EBITDA,2894000000.0,2937000000.0,3573000000.0,2955000000.0,3815000000.0,,
Total Unusual Items,411000000.0,95000000.0,-3164000000.0,792000000.0,238000000.0,,
Total Unusual Items Excluding Goodwill,411000000.0,95000000.0,-3164000000.0,792000000.0,238000000.0,,
Net Income From Continuing Operation Net Minority Interest,2117000000.0,1394000000.0,-694000000.0,2412000000.0,2769000000.0,,
Reconciled Depreciation,780000000.0,704000000.0,802000000.0,748000000.0,793000000.0,,
Reconciled Cost Of Revenue,5312000000.0,4771000000.0,5489000000.0,5547000000.0,5565000000.0,,
EBITDA,3305000000.0,3032000000.0,409000000.0,3747000000.0,4053000000.0,,
EBIT,2525000000.0,2328000000.0,-393000000.0,2999000000.0,3260000000.0,,
Net Interest Income,-504000000.0,-326000000.0,-616000000.0,-188000000.0,-603000000.0,,
Interest Expense,422000000.0,285000000.0,508000000.0,272000000.0,525000000.0,,
Interest Income,17000000.0,56000000.0,20000000.0,43000000.0,3000000.0,,
Normalized Income,1845740000.0,1329085658.34557,2368162042.175361,1717584158.415842,2611920000.0,,
Net Income From Continuing And Discontinued Operation,2117000000.0,1394000000.0,-694000000.0,2412000000.0,2769000000.0,,
Total Expenses,6540000000.0,5904000000.0,7314000000.0,6856000000.0,6932000000.0,,
Total Operating Income As Reported,2004000000.0,1799000000.0,790000000.0,3675000000.0,3875000000.0,,
Diluted Average Shares,,4273772000.0,,4274508000.0,4279782000.0,4289631000.0,4317857143.0
Basic Average Shares,,4268759000.0,,4269495000.0,4274769000.0,4285865000.0,4317857143.0
Diluted EPS,,0.33,,0.56,0.65,0.39,0.56
Basic EPS,,0.33,,0.56,0.65,0.39,0.56
Diluted NI Availto Com Stockholders,2117000000.0,1394000000.0,-694000000.0,2412000000.0,2769000000.0,,
Net Income Common Stockholders,2117000000.0,1394000000.0,-694000000.0,2412000000.0,2769000000.0,,
Net Income,2117000000.0,1394000000.0,-694000000.0,2412000000.0,2769000000.0,,
Minority Interests,-18000000.0,-2000000.0,178000000.0,21000000.0,0.0,,
Net Income Including Noncontrolling Interests,2135000000.0,1396000000.0,-872000000.0,2391000000.0,2769000000.0,,
Net Income Discontinuous Operations,,,,,,,0.0
Net Income Continuous Operations,2135000000.0,1396000000.0,-872000000.0,2391000000.0,2769000000.0,,
Tax Provision,-32000000.0,647000000.0,-29000000.0,336000000.0,-34000000.0,,
Pretax Income,2103000000.0,2043000000.0,-901000000.0,2727000000.0,2735000000.0,,
Other Income Expense,343000000.0,154000000.0,-3095000000.0,218000000.0,350000000.0,,
Special Income Charges,-260000000.0,-416000000.0,-1970000000.0,928000000.0,887000000.0,,
Gain On Sale Of Business,,,,,1059000000.0,,
Other Special Charges,128000000.0,163000000.0,123000000.0,216000000.0,123000000.0,,
Write Off,,253000000.0,,,,6000000.0,
Impairment Of Capital Assets,132000000.0,,1847000000.0,-1144000000.0,49000000.0,6000000.0,
Earnings From Equity Interest,-68000000.0,59000000.0,69000000.0,-574000000.0,112000000.0,,
Gain On Sale Of Security,671000000.0,511000000.0,-1194000000.0,-136000000.0,-649000000.0,,
Net Non Operating Interest Income Expense,-504000000.0,-326000000.0,-616000000.0,-188000000.0,-603000000.0,,
Total Other Finance Cost,99000000.0,97000000.0,128000000.0,-41000000.0,81000000.0,,
Interest Expense Non Operating,422000000.0,285000000.0,508000000.0,272000000.0,525000000.0,,
Interest Income Non Operating,17000000.0,56000000.0,20000000.0,43000000.0,3000000.0,,
Operating Income,2264000000.0,2215000000.0,2810000000.0,2697000000.0,2988000000.0,,
Operating Expense,455000000.0,453000000.0,1046000000.0,575000000.0,583000000.0,,
Other Operating Expenses,165000000.0,185000000.0,587000000.0,244000000.0,257000000.0,,
Depreciation Amortization Depletion Income Statement,7000000.0,24000000.0,23000000.0,14000000.0,9000000.0,,
Depreciation And Amortization In Income Statement,7000000.0,24000000.0,23000000.0,14000000.0,9000000.0,,
Research And Development,159000000.0,123000000.0,253000000.0,192000000.0,189000000.0,,
Selling General And Administration,124000000.0,121000000.0,183000000.0,125000000.0,128000000.0,,
Selling And Marketing Expense,,,,,,,-39000000.0
General And Administrative Expense,124000000.0,121000000.0,162000000.0,125000000.0,128000000.0,,
Other Gand A,65000000.0,59000000.0,66000000.0,74000000.0,76000000.0,,
Salaries And Wages,59000000.0,62000000.0,96000000.0,51000000.0,52000000.0,,
Gross Profit,2719000000.0,2668000000.0,3856000000.0,3272000000.0,3571000000.0,,
Cost Of Revenue,6085000000.0,5451000000.0,6268000000.0,6281000000.0,6349000000.0,,
Total Revenue,8804000000.0,8119000000.0,10124000000.0,9553000000.0,9920000000.0,,
Operating Revenue,8804000000.0,8119000000.0,10209000000.0,9542000000.0,9873000000.0,,
