,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,13418160.0,873936.0,-11396910.0,853671.0,-4612200.058847,,
Tax Rate For Calcs,0.21,0.272,0.21,0.091,0.332507,,
Normalized EBITDA,129547000.0,160922000.0,199554000.0,106562000.0,140249000.0,,
Total Unusual Items,63896000.0,3213000.0,-54271000.0,9381000.0,-13871000.0,,
Total Unusual Items Excluding Goodwill,63896000.0,3213000.0,-54271000.0,9381000.0,-13871000.0,,
Net Income From Continuing Operation Net Minority Interest,202846000.0,75462000.0,26505000.0,51836000.0,31760000.0,,
Reconciled Depreciation,70631000.0,66074000.0,68228000.0,66947000.0,63588000.0,,
Reconciled Cost Of Revenue,208323000.0,158125000.0,225121000.0,233644000.0,226161000.0,,
EBITDA,193443000.0,164135000.0,145283000.0,115943000.0,126378000.0,,
EBIT,122812000.0,98061000.0,77055000.0,48996000.0,62790000.0,,
Net Interest Income,693000.0,1681000.0,815000.0,-775000.0,-2335000.0,,
Normalized Income,152368160.0,73122936.0,69379090.0,43308671.0,41018799.941153,,
Net Income From Continuing And Discontinued Operation,202846000.0,75462000.0,26505000.0,51836000.0,31760000.0,,
Total Expenses,622530000.0,500060000.0,580238000.0,576709000.0,566901000.0,,
Total Operating Income As Reported,76109000.0,97004000.0,60274000.0,48098000.0,49622000.0,,
Diluted Average Shares,136499000.0,139774000.0,139711000.0,138062000.0,136979000.0,,
Basic Average Shares,135205000.0,136757000.0,136729000.0,135615000.0,135195000.0,,
Diluted EPS,1.49,0.54,0.19,0.38,0.23,,
Basic EPS,1.5,0.55,0.19,0.38,0.23,,
Diluted NI Availto Com Stockholders,202846000.0,75462000.0,26505000.0,51836000.0,31760000.0,,
Net Income Common Stockholders,202846000.0,75462000.0,26505000.0,51836000.0,31760000.0,,
Net Income,202846000.0,75462000.0,26505000.0,51836000.0,31760000.0,,
Net Income Including Noncontrolling Interests,202846000.0,75462000.0,26505000.0,51836000.0,31760000.0,,
Net Income Continuous Operations,202846000.0,75462000.0,26505000.0,51836000.0,31760000.0,,
Tax Provision,-14673000.0,28206000.0,-1838000.0,5196000.0,15821000.0,,
Pretax Income,188173000.0,103668000.0,24667000.0,57032000.0,47581000.0,,
Other Income Expense,64668000.0,3926000.0,-53203000.0,8811000.0,-12874000.0,,
Other Non Operating Income Expenses,772000.0,713000.0,1068000.0,-570000.0,997000.0,,
Special Income Charges,63858000.0,-1057000.0,-16781000.0,-898000.0,-13168000.0,,
Other Special Charges,,,-314000.0,-676000.0,1335000.0,-31000.0,250000.0
Restructuring And Mergern Acquisition,-63858000.0,1057000.0,17095000.0,1574000.0,13168000.0,,
Gain On Sale Of Security,38000.0,4270000.0,-37490000.0,10279000.0,-703000.0,,
Net Non Operating Interest Income Expense,693000.0,1681000.0,815000.0,-775000.0,-2335000.0,,
Total Other Finance Cost,-693000.0,-1681000.0,-815000.0,775000.0,2335000.0,,
Operating Income,122812000.0,98061000.0,77055000.0,48996000.0,62790000.0,,
Operating Expense,373765000.0,304663000.0,316801000.0,306194000.0,306861000.0,,
Depreciation Amortization Depletion Income Statement,30189000.0,28802000.0,29912000.0,30076000.0,29709000.0,,
Depreciation And Amortization In Income Statement,30189000.0,28802000.0,29912000.0,30076000.0,29709000.0,,
Amortization,30189000.0,28802000.0,29912000.0,30076000.0,29709000.0,,
Amortization Of Intangibles Income Statement,30189000.0,28802000.0,29912000.0,30076000.0,29709000.0,,
Research And Development,39954000.0,33062000.0,33408000.0,35380000.0,37698000.0,,
Selling General And Administration,303622000.0,242799000.0,253481000.0,240738000.0,239454000.0,,
Gross Profit,496577000.0,402724000.0,393856000.0,355190000.0,369651000.0,,
Cost Of Revenue,248765000.0,195397000.0,263437000.0,270515000.0,260040000.0,,
Total Revenue,745342000.0,598121000.0,657293000.0,625705000.0,629691000.0,,
Operating Revenue,745342000.0,598121000.0,657293000.0,625705000.0,629691000.0,,
