,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-10373000.0,-50421000.0,-52902000.0,-72969000.0
Total Unusual Items,-35800000.0,-32333000.0,12000000.0,-11064000.0
Total Unusual Items Excluding Goodwill,-35800000.0,-32333000.0,12000000.0,-11064000.0
Net Income From Continuing Operation Net Minority Interest,-71790000.0,-102581000.0,-66186000.0,-111028000.0
Reconciled Depreciation,6409000.0,7045000.0,11610000.0,17705000.0
Reconciled Cost Of Revenue,67713000.0,63852000.0,62495000.0,54563000.0
EBITDA,-46173000.0,-82754000.0,-40902000.0,-84033000.0
EBIT,-52582000.0,-89799000.0,-52512000.0,-101738000.0
Net Interest Income,-17590000.0,-12279000.0,-11034000.0,-7522000.0
Interest Expense,19208000.0,12782000.0,13674000.0,9290000.0
Interest Income,1618000.0,503000.0,2640000.0,1768000.0
Normalized Income,-35990000.0,-70248000.0,-78186000.0,-99964000.0
Net Income From Continuing And Discontinued Operation,-71790000.0,-102581000.0,-66186000.0,-111028000.0
Total Expenses,199387000.0,178866000.0,167060000.0,172902000.0
Total Operating Income As Reported,17989000.0,-57952000.0,67011000.0,-92225000.0
Diluted Average Shares,64918988.0,254788878.0,254788878.0,254788878.0
Basic Average Shares,64918988.0,254788878.0,254788878.0,254788878.0
Diluted EPS,-7.97,-0.4,-0.35237,-0.526479
Basic EPS,-7.97,-0.4,-0.35237,-0.526479
Diluted NI Availto Com Stockholders,-517197000.0,-102581000.0,-89780000.0,-134141000.0
Net Income Common Stockholders,-517197000.0,-102581000.0,-89780000.0,-134141000.0
Otherunder Preferred Stock Dividend,445407000.0,0.0,23594000.0,23113000.0
Preferred Stock Dividends,,24462000.0,,23113000.0
Net Income,-71790000.0,-102581000.0,-66186000.0,-111028000.0
Net Income Including Noncontrolling Interests,-71790000.0,-102581000.0,-66186000.0,-111028000.0
Net Income Continuous Operations,-71790000.0,-102581000.0,-66186000.0,-111028000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-71790000.0,-102581000.0,-66186000.0,-111028000.0
Other Income Expense,-36211000.0,-32350000.0,11859000.0,-11283000.0
Other Non Operating Income Expenses,-411000.0,-17000.0,-141000.0,-219000.0
Special Income Charges,-17930000.0,,0.0,
Other Special Charges,17930000.0,,,
Gain On Sale Of Security,-17870000.0,-32333000.0,12000000.0,-11064000.0
Net Non Operating Interest Income Expense,-17590000.0,-12279000.0,-11034000.0,-7522000.0
Interest Expense Non Operating,19208000.0,12782000.0,13674000.0,9290000.0
Interest Income Non Operating,1618000.0,503000.0,2640000.0,1768000.0
Operating Income,-17989000.0,-57951000.0,-67011000.0,-92225000.0
Operating Expense,131674000.0,115014000.0,104565000.0,118339000.0
Research And Development,25047000.0,23066000.0,24787000.0,34376000.0
Selling General And Administration,106627000.0,91948000.0,79778000.0,83963000.0
Selling And Marketing Expense,42260000.0,38586000.0,38710000.0,38491000.0
General And Administrative Expense,64367000.0,53362000.0,41068000.0,45472000.0
Other Gand A,64367000.0,41483000.0,41068000.0,42409000.0
Salaries And Wages,,11879000.0,,3063000.0
Gross Profit,113685000.0,57063000.0,37554000.0,26114000.0
Cost Of Revenue,67713000.0,63852000.0,62495000.0,54563000.0
Total Revenue,181398000.0,120915000.0,100049000.0,80677000.0
Operating Revenue,181398000.0,120915000.0,100049000.0,80677000.0
