,2024-06-30,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,384000.0,-625000.0,836000.0,-658000.0
Net Income From Continuing Operation Net Minority Interest,2188000.0,-1578000.0,146000.0,-1055000.0
Reconciled Cost Of Revenue,3802000.0,3320000.0,2751000.0,5482000.0
EBITDA,384000.0,-625000.0,836000.0,-658000.0
EBIT,384000.0,-625000.0,836000.0,-658000.0
Net Interest Income,1804000.0,-953000.0,-690000.0,-397000.0
Interest Expense,,953000.0,690000.0,
Normalized Income,2188000.0,-1578000.0,146000.0,-1055000.0
Net Income From Continuing And Discontinued Operation,2188000.0,-1578000.0,146000.0,-1055000.0
Total Expenses,7161000.0,8142000.0,5942000.0,8406000.0
Total Operating Income As Reported,384000.0,-2474000.0,836000.0,-658000.0
Diluted Average Shares,1823333.0,,333552.0,251190.0
Basic Average Shares,1823333.0,,333552.0,251190.0
Diluted EPS,1.2,,0.437713,-4.2
Basic EPS,1.2,,0.437713,-4.2
Diluted NI Availto Com Stockholders,2188000.0,-1578000.0,146000.0,-1055000.0
Net Income Common Stockholders,2188000.0,-1578000.0,146000.0,-1055000.0
Net Income,2188000.0,-1578000.0,146000.0,-1055000.0
Net Income Including Noncontrolling Interests,2188000.0,-1578000.0,146000.0,-1055000.0
Net Income Continuous Operations,2188000.0,-1578000.0,146000.0,-1055000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,2188000.0,-1578000.0,146000.0,-1055000.0
Net Non Operating Interest Income Expense,1804000.0,-953000.0,-690000.0,-397000.0
Total Other Finance Cost,-1804000.0,,,397000.0
Interest Expense Non Operating,,953000.0,690000.0,
Operating Income,384000.0,-2474000.0,836000.0,-658000.0
Operating Expense,3359000.0,4822000.0,3191000.0,2924000.0
Other Operating Expenses,315000.0,157000.0,793000.0,229000.0
Research And Development,999000.0,674000.0,774000.0,849000.0
Selling General And Administration,2045000.0,2534000.0,1624000.0,1846000.0
Selling And Marketing Expense,686000.0,541000.0,531000.0,556000.0
General And Administrative Expense,1359000.0,1993000.0,1093000.0,1290000.0
Other Gand A,1359000.0,1993000.0,1093000.0,1290000.0
Gross Profit,3743000.0,2348000.0,4027000.0,2266000.0
Cost Of Revenue,3802000.0,3320000.0,2751000.0,5482000.0
Total Revenue,7545000.0,5668000.0,6778000.0,7748000.0
Operating Revenue,7545000.0,5668000.0,6778000.0,7748000.0
