,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-2129000.0,-6521000.0,-8781000.0,-16339000.0
Total Unusual Items,-736000.0,-520000.0,392000.0,-375000.0
Total Unusual Items Excluding Goodwill,-736000.0,-520000.0,392000.0,-375000.0
Net Income From Continuing Operation Net Minority Interest,-5311000.0,-9448000.0,-10692000.0,-18969000.0
Reconciled Depreciation,1352000.0,1333000.0,1171000.0,1125000.0
Reconciled Cost Of Revenue,21065000.0,23063000.0,16378000.0,17747000.0
EBITDA,-2865000.0,-7041000.0,-8389000.0,-16714000.0
EBIT,-4217000.0,-8374000.0,-9560000.0,-17839000.0
Net Interest Income,-231000.0,-532000.0,-1047000.0,-601000.0
Interest Expense,1094000.0,1074000.0,1132000.0,1130000.0
Interest Income,863000.0,542000.0,85000.0,529000.0
Normalized Income,-4575000.0,-8928000.0,-11084000.0,-18594000.0
Net Income From Continuing And Discontinued Operation,-5311000.0,-9448000.0,-10692000.0,-18969000.0
Total Expenses,65715000.0,63359000.0,51249000.0,53088000.0
Total Operating Income As Reported,-4344000.0,-8396000.0,-10037000.0,-17993000.0
Diluted Average Shares,21971000.0,47723000.0,47723000.0,47723000.0
Basic Average Shares,21971000.0,47723000.0,47723000.0,47723000.0
Diluted EPS,-0.24,-0.19,-0.224043,-0.397481
Basic EPS,-0.24,-0.19,-0.224043,-0.397481
Diluted NI Availto Com Stockholders,-5311000.0,-9057000.0,-10692000.0,-18969000.0
Net Income Common Stockholders,-5311000.0,-9057000.0,-10692000.0,-18969000.0
Otherunder Preferred Stock Dividend,,-391000.0,,
Net Income,-5311000.0,-9448000.0,-10692000.0,-18969000.0
Net Income Including Noncontrolling Interests,-5311000.0,-9448000.0,-10692000.0,-18969000.0
Net Income Continuous Operations,-5311000.0,-9448000.0,-10692000.0,-18969000.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-5311000.0,-9448000.0,-10692000.0,-18969000.0
Other Income Expense,-736000.0,-520000.0,392000.0,-375000.0
Gain On Sale Of Security,-736000.0,-520000.0,392000.0,-375000.0
Net Non Operating Interest Income Expense,-231000.0,-532000.0,-1047000.0,-601000.0
Interest Expense Non Operating,1094000.0,1074000.0,1132000.0,1130000.0
Interest Income Non Operating,863000.0,542000.0,85000.0,529000.0
Operating Income,-4344000.0,-8396000.0,-10037000.0,-17993000.0
Operating Expense,44650000.0,40296000.0,34871000.0,35341000.0
Research And Development,10024000.0,8806000.0,8987000.0,8896000.0
Selling General And Administration,34626000.0,31490000.0,25884000.0,26445000.0
Selling And Marketing Expense,22318000.0,20170000.0,15191000.0,17196000.0
General And Administrative Expense,12308000.0,11320000.0,10693000.0,9249000.0
Other Gand A,12308000.0,11320000.0,10693000.0,9249000.0
Gross Profit,40306000.0,31900000.0,24834000.0,17348000.0
Cost Of Revenue,21065000.0,23063000.0,16378000.0,17747000.0
Total Revenue,61371000.0,54963000.0,41212000.0,35095000.0
Operating Revenue,61371000.0,54963000.0,41212000.0,35095000.0
