,2024-09-30,2024-06-30,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,,-11196.975431,-6615.712
Tax Rate For Calcs,0.232,,0.396157,0.232
Normalized EBITDA,13113317.0,,26159605.0,21102547.0
Total Unusual Items,0.0,,-28264.0,-28516.0
Total Unusual Items Excluding Goodwill,0.0,,-28264.0,-28516.0
Net Income From Continuing Operation Net Minority Interest,2832894.0,,14342260.0,8356414.0
Reconciled Depreciation,,,2558302.0,
Reconciled Cost Of Revenue,9845793.0,,18982319.0,13780309.0
EBITDA,13113317.0,,26131341.0,21074031.0
EBIT,13113317.0,,23573039.0,21074031.0
Net Interest Income,2484.0,,-7509.0,6256.0
Interest Expense,5466.0,,7912.0,3978.0
Interest Income,7950.0,,403.0,10234.0
Normalized Income,2832894.0,,14359327.024569,8378314.288
Net Income From Continuing And Discontinued Operation,2832894.0,,14342260.0,8356414.0
Total Expenses,39250280.0,,38332123.0,27226927.0
Total Operating Income As Reported,13834603.0,,23989307.0,20023242.0
Diluted Average Shares,95095144.0,100743253.0,,100743253.0
Basic Average Shares,95095144.0,100743253.0,,100743253.0
Diluted EPS,0.03,0.18348,,0.082948
Basic EPS,0.03,0.18348,,0.082948
Diluted NI Availto Com Stockholders,2832894.0,,14342260.0,8356414.0
Net Income Common Stockholders,2832894.0,,14342260.0,8356414.0
Net Income,2832894.0,,14342260.0,8356414.0
Minority Interests,-1573.0,,112618.0,298623.0
Net Income Including Noncontrolling Interests,2834467.0,,14229642.0,8057791.0
Net Income Continuous Operations,2834467.0,,14229642.0,8057791.0
Tax Provision,10273384.0,,9335485.0,13012262.0
Pretax Income,13107851.0,,23565127.0,21070053.0
Other Income Expense,-729236.0,,-444935.0,1012039.0
Other Non Operating Income Expenses,-729236.0,,-416671.0,1040555.0
Special Income Charges,0.0,,-28264.0,-28516.0
Gain On Sale Of Business,0.0,,,0.0
Other Special Charges,,,28264.0,28516.0
Net Non Operating Interest Income Expense,2484.0,,-7509.0,6256.0
Interest Expense Non Operating,5466.0,,7912.0,3978.0
Interest Income Non Operating,7950.0,,403.0,10234.0
Operating Income,13834603.0,,24017571.0,20051758.0
Operating Expense,29404487.0,,19349804.0,13446618.0
Selling General And Administration,29404487.0,,19349804.0,13446618.0
General And Administrative Expense,29404487.0,,19349804.0,13446618.0
Other Gand A,16597032.0,,19349804.0,13446618.0
Salaries And Wages,12807455.0,,0.0,0.0
Gross Profit,43239090.0,,43367375.0,33498376.0
Cost Of Revenue,9845793.0,,18982319.0,13780309.0
Total Revenue,53084883.0,,62349694.0,47278685.0
Operating Revenue,53084883.0,,62349694.0,47278685.0
