,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,1869000.0
Tax Rate For Calcs,0.21,0.21,0.002075,0.007821,0.21
Normalized EBITDA,-40099000.0,-43626000.0,-37552000.0,-38358000.0,-35689000.0
Total Unusual Items,,,0.0,,8900000.0
Total Unusual Items Excluding Goodwill,,,0.0,,8900000.0
Net Income From Continuing Operation Net Minority Interest,-46632000.0,-49498000.0,-43292000.0,-43641000.0,-32261000.0
Reconciled Depreciation,379000.0,383000.0,383000.0,385000.0,390000.0
Reconciled Cost Of Revenue,5543000.0,3648000.0,3787000.0,3828000.0,2947000.0
EBITDA,-40099000.0,-43626000.0,-37552000.0,-38358000.0,-26789000.0
EBIT,-40478000.0,-44009000.0,-37935000.0,-38743000.0,-27179000.0
Net Interest Income,-2575000.0,-1770000.0,-1932000.0,-1188000.0,-506000.0
Interest Expense,5817000.0,5409000.0,5447000.0,5242000.0,4603000.0
Interest Income,3242000.0,3639000.0,3515000.0,4054000.0,4097000.0
Normalized Income,-46632000.0,-49498000.0,-43292000.0,-43641000.0,-39292000.0
Net Income From Continuing And Discontinued Operation,-46632000.0,-49498000.0,-43292000.0,-43641000.0,-32261000.0
Total Expenses,93798000.0,79708000.0,83085000.0,77136000.0,69556000.0
Total Operating Income As Reported,-45296000.0,-47004000.0,-41255000.0,-43885000.0,-40478000.0
Diluted Average Shares,63684359.0,63059165.0,61596442.0,61219918.0,61011824.0
Basic Average Shares,63684359.0,63059165.0,61596442.0,61219918.0,61011824.0
Diluted EPS,-0.75,-0.81,-0.72,-0.73,-0.55
Basic EPS,-0.75,-0.81,-0.72,-0.73,-0.55
Diluted NI Availto Com Stockholders,-47981000.0,-50820000.0,-47262000.0,-43641000.0,-33563000.0
Net Income Common Stockholders,-47981000.0,-50820000.0,-47262000.0,-43641000.0,-33563000.0
Preferred Stock Dividends,1349000.0,1322000.0,,,1302000.0
Net Income,-46632000.0,-49498000.0,-43292000.0,-43641000.0,-32261000.0
Net Income Including Noncontrolling Interests,-46632000.0,-49498000.0,-43292000.0,-43641000.0,-32261000.0
Net Income Continuous Operations,-46632000.0,-49498000.0,-43292000.0,-43641000.0,-32261000.0
Tax Provision,337000.0,80000.0,-90000.0,-344000.0,479000.0
Pretax Income,-46295000.0,-49418000.0,-43382000.0,-43985000.0,-31782000.0
Other Income Expense,1576000.0,-644000.0,-195000.0,1088000.0,9202000.0
Other Non Operating Income Expenses,1576000.0,-644000.0,-195000.0,1088000.0,302000.0
Gain On Sale Of Security,,,0.0,,8900000.0
Net Non Operating Interest Income Expense,-2575000.0,-1770000.0,-1932000.0,-1188000.0,-506000.0
Interest Expense Non Operating,5817000.0,5409000.0,5447000.0,5242000.0,4603000.0
Interest Income Non Operating,3242000.0,3639000.0,3515000.0,4054000.0,4097000.0
Operating Income,-45296000.0,-47004000.0,-41255000.0,-43885000.0,-40478000.0
Operating Expense,88255000.0,76060000.0,79298000.0,73308000.0,66609000.0
Research And Development,42308000.0,36973000.0,41168000.0,37931000.0,30194000.0
Selling General And Administration,45947000.0,39087000.0,38130000.0,35377000.0,36415000.0
Gross Profit,42959000.0,29056000.0,38043000.0,29423000.0,26131000.0
Cost Of Revenue,5543000.0,3648000.0,3787000.0,3828000.0,2947000.0
Total Revenue,48502000.0,32704000.0,41830000.0,33251000.0,29078000.0
Operating Revenue,48502000.0,32704000.0,41830000.0,33251000.0,29078000.0
