,2024-06-30,2023-06-30
Tax Effect Of Unusual Items,0.0,-1890.0
Tax Rate For Calcs,0.046512,0.21
Normalized EBITDA,65000.0,-748000.0
Total Unusual Items,,-9000.0
Total Unusual Items Excluding Goodwill,,-9000.0
Net Income From Continuing Operation Net Minority Interest,123000.0,-1001000.0
Reconciled Cost Of Revenue,1064000.0,1508000.0
EBITDA,65000.0,-757000.0
EBIT,65000.0,-757000.0
Net Interest Income,31000.0,-26000.0
Interest Expense,,26000.0
Normalized Income,123000.0,-993890.0
Net Income From Continuing And Discontinued Operation,123000.0,-1001000.0
Total Expenses,2334000.0,3485000.0
Total Operating Income As Reported,65000.0,-757000.0
Diluted Average Shares,2856376.0,2856376.0
Basic Average Shares,2856376.0,2856376.0
Diluted EPS,0.044,-0.35
Basic EPS,0.044,-0.35
Diluted NI Availto Com Stockholders,123000.0,-1001000.0
Net Income Common Stockholders,123000.0,-1001000.0
Net Income,123000.0,-1001000.0
Minority Interests,0.0,0.0
Net Income Including Noncontrolling Interests,123000.0,-1001000.0
Net Income Discontinuous Operations,,0.0
Net Income Continuous Operations,123000.0,-1001000.0
Tax Provision,6000.0,13000.0
Pretax Income,129000.0,-988000.0
Other Income Expense,33000.0,-205000.0
Other Non Operating Income Expenses,33000.0,-196000.0
Special Income Charges,,0.0
Gain On Sale Of Business,,0.0
Gain On Sale Of Security,,-9000.0
Net Non Operating Interest Income Expense,31000.0,-26000.0
Total Other Finance Cost,-31000.0,26000.0
Interest Expense Non Operating,,26000.0
Operating Income,65000.0,-757000.0
Operating Expense,1270000.0,1977000.0
Research And Development,75000.0,0.0
Selling General And Administration,1195000.0,1977000.0
Selling And Marketing Expense,251000.0,148000.0
General And Administrative Expense,944000.0,1829000.0
Other Gand A,944000.0,1829000.0
Gross Profit,1335000.0,1220000.0
Cost Of Revenue,1064000.0,1508000.0
Total Revenue,2399000.0,2728000.0
Operating Revenue,2399000.0,2728000.0
