,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,18735475.909432,18017000.0,25261733.228922,24566200.0,22225600.0
Tax Rate For Calcs,0.223307,0.215,0.241277,0.226,0.232
Normalized EBITDA,961900000.0,1006400000.0,1124200000.0,1241400000.0,1477500000.0
Total Unusual Items,83900000.0,83800000.0,104700000.0,108700000.0,95800000.0
Total Unusual Items Excluding Goodwill,83900000.0,83800000.0,104700000.0,108700000.0,95800000.0
Net Income From Continuing Operation Net Minority Interest,723800000.0,505100000.0,872000000.0,972100000.0,1122600000.0
Reconciled Depreciation,207300000.0,205100000.0,223200000.0,226800000.0,231900000.0
Reconciled Cost Of Revenue,6143300000.0,6036200000.0,6350500000.0,6565900000.0,6886500000.0
EBITDA,1045800000.0,1090200000.0,1228900000.0,1350100000.0,1573300000.0
EBIT,838500000.0,885100000.0,1005700000.0,1123300000.0,1341400000.0
Net Interest Income,9500000.0,-325800000.0,38900000.0,24300000.0,23600000.0
Normalized Income,658635475.909432,439317000.0,792561733.228922,887966200.0,1049025600.0
Net Income From Continuing And Discontinued Operation,723800000.0,505100000.0,872000000.0,972100000.0,1122600000.0
Total Expenses,6672000000.0,6556600000.0,6901800000.0,7116600000.0,7430700000.0
Diluted Average Shares,526700000.0,526900000.0,526700000.0,526500000.0,526600000.0
Basic Average Shares,525900000.0,525900000.0,525500000.0,525400000.0,525300000.0
Diluted EPS,1.37,0.96,1.66,1.85,2.13
Basic EPS,1.38,0.96,1.66,1.85,2.14
Diluted NI Availto Com Stockholders,723800000.0,505100000.0,872000000.0,972100000.0,1122600000.0
Net Income Common Stockholders,723800000.0,505100000.0,872000000.0,972100000.0,1122600000.0
Net Income,723800000.0,505100000.0,872000000.0,972100000.0,1122600000.0
Net Income Including Noncontrolling Interests,723800000.0,505100000.0,872000000.0,972100000.0,1122600000.0
Net Income Continuous Operations,723800000.0,505100000.0,872000000.0,972100000.0,1122600000.0
Tax Provision,208100000.0,138000000.0,277300000.0,284200000.0,338200000.0
Pretax Income,931900000.0,643100000.0,1149300000.0,1256300000.0,1460800000.0
Other Income Expense,83900000.0,83800000.0,104700000.0,108700000.0,95800000.0
Gain On Sale Of Security,83900000.0,83800000.0,104700000.0,108700000.0,95800000.0
Net Non Operating Interest Income Expense,9500000.0,-325800000.0,38900000.0,24300000.0,23600000.0
Total Other Finance Cost,-9500000.0,325800000.0,-38900000.0,-24300000.0,-23600000.0
Operating Income,838500000.0,885100000.0,1005700000.0,1123300000.0,1341400000.0
Operating Expense,437800000.0,433600000.0,465000000.0,456400000.0,447700000.0
Provision For Doubtful Accounts,29200000.0,18300000.0,25400000.0,22400000.0,11700000.0
Depreciation Amortization Depletion Income Statement,116400000.0,118300000.0,136900000.0,132500000.0,135400000.0
Depreciation And Amortization In Income Statement,116400000.0,118300000.0,136900000.0,132500000.0,135400000.0
Depreciation Income Statement,116400000.0,118300000.0,136900000.0,132500000.0,135400000.0
Research And Development,112900000.0,115400000.0,115300000.0,115000000.0,117100000.0
Selling General And Administration,179300000.0,181600000.0,187400000.0,186500000.0,183500000.0
Gross Profit,1276300000.0,1318700000.0,1470700000.0,1579700000.0,1789100000.0
Cost Of Revenue,6234200000.0,6123000000.0,6436800000.0,6660200000.0,6983000000.0
Total Revenue,7510500000.0,7441700000.0,7907500000.0,8239900000.0,8772100000.0
Operating Revenue,7510500000.0,7441700000.0,7907500000.0,8239900000.0,8772100000.0
