,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.21,0.002017,0.21
Normalized EBITDA,-13253000.0,-11274000.0,13808000.0,-12469000.0
Net Income From Continuing Operation Net Minority Interest,-12899000.0,-10272000.0,14847000.0,-8693000.0
Reconciled Depreciation,171000.0,173000.0,162000.0,164000.0
EBITDA,-13253000.0,-11274000.0,13808000.0,-12469000.0
EBIT,-13424000.0,-11447000.0,13646000.0,-12633000.0
Net Interest Income,619000.0,720000.0,1222000.0,1247000.0
Interest Income,619000.0,720000.0,1222000.0,1247000.0
Normalized Income,-12899000.0,-10272000.0,14847000.0,-8693000.0
Net Income From Continuing And Discontinued Operation,-12899000.0,-10272000.0,14847000.0,-8693000.0
Total Expenses,13472000.0,11447000.0,10470000.0,12633000.0
Total Operating Income As Reported,-13424000.0,-11447000.0,13646000.0,-12633000.0
Diluted Average Shares,55498000.0,55352000.0,55710000.0,55103000.0
Basic Average Shares,55498000.0,55352000.0,55186000.0,55103000.0
Diluted EPS,-0.23,-0.19,0.27,-0.16
Basic EPS,-0.23,-0.19,0.27,-0.16
Diluted NI Availto Com Stockholders,-12899000.0,-10272000.0,14847000.0,-8693000.0
Net Income Common Stockholders,-12899000.0,-10272000.0,14847000.0,-8693000.0
Net Income,-12899000.0,-10272000.0,14847000.0,-8693000.0
Net Income Including Noncontrolling Interests,-12899000.0,-10272000.0,14847000.0,-8693000.0
Net Income Continuous Operations,-12899000.0,-10272000.0,14847000.0,-8693000.0
Tax Provision,55000.0,54000.0,30000.0,30000.0
Pretax Income,-12844000.0,-10218000.0,14877000.0,-8663000.0
Other Income Expense,-39000.0,509000.0,9000.0,2723000.0
Other Non Operating Income Expenses,-39000.0,509000.0,9000.0,2723000.0
Net Non Operating Interest Income Expense,619000.0,720000.0,1222000.0,1247000.0
Interest Income Non Operating,619000.0,720000.0,1222000.0,1247000.0
Operating Income,-13424000.0,-11447000.0,13646000.0,-12633000.0
Operating Expense,13472000.0,11447000.0,10470000.0,12633000.0
Research And Development,8773000.0,6633000.0,5348000.0,8663000.0
Selling General And Administration,4699000.0,4814000.0,5122000.0,3970000.0
General And Administrative Expense,4699000.0,4814000.0,5122000.0,3970000.0
Other Gand A,4699000.0,4814000.0,5122000.0,3970000.0
Total Revenue,48000.0,0.0,24116000.0,0.0
Operating Revenue,48000.0,0.0,24116000.0,0.0
