,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-27705000.0,-31100000.0,-31216000.0,-18190000.0,-24512000.0
Net Income From Continuing Operation Net Minority Interest,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Reconciled Depreciation,87000.0,88000.0,77000.0,74000.0,87000.0
EBITDA,-27705000.0,-31100000.0,-31216000.0,-18190000.0,-24512000.0
EBIT,-27792000.0,-31188000.0,-31293000.0,-18264000.0,-24599000.0
Normalized Income,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Net Income From Continuing And Discontinued Operation,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Total Expenses,27792000.0,31188000.0,31293000.0,18264000.0,24599000.0
Total Operating Income As Reported,-27792000.0,-31188000.0,-31293000.0,-18264000.0,-24599000.0
Diluted Average Shares,64027892.0,63964008.0,63810823.0,63806158.0,63801792.0
Basic Average Shares,64027892.0,63964008.0,63810823.0,63806158.0,63801792.0
Diluted EPS,-0.41,-0.46,-0.45,-0.24,-0.34
Basic EPS,-0.41,-0.46,-0.45,-0.24,-0.34
Diluted NI Availto Com Stockholders,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Net Income Common Stockholders,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Net Income,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Net Income Including Noncontrolling Interests,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Net Income Continuous Operations,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Pretax Income,-26182000.0,-29281000.0,-28824000.0,-15499000.0,-21627000.0
Other Income Expense,1610000.0,1907000.0,2469000.0,2765000.0,2972000.0
Other Non Operating Income Expenses,1610000.0,1907000.0,2469000.0,2765000.0,2972000.0
Operating Income,-27792000.0,-31188000.0,-31293000.0,-18264000.0,-24599000.0
Operating Expense,27792000.0,31188000.0,31293000.0,18264000.0,24599000.0
Research And Development,23368000.0,26552000.0,26738000.0,13919000.0,19682000.0
Selling General And Administration,4424000.0,4636000.0,4555000.0,4345000.0,4917000.0
General And Administrative Expense,4424000.0,4636000.0,4555000.0,4345000.0,4917000.0
Other Gand A,4424000.0,4636000.0,4555000.0,4345000.0,4917000.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
