,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-15291236.0,-10465623.0,-13643016.0
Total Unusual Items,3033537.0,7242510.0,7484960.0
Total Unusual Items Excluding Goodwill,3033537.0,7242510.0,7484960.0
Net Income From Continuing Operation Net Minority Interest,-14248574.0,-5725370.0,-8275162.0
Reconciled Depreciation,1844008.0,1925832.0,1417349.0
Reconciled Cost Of Revenue,15717233.0,13038596.0,16655439.0
EBITDA,-12257699.0,-3223113.0,-6158056.0
EBIT,-14101707.0,-5148945.0,-7575405.0
Net Interest Income,-146867.0,-576425.0,-699757.0
Interest Expense,146867.0,576425.0,699757.0
Normalized Income,-17282111.0,-12967880.0,-15760122.0
Net Income From Continuing And Discontinued Operation,-14248574.0,-5725370.0,-8275162.0
Total Expenses,31205648.0,30919256.0,35273076.0
Total Operating Income As Reported,-10575441.0,-12039687.0,-15060365.0
Diluted Average Shares,481508.0,242934.0,226465.0
Basic Average Shares,481508.0,242934.0,226465.0
Diluted EPS,-29.9,-23.4,-36.4
Basic EPS,-29.9,-23.4,-36.4
Diluted NI Availto Com Stockholders,-14248574.0,-5725370.0,-8275162.0
Net Income Common Stockholders,-14248574.0,-5725370.0,-8275162.0
Otherunder Preferred Stock Dividend,0.0,,
Net Income,-14248574.0,-5725370.0,-8275162.0
Net Income Including Noncontrolling Interests,-14248574.0,-5725370.0,-8275162.0
Net Income Continuous Operations,-14248574.0,-5725370.0,-8275162.0
Pretax Income,-14248574.0,-5725370.0,-8275162.0
Other Income Expense,-3526266.0,6890742.0,7484960.0
Other Non Operating Income Expenses,-6559803.0,-351768.0,
Gain On Sale Of Security,3033537.0,7242510.0,7484960.0
Net Non Operating Interest Income Expense,-146867.0,-576425.0,-699757.0
Interest Expense Non Operating,146867.0,576425.0,699757.0
Operating Income,-10575441.0,-12039687.0,-15060365.0
Operating Expense,15488415.0,17880660.0,18617637.0
Research And Development,2916349.0,2913403.0,3527521.0
Selling General And Administration,12572066.0,14967257.0,15090116.0
Gross Profit,4912974.0,5840973.0,3557272.0
Cost Of Revenue,15717233.0,13038596.0,16655439.0
Total Revenue,20630207.0,18879569.0,20212711.0
Operating Revenue,20630207.0,18879569.0,20212711.0
