,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.199507,0.203,0.21,0.223,0.21164,
Normalized EBITDA,1244000000.0,963000000.0,1129000000.0,1213000000.0,1036000000.0,
Net Income From Continuing Operation Net Minority Interest,608000000.0,412000000.0,-48000000.0,564000000.0,415000000.0,
Reconciled Depreciation,317000000.0,303000000.0,318000000.0,312000000.0,294000000.0,
Reconciled Cost Of Revenue,4344000000.0,3773000000.0,3804000000.0,4307000000.0,4359000000.0,
EBITDA,1244000000.0,963000000.0,1129000000.0,1213000000.0,1036000000.0,
EBIT,927000000.0,660000000.0,811000000.0,901000000.0,742000000.0,
Net Interest Income,-91000000.0,-82000000.0,-81000000.0,8000000.0,-157000000.0,
Interest Expense,115000000.0,112000000.0,118000000.0,131000000.0,175000000.0,
Interest Income,24000000.0,30000000.0,37000000.0,139000000.0,18000000.0,
Normalized Income,608000000.0,412000000.0,-48000000.0,564000000.0,415000000.0,
Net Income From Continuing And Discontinued Operation,591000000.0,412000000.0,2551000000.0,447000000.0,2337000000.0,
Total Expenses,5318000000.0,4655000000.0,4769000000.0,5278000000.0,5308000000.0,
Total Operating Income As Reported,903000000.0,629000000.0,774000000.0,763000000.0,724000000.0,
Diluted Average Shares,866300000.0,878300000.0,903400000.0,915000000.0,915300000.0,
Basic Average Shares,854900000.0,866900000.0,890100000.0,901200000.0,902400000.0,
Diluted EPS,0.68,0.47,2.82,0.49,2.55,
Basic EPS,0.69,0.47,2.87,0.5,2.59,
Diluted NI Availto Com Stockholders,591000000.0,412000000.0,2551000000.0,447000000.0,2337000000.0,
Net Income Common Stockholders,591000000.0,412000000.0,2551000000.0,447000000.0,2337000000.0,
Net Income,591000000.0,412000000.0,2551000000.0,447000000.0,2337000000.0,
Minority Interests,-42000000.0,-25000000.0,-18000000.0,-34000000.0,-32000000.0,
Net Income Including Noncontrolling Interests,633000000.0,437000000.0,2569000000.0,481000000.0,2369000000.0,
Net Income Discontinuous Operations,-17000000.0,0.0,2599000000.0,-117000000.0,1922000000.0,
Net Income Continuous Operations,650000000.0,437000000.0,-30000000.0,598000000.0,447000000.0,
Tax Provision,162000000.0,111000000.0,723000000.0,172000000.0,120000000.0,
Pretax Income,812000000.0,548000000.0,693000000.0,770000000.0,567000000.0,
Other Income Expense,108000000.0,67000000.0,395000000.0,56000000.0,98000000.0,
Other Non Operating Income Expenses,30000000.0,23000000.0,73000000.0,-10000000.0,8000000.0,
Earnings From Equity Interest,78000000.0,44000000.0,44000000.0,66000000.0,90000000.0,
Net Non Operating Interest Income Expense,-91000000.0,-82000000.0,-81000000.0,8000000.0,-157000000.0,
Interest Expense Non Operating,115000000.0,112000000.0,118000000.0,131000000.0,175000000.0,
Interest Income Non Operating,24000000.0,30000000.0,37000000.0,139000000.0,18000000.0,
Operating Income,795000000.0,563000000.0,379000000.0,706000000.0,626000000.0,
Operating Expense,974000000.0,882000000.0,965000000.0,971000000.0,949000000.0,
Research And Development,161000000.0,153000000.0,162000000.0,172000000.0,160000000.0,
Selling General And Administration,813000000.0,729000000.0,803000000.0,799000000.0,789000000.0,
General And Administrative Expense,813000000.0,,,,789000000.0,961000000.0
Other Gand A,813000000.0,,,,789000000.0,961000000.0
Salaries And Wages,,,,,1000000.0,1000000.0
Gross Profit,1769000000.0,1445000000.0,1344000000.0,1677000000.0,1575000000.0,
Cost Of Revenue,4344000000.0,3773000000.0,3804000000.0,4307000000.0,4359000000.0,
Total Revenue,6113000000.0,5218000000.0,5148000000.0,5984000000.0,5934000000.0,
Operating Revenue,6113000000.0,5218000000.0,5148000000.0,5984000000.0,5934000000.0,
