,2024-09-30,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,221340.0,-420.0
Tax Rate For Calcs,0.0,0.21,0.21
Normalized EBITDA,19332000.0,15738000.0,17158000.0
Total Unusual Items,-23634000.0,1054000.0,-2000.0
Total Unusual Items Excluding Goodwill,-23634000.0,1054000.0,-2000.0
Net Income From Continuing Operation Net Minority Interest,-15410000.0,7628000.0,8779000.0
Reconciled Depreciation,11108000.0,8810000.0,7989000.0
Reconciled Cost Of Revenue,6852000.0,5555000.0,5972000.0
EBITDA,-4302000.0,16792000.0,17156000.0
EBIT,-15410000.0,7982000.0,9167000.0
Net Interest Income,0.0,-354000.0,-388000.0
Interest Expense,0.0,354000.0,388000.0
Normalized Income,8224000.0,6795340.0,8780580.0
Net Income From Continuing And Discontinued Operation,-15410000.0,7628000.0,8779000.0
Total Expenses,21538000.0,16166000.0,15066000.0
Diluted Average Shares,104860322.0,,104781000.0
Basic Average Shares,104860322.0,,104781000.0
Diluted EPS,-0.146957,,0.083784
Basic EPS,-0.146957,,0.083784
Diluted NI Availto Com Stockholders,-15410000.0,7628000.0,8779000.0
Net Income Common Stockholders,-15410000.0,7628000.0,8779000.0
Net Income,-15410000.0,7628000.0,8779000.0
Net Income Including Noncontrolling Interests,-15410000.0,7628000.0,8779000.0
Net Income Continuous Operations,-15410000.0,7628000.0,8779000.0
Pretax Income,-15410000.0,7628000.0,8779000.0
Other Income Expense,-23448000.0,-1159000.0,172000.0
Other Non Operating Income Expenses,186000.0,-2213000.0,174000.0
Special Income Charges,-23634000.0,1054000.0,-2000.0
Gain On Sale Of Ppe,0.0,0.0,371000.0
Restructuring And Mergern Acquisition,23634000.0,,373000.0
Net Non Operating Interest Income Expense,0.0,-354000.0,-388000.0
Interest Expense Non Operating,0.0,354000.0,388000.0
Operating Income,8038000.0,9141000.0,8995000.0
Operating Expense,14686000.0,10611000.0,9094000.0
Depreciation Amortization Depletion Income Statement,11108000.0,8810000.0,7989000.0
Depreciation And Amortization In Income Statement,11108000.0,8810000.0,7989000.0
Selling General And Administration,3578000.0,1801000.0,1105000.0
General And Administrative Expense,3578000.0,1801000.0,1105000.0
Other Gand A,3578000.0,1801000.0,1105000.0
Gross Profit,22724000.0,19752000.0,18089000.0
Cost Of Revenue,6852000.0,5555000.0,5972000.0
Total Revenue,29576000.0,25307000.0,24061000.0
Operating Revenue,29576000.0,25307000.0,24061000.0
