,2023-06-30
Tax Effect Of Unusual Items,6539750.0
Tax Rate For Calcs,0.25
Normalized EBITDA,-32962000.0
Total Unusual Items,26159000.0
Total Unusual Items Excluding Goodwill,26159000.0
Net Income From Continuing Operation Net Minority Interest,7527000.0
Reconciled Cost Of Revenue,266301000.0
EBITDA,-6803000.0
EBIT,-6803000.0
Net Interest Income,-153000.0
Normalized Income,-12092250.0
Net Income From Continuing And Discontinued Operation,7527000.0
Total Expenses,551815000.0
Total Operating Income As Reported,-6803000.0
Diluted Average Shares,11239754.0
Basic Average Shares,10771252.0
Diluted EPS,0.67
Basic EPS,0.7
Diluted NI Availto Com Stockholders,7527000.0
Net Income Common Stockholders,7527000.0
Net Income,7527000.0
Minority Interests,-817000.0
Net Income Including Noncontrolling Interests,8344000.0
Net Income Continuous Operations,8344000.0
Tax Provision,10393000.0
Pretax Income,18737000.0
Other Income Expense,25693000.0
Other Non Operating Income Expenses,-466000.0
Special Income Charges,26797000.0
Gain On Sale Of Business,26797000.0
Gain On Sale Of Security,-638000.0
Net Non Operating Interest Income Expense,-153000.0
Total Other Finance Cost,153000.0
Operating Income,-6803000.0
Operating Expense,285514000.0
Research And Development,15696000.0
Selling General And Administration,269818000.0
Selling And Marketing Expense,150999000.0
General And Administrative Expense,118819000.0
Other Gand A,118819000.0
Gross Profit,278711000.0
Cost Of Revenue,266301000.0
Total Revenue,545012000.0
Operating Revenue,545012000.0
