,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-74466000.0,-55358000.0,-46129000.0,-36578000.0,-33981000.0
Total Unusual Items,4000.0,,1000.0,109000.0,2000.0
Total Unusual Items Excluding Goodwill,4000.0,,1000.0,109000.0,2000.0
Net Income From Continuing Operation Net Minority Interest,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Reconciled Depreciation,112000.0,111000.0,110000.0,87000.0,75000.0
EBITDA,-74462000.0,-55358000.0,-46128000.0,-36469000.0,-33979000.0
EBIT,-74574000.0,-55469000.0,-46238000.0,-36556000.0,-34054000.0
Net Interest Income,9009000.0,9840000.0,10820000.0,11507000.0,11802000.0
Interest Income,9033000.0,9864000.0,10844000.0,11531000.0,11820000.0
Normalized Income,-65565000.0,-45629000.0,-35418000.0,-25049000.0,-22252000.0
Net Income From Continuing And Discontinued Operation,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Total Expenses,74574000.0,55469000.0,46238000.0,36556000.0,34054000.0
Total Operating Income As Reported,-74574000.0,-55469000.0,-46238000.0,-36556000.0,-34054000.0
Diluted Average Shares,112134000.0,112069000.0,111344000.0,110910704.0,110390171.0
Basic Average Shares,112134000.0,112069000.0,111344000.0,110910704.0,110390171.0
Diluted EPS,-0.58,-0.41,-0.32,-0.22,-0.2
Basic EPS,-0.58,-0.41,-0.32,-0.22,-0.2
Diluted NI Availto Com Stockholders,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Net Income Common Stockholders,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Net Income,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Net Income Including Noncontrolling Interests,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Net Income Continuous Operations,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Pretax Income,-65561000.0,-45629000.0,-35417000.0,-24940000.0,-22250000.0
Other Income Expense,4000.0,,1000.0,109000.0,2000.0
Gain On Sale Of Security,4000.0,,1000.0,109000.0,2000.0
Net Non Operating Interest Income Expense,9009000.0,9840000.0,10820000.0,11507000.0,11802000.0
Total Other Finance Cost,24000.0,24000.0,24000.0,24000.0,18000.0
Interest Income Non Operating,9033000.0,9864000.0,10844000.0,11531000.0,11820000.0
Operating Income,-74574000.0,-55469000.0,-46238000.0,-36556000.0,-34054000.0
Operating Expense,74574000.0,55469000.0,46238000.0,36556000.0,34054000.0
Research And Development,60153000.0,41391000.0,30987000.0,22785000.0,23769000.0
Selling General And Administration,14421000.0,14078000.0,15251000.0,13771000.0,10285000.0
General And Administrative Expense,14421000.0,14078000.0,15251000.0,13771000.0,10285000.0
Other Gand A,14421000.0,14078000.0,15251000.0,13771000.0,10285000.0
Total Revenue,0.0,0.0,0.0,0.0,0.0
Operating Revenue,0.0,0.0,0.0,0.0,0.0
