,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-1834000.0,-1865000.0,-1784000.0
Net Income From Continuing Operation Net Minority Interest,-1652000.0,-1762000.0,-1670000.0
EBITDA,-1834000.0,-1865000.0,-1784000.0
EBIT,-1834000.0,-1865000.0,-1784000.0
Net Interest Income,113000.0,103000.0,114000.0
Normalized Income,-1652000.0,-1762000.0,-1670000.0
Net Income From Continuing And Discontinued Operation,-1652000.0,-1762000.0,-1670000.0
Total Expenses,1989000.0,2061000.0,1980000.0
Total Operating Income As Reported,-1834000.0,-1865000.0,-1784000.0
Diluted NI Availto Com Stockholders,-1652000.0,-1762000.0,-1670000.0
Net Income Common Stockholders,-1652000.0,-1762000.0,-1670000.0
Net Income,-1652000.0,-1762000.0,-1670000.0
Net Income Including Noncontrolling Interests,-1652000.0,-1762000.0,-1670000.0
Net Income Continuous Operations,-1652000.0,-1762000.0,-1670000.0
Pretax Income,-1652000.0,-1762000.0,-1670000.0
Net Non Operating Interest Income Expense,113000.0,103000.0,114000.0
Total Other Finance Cost,393000.0,-103000.0,-114000.0
Operating Income,-1834000.0,-1865000.0,-1784000.0
Operating Expense,1989000.0,2061000.0,1980000.0
Research And Development,1267000.0,1299000.0,1356000.0
Selling General And Administration,722000.0,762000.0,624000.0
General And Administrative Expense,722000.0,762000.0,624000.0
Other Gand A,722000.0,762000.0,624000.0
Total Revenue,155000.0,196000.0,196000.0
Operating Revenue,155000.0,196000.0,196000.0
