,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.318,0.21,0.21
Normalized EBITDA,-5371000.0,-9521000.0,-18501000.0,-39192000.0
Net Income From Continuing Operation Net Minority Interest,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Reconciled Depreciation,2696000.0,2584000.0,2536000.0,2414000.0
Reconciled Cost Of Revenue,25267000.0,30621000.0,32749000.0,50418000.0
EBITDA,-5371000.0,-9521000.0,-18501000.0,-39192000.0
EBIT,-8067000.0,-12105000.0,-21037000.0,-41606000.0
Net Interest Income,-1403000.0,-1304000.0,-881000.0,-725000.0
Interest Expense,1403000.0,1304000.0,881000.0,725000.0
Normalized Income,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Net Income From Continuing And Discontinued Operation,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Total Expenses,51785000.0,58048000.0,63315000.0,81822000.0
Total Operating Income As Reported,-8059000.0,-12102000.0,-20978000.0,-41616000.0
Diluted Average Shares,28217453.0,27902956.0,27849604.0,27680080.0
Basic Average Shares,28217453.0,27902956.0,27849604.0,27680080.0
Diluted EPS,-0.34,-0.33,-0.95,-1.41
Basic EPS,-0.34,-0.33,-0.95,-1.41
Diluted NI Availto Com Stockholders,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Net Income Common Stockholders,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Net Income,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Net Income Including Noncontrolling Interests,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Net Income Continuous Operations,-9676000.0,-9143000.0,-26447000.0,-52854000.0
Tax Provision,206000.0,-4266000.0,4529000.0,10523000.0
Pretax Income,-9470000.0,-13409000.0,-21918000.0,-42331000.0
Other Income Expense,-8000.0,-3000.0,-59000.0,10000.0
Other Non Operating Income Expenses,-8000.0,-3000.0,-59000.0,10000.0
Net Non Operating Interest Income Expense,-1403000.0,-1304000.0,-881000.0,-725000.0
Interest Expense Non Operating,1403000.0,1304000.0,881000.0,725000.0
Operating Income,-8059000.0,-12102000.0,-20978000.0,-41616000.0
Operating Expense,25504000.0,26512000.0,29663000.0,30586000.0
Depreciation Amortization Depletion Income Statement,1682000.0,1669000.0,1633000.0,1596000.0
Depreciation And Amortization In Income Statement,1682000.0,1669000.0,1633000.0,1596000.0
Research And Development,9275000.0,9149000.0,10799000.0,13057000.0
Selling General And Administration,14547000.0,15694000.0,17231000.0,15933000.0
Selling And Marketing Expense,8398000.0,9706000.0,9721000.0,9726000.0
General And Administrative Expense,6149000.0,5988000.0,7510000.0,6207000.0
Other Gand A,6149000.0,5988000.0,7510000.0,6207000.0
Gross Profit,17445000.0,14410000.0,8685000.0,-11030000.0
Cost Of Revenue,26281000.0,31536000.0,33652000.0,51236000.0
Total Revenue,43726000.0,45946000.0,42337000.0,40206000.0
Operating Revenue,43726000.0,45946000.0,42337000.0,40206000.0
