,2024-09-30
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-48675.0
Total Unusual Items,-165080.0
Total Unusual Items Excluding Goodwill,-165080.0
Net Income From Continuing Operation Net Minority Interest,610950.0
EBITDA,-213755.0
EBIT,-213755.0
Net Interest Income,989785.0
Interest Income,989785.0
Normalized Income,776030.0
Net Income From Continuing And Discontinued Operation,610950.0
Total Expenses,213755.0
Total Operating Income As Reported,-213755.0
Diluted Average Shares,20748899.0
Basic Average Shares,13792377.0
Diluted EPS,0.03
Basic EPS,0.03
Diluted NI Availto Com Stockholders,610950.0
Net Income Common Stockholders,610950.0
Net Income,610950.0
Net Income Including Noncontrolling Interests,610950.0
Net Income Continuous Operations,610950.0
Tax Provision,0.0
Pretax Income,610950.0
Other Income Expense,-165080.0
Gain On Sale Of Security,-165080.0
Net Non Operating Interest Income Expense,989785.0
Interest Income Non Operating,989785.0
Operating Income,-213755.0
Operating Expense,213755.0
Selling General And Administration,213755.0
General And Administrative Expense,213755.0
Other Gand A,213755.0
Total Revenue,0.0
Operating Revenue,0.0
