,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-4586070.277136,-271062.0,-206983.906734,-118917.0,0.0
Tax Rate For Calcs,0.266942,0.222,0.209498,0.219,0.219542
Total Unusual Items,-17180000.0,-1221000.0,-988000.0,-543000.0,0.0
Total Unusual Items Excluding Goodwill,-17180000.0,-1221000.0,-988000.0,-543000.0,0.0
Net Income From Continuing Operation Net Minority Interest,22510000.0,36745000.0,36005000.0,38097000.0,32716000.0
Reconciled Depreciation,8408000.0,7026000.0,6908000.0,6836000.0,6861000.0
Net Interest Income,124220000.0,107223000.0,106105000.0,101669000.0,97174000.0
Interest Expense,53357000.0,47181000.0,51632000.0,54561000.0,53592000.0
Interest Income,177577000.0,154404000.0,157737000.0,156230000.0,150766000.0
Normalized Income,35103929.722864,37694938.0,36786016.093266,38521083.0,32716000.0
Net Income From Continuing And Discontinued Operation,22510000.0,36745000.0,36005000.0,38097000.0,32716000.0
Diluted Average Shares,50787000.0,47477000.0,47505760.0,47473417.0,47414493.0
Basic Average Shares,50575000.0,47244000.0,47375000.0,47033333.0,47414493.0
Diluted EPS,0.44,0.77,0.76,0.8,0.69
Basic EPS,0.45,0.78,0.76,0.81,0.69
Diluted NI Availto Com Stockholders,22510000.0,36745000.0,36005000.0,38097000.0,32716000.0
Net Income Common Stockholders,22510000.0,36745000.0,36005000.0,38097000.0,32716000.0
Net Income,22510000.0,36745000.0,36005000.0,38097000.0,32716000.0
Net Income Including Noncontrolling Interests,22510000.0,36745000.0,36005000.0,38097000.0,32716000.0
Net Income Continuous Operations,22510000.0,36745000.0,36005000.0,38097000.0,32716000.0
Tax Provision,8197000.0,10476000.0,9542000.0,10681000.0,9203000.0
Pretax Income,30707000.0,47221000.0,45547000.0,48778000.0,41919000.0
Special Income Charges,-17180000.0,-1221000.0,-988000.0,-543000.0,0.0
Restructuring And Mergern Acquisition,17180000.0,1221000.0,988000.0,543000.0,0.0
Gain On Sale Of Security,112000.0,-104000.0,222000.0,476000.0,-92000.0
Depreciation Amortization Depletion Income Statement,3042000.0,2111000.0,2080000.0,2062000.0,2133000.0
Depreciation And Amortization In Income Statement,3042000.0,2111000.0,2080000.0,2062000.0,2133000.0
Amortization,3042000.0,2111000.0,2080000.0,2062000.0,2133000.0
Amortization Of Intangibles Income Statement,3042000.0,2111000.0,2080000.0,2062000.0,2133000.0
Selling General And Administration,66949000.0,63526000.0,64287000.0,62167000.0,57933000.0
Selling And Marketing Expense,974000.0,1138000.0,990000.0,711000.0,873000.0
General And Administrative Expense,65975000.0,62388000.0,63297000.0,61456000.0,57060000.0
Insurance And Claims,1820000.0,1694000.0,1548000.0,1815000.0,1667000.0
Salaries And Wages,64155000.0,60694000.0,61749000.0,59641000.0,55393000.0
Total Revenue,170663000.0,154016000.0,147854000.0,146883000.0,139691000.0
Operating Revenue,170663000.0,154016000.0,147854000.0,146883000.0,139691000.0
Occupancy And Equipment,9038000.0,9027000.0,7786000.0,7754000.0,7671000.0
Professional Expense And Contract Services Expense,5021000.0,4952000.0,4843000.0,4871000.0,4565000.0
Other Non Interest Expense,20891000.0,18404000.0,20114000.0,17788000.0,16571000.0
