,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,250762.365522,100000.0,-160595.855226,7896.0
Tax Rate For Calcs,0.230268,0.04,0.055743,0.056
Normalized EBITDA,61024000.0,64828000.0,40398000.0,36104000.0
Total Unusual Items,1089000.0,2500000.0,-2881000.0,141000.0
Total Unusual Items Excluding Goodwill,1089000.0,2500000.0,-2881000.0,141000.0
Net Income From Continuing Operation Net Minority Interest,47651000.0,50700000.0,32168000.0,32898000.0
Reconciled Depreciation,126000.0,2728000.0,-402000.0,1532000.0
Reconciled Cost Of Revenue,33202000.0,37572000.0,31459000.0,27378000.0
EBITDA,62113000.0,67328000.0,37517000.0,36245000.0
EBIT,60863000.0,64600000.0,36958000.0,34713000.0
Normalized Income,46812762.365522,48300000.0,34888404.144774,32764896.0
Net Income From Continuing And Discontinued Operation,47651000.0,50700000.0,32168000.0,32898000.0
Total Expenses,91845000.0,90300000.0,66846000.0,65243000.0
Total Operating Income As Reported,-86641000.0,89300000.0,-55147000.0,51928000.0
Diluted Average Shares,2843000.0,58266307.0,58266307.0,58266307.0
Basic Average Shares,2561000.0,58266307.0,58266307.0,58266307.0
Diluted EPS,16.76,0.87,0.552086,0.564614
Basic EPS,18.61,0.87,0.552086,0.564614
Diluted NI Availto Com Stockholders,47651000.0,50700000.0,32168000.0,32898000.0
Net Income Common Stockholders,47651000.0,50700000.0,32168000.0,32898000.0
Net Income,47651000.0,50700000.0,32168000.0,32898000.0
Minority Interests,,0.0,,
Net Income Including Noncontrolling Interests,47651000.0,50700000.0,32168000.0,32898000.0
Net Income Continuous Operations,47651000.0,50600000.0,32168000.0,32898000.0
Tax Provision,14255000.0,16400000.0,1899000.0,1939000.0
Pretax Income,61906000.0,67000000.0,34067000.0,34837000.0
Other Income Expense,1089000.0,2500000.0,-2881000.0,141000.0
Special Income Charges,,0.0,,
Gain On Sale Of Business,,0.0,,
Gain On Sale Of Security,1089000.0,2500000.0,-2881000.0,141000.0
Operating Income,60863000.0,64600000.0,36958000.0,34713000.0
Operating Expense,59767000.0,51600000.0,36348000.0,36904000.0
Other Operating Expenses,18600000.0,18200000.0,12500000.0,11300000.0
Provision For Doubtful Accounts,560000.0,500000.0,983000.0,787000.0
Depreciation Amortization Depletion Income Statement,1250000.0,1600000.0,559000.0,571000.0
Depreciation And Amortization In Income Statement,1250000.0,1600000.0,559000.0,571000.0
Selling General And Administration,39357000.0,31300000.0,22306000.0,24246000.0
Selling And Marketing Expense,5013000.0,4500000.0,1882000.0,1834000.0
General And Administrative Expense,34344000.0,26800000.0,20424000.0,22412000.0
Other Gand A,34344000.0,26800000.0,20424000.0,22412000.0
Gross Profit,120630000.0,116200000.0,73306000.0,71617000.0
Cost Of Revenue,32078000.0,38700000.0,30498000.0,28339000.0
Total Revenue,152708000.0,154900000.0,103804000.0,99956000.0
Operating Revenue,152708000.0,154900000.0,103804000.0,99956000.0
