,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-173649445.769948,-3901921026.971196,-508648734.784444,-190423800000.0,-1359578837.409506
Tax Rate For Calcs,0.000268,0.001311,0.002026,0.2,0.002229
Normalized EBITDA,-9217933000000.0,-23077361000000.0,-5359241000000.0,-10722578000000.0,-7898828000000.0
Total Unusual Items,-647291000000.0,-2975957000000.0,-251088000000.0,-952119000000.0,-609830000000.0
Total Unusual Items Excluding Goodwill,-647291000000.0,-2975957000000.0,-251088000000.0,-952119000000.0,-609830000000.0
Net Income From Continuing Operation Net Minority Interest,-17671789000000.0,-30575583000000.0,-13227273000000.0,-18741226000000.0,-14721282000000.0
Reconciled Depreciation,2779687000000.0,2591639000000.0,2676686000000.0,2504756000000.0,2103396000000.0
Reconciled Cost Of Revenue,22042866000000.0,29550771000000.0,15284423000000.0,14106687000000.0,10354773000000.0
EBITDA,-9865224000000.0,-26053318000000.0,-5610329000000.0,-11674697000000.0,-8508658000000.0
EBIT,-12644911000000.0,-28644957000000.0,-8287015000000.0,-14179453000000.0,-10612054000000.0
Net Interest Income,-5028029000000.0,-5117126000000.0,-4916621000000.0,-4314987000000.0,-4136308000000.0
Interest Expense,5053606000000.0,1990021000000.0,4991829000000.0,4514558000000.0,4164757000000.0
Interest Income,25577000000.0,318117000000.0,75208000000.0,199571000000.0,28449000000.0
Normalized Income,-17024671649445.77,-27603527921026.973,-12976693648734.785,-17979530800000.0,-14112811578837.41
Net Income From Continuing And Discontinued Operation,-17671789000000.0,-30575583000000.0,-13227273000000.0,-18741226000000.0,-14721282000000.0
Total Expenses,28366539000000.0,39011101000000.0,20447908000000.0,22066675000000.0,16555103000000.0
Total Operating Income As Reported,-12060163000000.0,-23852111000000.0,-8121371000000.0,-13396437000000.0,-10029239000000.0
Diluted Average Shares,2338812558.0,2338695829.0,2338695829.0,2338286336.0,2337862964.0
Basic Average Shares,2338812558.0,2338695829.0,2338695829.0,2338286336.0,2337862964.0
Diluted EPS,-7556.0,-13074.0,-5656.0,-8015.0,-6297.0
Basic EPS,-7556.0,-13074.0,-5656.0,-8015.0,-6297.0
Diluted NI Availto Com Stockholders,-17671789000000.0,-30575583000000.0,-13227273000000.0,-18741226000000.0,-14721282000000.0
Net Income Common Stockholders,-17671789000000.0,-30575583000000.0,-13227273000000.0,-18741226000000.0,-14721282000000.0
Net Income,-17671789000000.0,-30575583000000.0,-13227273000000.0,-18741226000000.0,-14721282000000.0
Minority Interests,21980000000.0,19228000000.0,24671000000.0,23101000000.0,22585000000.0
Net Income Including Noncontrolling Interests,-17693769000000.0,-30594811000000.0,-13251944000000.0,-18764327000000.0,-14743867000000.0
Net Income Continuous Operations,-17693769000000.0,-30594811000000.0,-13251944000000.0,-18764327000000.0,-14743867000000.0
Tax Provision,-4748000000.0,-40167000000.0,-26900000000.0,70316000000.0,-32944000000.0
Pretax Income,-17698517000000.0,-30634978000000.0,-13278844000000.0,-18694011000000.0,-14776811000000.0
Other Income Expense,-610325000000.0,-3003127000000.0,-240852000000.0,-982587000000.0,-611264000000.0
Earnings From Equity Interest,36966000000.0,-27170000000.0,10236000000.0,-30468000000.0,-1434000000.0
Gain On Sale Of Security,-647291000000.0,-2405907000000.0,-251088000000.0,-952119000000.0,-609830000000.0
Net Non Operating Interest Income Expense,-5028029000000.0,-5117126000000.0,-4916621000000.0,-4314987000000.0,-4136308000000.0
Interest Expense Non Operating,5053606000000.0,1990021000000.0,4991829000000.0,4514558000000.0,4164757000000.0
Interest Income Non Operating,25577000000.0,318117000000.0,75208000000.0,199571000000.0,28449000000.0
Operating Income,-12060163000000.0,-22514725000000.0,-8121371000000.0,-13396437000000.0,-10029239000000.0
Operating Expense,6323673000000.0,9460330000000.0,5163485000000.0,7959988000000.0,6200330000000.0
Other Operating Expenses,557488000000.0,249115000000.0,-389450000000.0,1460667000000.0,550441000000.0
Research And Development,2015586000000.0,2678370000000.0,2091725000000.0,2662530000000.0,2592704000000.0
Selling General And Administration,3750599000000.0,6532845000000.0,3461210000000.0,3836791000000.0,3057185000000.0
Selling And Marketing Expense,1573154000000.0,2709356000000.0,2050062000000.0,1523054000000.0,1713130000000.0
General And Administrative Expense,2177445000000.0,3823489000000.0,1411148000000.0,2313737000000.0,1344055000000.0
Other Gand A,2177445000000.0,3823489000000.0,1411148000000.0,2313737000000.0,1344055000000.0
Gross Profit,-5736490000000.0,-13054395000000.0,-2957886000000.0,-5436449000000.0,-3828909000000.0
Cost Of Revenue,22042866000000.0,29550771000000.0,15284423000000.0,14106687000000.0,10354773000000.0
Total Revenue,16306376000000.0,16496376000000.0,12326537000000.0,8670238000000.0,6525864000000.0
Operating Revenue,16306376000000.0,16496376000000.0,12326537000000.0,8670238000000.0,6525864000000.0
