,2024-06-30,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,1507.357157,283786.694826,-363389.535344,55842.932729
Tax Rate For Calcs,0.062807,0.099261,0.062653,0.016478
Normalized EBITDA,16254000.0,10925000.0,32930000.0,17063000.0
Total Unusual Items,24000.0,2859000.0,-5800000.0,3389000.0
Total Unusual Items Excluding Goodwill,24000.0,2859000.0,-5800000.0,3389000.0
Net Income From Continuing Operation Net Minority Interest,14713000.0,11089000.0,23683000.0,19518000.0
Reconciled Depreciation,561000.0,1624000.0,1749000.0,495000.0
Reconciled Cost Of Revenue,35388000.0,37556000.0,39920000.0,41692000.0
EBITDA,16278000.0,13784000.0,27130000.0,20452000.0
EBIT,15717000.0,12160000.0,25381000.0,19957000.0
Net Interest Income,464000.0,970000.0,898000.0,857000.0
Interest Expense,18000.0,-151000.0,115000.0,112000.0
Interest Income,569000.0,907000.0,1101000.0,1063000.0
Normalized Income,14690507.357157,8513786.694826,29119610.464656,16184842.932729
Net Income From Continuing And Discontinued Operation,14713000.0,11089000.0,23683000.0,19518000.0
Total Expenses,90613000.0,100633000.0,91127000.0,99265000.0
Total Operating Income As Reported,15025000.0,8070000.0,28957000.0,14785000.0
Diluted Average Shares,1827046.0,,19738950.0,1973146.0
Basic Average Shares,1811310.0,,19738950.0,1973146.0
Diluted EPS,8.1,,1.2,9.9
Basic EPS,8.1,,1.2,9.9
Diluted NI Availto Com Stockholders,14713000.0,11089000.0,23683000.0,19518000.0
Net Income Common Stockholders,14713000.0,11089000.0,23683000.0,19518000.0
Net Income,14713000.0,11089000.0,23683000.0,19518000.0
Minority Interests,,0.0,0.0,
Net Income Including Noncontrolling Interests,14713000.0,11089000.0,23683000.0,19518000.0
Net Income Continuous Operations,14713000.0,11089000.0,23683000.0,19518000.0
Tax Provision,986000.0,1222000.0,1583000.0,327000.0
Pretax Income,15699000.0,12311000.0,25266000.0,19845000.0
Other Income Expense,24000.0,2859000.0,-5800000.0,3389000.0
Special Income Charges,-186000.0,-412000.0,-1211000.0,-814000.0
Gain On Sale Of Business,,0.0,0.0,
Write Off,186000.0,412000.0,1211000.0,814000.0
Earnings From Equity Interest,0.0,0.0,0.0,0.0
Gain On Sale Of Security,210000.0,3271000.0,-4589000.0,4203000.0
Net Non Operating Interest Income Expense,464000.0,970000.0,898000.0,857000.0
Total Other Finance Cost,87000.0,88000.0,88000.0,94000.0
Interest Expense Non Operating,18000.0,-151000.0,115000.0,112000.0
Interest Income Non Operating,569000.0,907000.0,1101000.0,1063000.0
Operating Income,15211000.0,8482000.0,30168000.0,15599000.0
Operating Expense,55225000.0,63077000.0,51207000.0,57573000.0
Other Operating Expenses,258000.0,1964000.0,312000.0,246000.0
Depreciation Amortization Depletion Income Statement,561000.0,1624000.0,1749000.0,495000.0
Depreciation And Amortization In Income Statement,561000.0,1624000.0,1749000.0,495000.0
Selling General And Administration,54406000.0,59489000.0,49146000.0,56832000.0
Selling And Marketing Expense,45038000.0,52114000.0,40948000.0,48813000.0
General And Administrative Expense,9368000.0,7375000.0,8198000.0,8019000.0
Other Gand A,3333000.0,1663000.0,1719000.0,1429000.0
Insurance And Claims,322000.0,300000.0,363000.0,405000.0
Salaries And Wages,5713000.0,5412000.0,6116000.0,6185000.0
Gross Profit,70436000.0,71559000.0,81375000.0,73172000.0
Cost Of Revenue,35388000.0,37556000.0,39920000.0,41692000.0
Total Revenue,105824000.0,109115000.0,121295000.0,114864000.0
Operating Revenue,105824000.0,109115000.0,121295000.0,114864000.0
