,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,-7297439.131752
Tax Rate For Calcs,0.25,0.25,0.25,0.233548
Total Unusual Items,,,,-31246000.0
Total Unusual Items Excluding Goodwill,,,,-31246000.0
Net Income From Continuing Operation Net Minority Interest,-874806000.0,-792072000.0,-870463000.0,-844238000.0
Net Interest Income,2627441000.0,2702500000.0,2787035000.0,2510081000.0
Interest Expense,59492000.0,2607792000.0,58156000.0,8846178000.0
Interest Income,2686933000.0,5310292000.0,2845191000.0,11356259000.0
Normalized Income,-874806000.0,-792072000.0,-870463000.0,-820289439.131752
Net Income From Continuing And Discontinued Operation,-874806000.0,-792072000.0,-870463000.0,-844238000.0
Diluted Average Shares,781076786.0,,572673026.0,
Basic Average Shares,781076786.0,,572673026.0,
Diluted EPS,-1.12,,-1.52,
Basic EPS,-1.12,,-1.52,
Diluted NI Availto Com Stockholders,-874806000.0,-792072000.0,-870463000.0,-844238000.0
Net Income Common Stockholders,-874806000.0,-792072000.0,-870463000.0,-844238000.0
Net Income,-874806000.0,-792072000.0,-870463000.0,-844238000.0
Minority Interests,-149552000.0,-62081000.0,-40502000.0,-11763000.0
Net Income Including Noncontrolling Interests,-725254000.0,-729991000.0,-829961000.0,-832475000.0
Net Income Continuous Operations,-725254000.0,-729991000.0,-829961000.0,-832475000.0
Tax Provision,6898000.0,365503000.0,1277224000.0,-253666000.0
Pretax Income,-718356000.0,-364488000.0,447263000.0,-1086141000.0
Special Income Charges,,,,-31246000.0
Write Off,,,,31246000.0
Gain On Sale Of Security,72988000.0,44174000.0,321758000.0,218883000.0
Selling General And Administration,1615194000.0,1882234000.0,2000600000.0,2562485000.0
Selling And Marketing Expense,1147502000.0,1371539000.0,1518096000.0,2006965000.0
General And Administrative Expense,467692000.0,510695000.0,482504000.0,555520000.0
Other Gand A,467692000.0,510695000.0,482504000.0,555520000.0
Total Revenue,4387486000.0,4585992000.0,5578878000.0,5691738000.0
Operating Revenue,4387486000.0,4585992000.0,5578878000.0,5691738000.0
Other Non Interest Expense,220434000.0,557883000.0,268840000.0,586677000.0
