,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-16558000.0,-4036000.0,-3435000.0
Total Unusual Items,1320000.0,-259000.0,2501000.0
Total Unusual Items Excluding Goodwill,1320000.0,-259000.0,2501000.0
Net Income From Continuing Operation Net Minority Interest,-15174000.0,-4359000.0,-934000.0
Reconciled Cost Of Revenue,-180439000.0,75843000.0,72943000.0
EBITDA,-15238000.0,-4295000.0,-934000.0
EBIT,-15238000.0,-4295000.0,-934000.0
Net Interest Income,0.0,200000.0,2000.0
Interest Expense,,,0.0
Interest Income,0.0,200000.0,2000.0
Normalized Income,-16494000.0,-4100000.0,-3435000.0
Net Income From Continuing And Discontinued Operation,-18500000.0,-4359000.0,-934000.0
Total Expenses,-165304000.0,81312000.0,77827000.0
Total Operating Income As Reported,-13933000.0,-3746000.0,-1536000.0
Diluted Average Shares,11112323.0,11112323.0,
Basic Average Shares,11112323.0,11112323.0,
Diluted EPS,-0.379579,-0.392267,
Basic EPS,-0.379579,-0.392267,
Diluted NI Availto Com Stockholders,-18500000.0,-4359000.0,-934000.0
Net Income Common Stockholders,-18500000.0,-4359000.0,-934000.0
Net Income,-18500000.0,-4359000.0,-934000.0
Minority Interests,0.0,0.0,0.0
Net Income Including Noncontrolling Interests,-18500000.0,-4359000.0,-934000.0
Net Income Continuous Operations,-15174000.0,-4359000.0,-934000.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-15174000.0,-4359000.0,-934000.0
Other Income Expense,375000.0,-264000.0,2826000.0
Other Non Operating Income Expenses,289000.0,-5000.0,317000.0
Special Income Charges,208000.0,549000.0,2226000.0
Gain On Sale Of Ppe,-484000.0,1754000.0,3923000.0
Gain On Sale Of Business,,0.0,
Write Off,-692000.0,1205000.0,1697000.0
Impairment Of Capital Assets,0.0,0.0,0.0
Restructuring And Mergern Acquisition,,,0.0
Earnings From Equity Interest,-1234000.0,0.0,8000.0
Gain On Sale Of Security,1112000.0,-808000.0,275000.0
Net Non Operating Interest Income Expense,0.0,200000.0,2000.0
Interest Expense Non Operating,,,0.0
Interest Income Non Operating,0.0,200000.0,2000.0
Operating Income,-15549000.0,-4295000.0,-3762000.0
Operating Expense,15135000.0,5469000.0,4884000.0
Other Operating Expenses,11380000.0,1106000.0,119000.0
Selling General And Administration,2881000.0,4363000.0,4765000.0
Selling And Marketing Expense,-228000.0,115000.0,131000.0
General And Administrative Expense,3109000.0,4248000.0,4634000.0
Other Gand A,3109000.0,4248000.0,4634000.0
Gross Profit,-414000.0,1174000.0,1122000.0
Cost Of Revenue,-180439000.0,75843000.0,72943000.0
Total Revenue,-180853000.0,77017000.0,74065000.0
Operating Revenue,-180853000.0,77017000.0,74065000.0
