,2024-09-30,2024-03-31,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,0.0,,0.0,0.0
Tax Rate For Calcs,0.086463,,0.0851,0.17
Normalized EBITDA,63762000.0,,46692000.0,19941000.0
Net Income From Continuing Operation Net Minority Interest,37724000.0,,23106000.0,-1390000.0
Reconciled Depreciation,20378000.0,,18995000.0,17767000.0
Reconciled Cost Of Revenue,131293000.0,,134269000.0,116710000.0
EBITDA,63762000.0,,46692000.0,19941000.0
EBIT,43384000.0,,27697000.0,2174000.0
Net Interest Income,-2164000.0,,-7351000.0,-1816000.0
Interest Expense,2164000.0,,2268000.0,1816000.0
Normalized Income,37724000.0,,23106000.0,-1390000.0
Net Income From Continuing And Discontinued Operation,37724000.0,,23106000.0,-1390000.0
Total Expenses,183164000.0,,173740000.0,164887000.0
Rent Expense Supplemental,5366000.0,,5548000.0,5349000.0
Diluted Average Shares,62873333.0,44570000.0,,55740000.0
Basic Average Shares,62873333.0,44570000.0,,55740000.0
Diluted EPS,0.6,-0.1,,-0.022443
Basic EPS,0.6,-0.1,,-0.022443
Diluted NI Availto Com Stockholders,37724000.0,,23106000.0,-1390000.0
Net Income Common Stockholders,37724000.0,,23106000.0,-1390000.0
Net Income,37724000.0,,23106000.0,-1390000.0
Minority Interests,68000.0,,,12000.0
Net Income Including Noncontrolling Interests,37656000.0,,23265000.0,-1402000.0
Net Income Continuous Operations,37656000.0,,23265000.0,-1402000.0
Tax Provision,3564000.0,,2164000.0,1760000.0
Pretax Income,41220000.0,,25429000.0,358000.0
Other Income Expense,27932000.0,,,-6191000.0
Other Non Operating Income Expenses,27932000.0,,5746000.0,-6191000.0
Net Non Operating Interest Income Expense,-2164000.0,,-7351000.0,-1816000.0
Interest Expense Non Operating,2164000.0,,2268000.0,1816000.0
Operating Income,15452000.0,,15439000.0,8365000.0
Operating Expense,51871000.0,,39471000.0,48177000.0
Other Operating Expenses,24612000.0,,7311000.0,23509000.0
Depreciation Amortization Depletion Income Statement,20378000.0,,,17767000.0
Depreciation And Amortization In Income Statement,20378000.0,,18995000.0,17767000.0
Selling General And Administration,6881000.0,,10010000.0,6901000.0
General And Administrative Expense,6881000.0,,10961000.0,6901000.0
Other Gand A,1515000.0,,,1552000.0
Rent And Landing Fees,5366000.0,,5548000.0,5349000.0
Gross Profit,67323000.0,,54910000.0,56542000.0
Cost Of Revenue,131293000.0,,134269000.0,116710000.0
Total Revenue,198616000.0,,189179000.0,173252000.0
Operating Revenue,198616000.0,,189179000.0,173252000.0
