,2024-09-30,2024-06-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.390876,0.21,0.209998,0.355607
Normalized EBITDA,27386159.0,19615075.0,22985729.0,22305354.0
Net Income From Continuing Operation Net Minority Interest,2366384.0,-1603059.0,-214179.0,354152.0
Reconciled Depreciation,16922923.0,16231651.0,17001350.0,15601144.0
Reconciled Cost Of Revenue,1601114.0,1955141.0,1433031.0,1129440.0
EBITDA,27386159.0,19615075.0,22985729.0,22305354.0
EBIT,10463236.0,3383421.0,5984379.0,6704210.0
Net Interest Income,-7434308.0,-6973181.0,-6987927.0,-6614737.0
Interest Expense,6578338.0,6232510.0,6255491.0,6154620.0
Normalized Income,2366384.0,-1603059.0,-214179.0,354152.0
Net Income From Continuing And Discontinued Operation,2366384.0,-1603059.0,-214179.0,354152.0
Total Expenses,27269295.0,27634793.0,27228058.0,26785111.0
Rent Expense Supplemental,406660.0,398910.0,398557.0,376132.0
Total Operating Income As Reported,9557492.0,2377066.0,5043982.0,5616678.0
Diluted Average Shares,24545877.0,23704486.0,23832890.0,
Basic Average Shares,23833902.0,23704486.0,23832890.0,
Diluted EPS,0.045286,-0.117744,-0.054343,
Basic EPS,0.045286,-0.117744,-0.054343,
Diluted NI Availto Com Stockholders,1189982.0,-2694801.0,-1283635.0,-715304.0
Average Dilution Earnings,,0.0,,
Net Income Common Stockholders,1189982.0,-2694801.0,-1283635.0,-715304.0
Preferred Stock Dividends,1176402.0,1091742.0,1069456.0,1069456.0
Net Income,2366384.0,-1603059.0,-214179.0,354152.0
Net Income Including Noncontrolling Interests,2366384.0,-1603059.0,-214179.0,354152.0
Net Income Continuous Operations,2366384.0,-1603059.0,-214179.0,354152.0
Tax Provision,1518514.0,-1246030.0,-56933.0,195438.0
Pretax Income,3884898.0,-2849089.0,-271112.0,549590.0
Net Non Operating Interest Income Expense,-7434308.0,-6973181.0,-6987927.0,-6614737.0
Total Other Finance Cost,855970.0,740671.0,732436.0,460117.0
Interest Expense Non Operating,6578338.0,6232510.0,6255491.0,6154620.0
Operating Income,11319206.0,4124092.0,6716815.0,3485638.0
Operating Expense,11181615.0,25679655.0,11109164.0,12260706.0
Other Operating Expenses,690472.0,689435.0,703974.0,1023908.0
Other Taxes,51957.0,72689.0,71394.0,
Depreciation Amortization Depletion Income Statement,2436357.0,16231654.0,2315487.0,2206179.0
Depreciation And Amortization In Income Statement,2436357.0,16231654.0,2315487.0,2206179.0
Amortization,,2382729.0,,
Amortization Of Intangibles Income Statement,,2382729.0,,
Depreciation Income Statement,,13848925.0,,
Selling General And Administration,8002829.0,8685877.0,8018309.0,9030619.0
Selling And Marketing Expense,2016764.0,2584603.0,1831023.0,3409106.0
General And Administrative Expense,5986065.0,6101274.0,6187286.0,5621513.0
Other Gand A,1226225.0,1176235.0,1325389.0,1175807.0
Insurance And Claims,146836.0,146642.0,162297.0,163132.0
Rent And Landing Fees,406660.0,398910.0,398557.0,376132.0
Salaries And Wages,4206344.0,4379487.0,4301043.0,3906442.0
Gross Profit,22500821.0,29803747.0,17825979.0,15746344.0
Cost Of Revenue,16087680.0,1955138.0,16118894.0,14524405.0
Total Revenue,38588501.0,31758885.0,33944873.0,30270749.0
Operating Revenue,38588501.0,31758885.0,33944873.0,30270749.0
