,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.112,0.279401,0.09
Net Income From Continuing Operation Net Minority Interest,27494000.0,38096000.0,14724000.0,12106000.0
Reconciled Depreciation,650000.0,497000.0,706000.0,688000.0
Normalized Income,27494000.0,38096000.0,14724000.0,12106000.0
Net Income From Continuing And Discontinued Operation,27494000.0,38096000.0,14724000.0,12106000.0
Total Expenses,50402000.0,28977000.0,25950000.0,31001000.0
Diluted Average Shares,16962075.0,19581828.0,19581828.0,19581828.0
Basic Average Shares,16962075.0,19581828.0,19581828.0,19581828.0
Diluted EPS,1.62,1.945477,0.719545,0.618226
Basic EPS,1.62,1.945477,0.719545,0.618226
Diluted NI Availto Com Stockholders,27494000.0,38096000.0,14090000.0,12106000.0
Net Income Common Stockholders,27494000.0,38096000.0,14090000.0,12106000.0
Otherunder Preferred Stock Dividend,,,634000.0,
Net Income,27494000.0,38096000.0,14724000.0,12106000.0
Net Income Including Noncontrolling Interests,27494000.0,38096000.0,14724000.0,12106000.0
Net Income Continuous Operations,27494000.0,38096000.0,14724000.0,12106000.0
Tax Provision,-3397000.0,4813000.0,5709000.0,1201000.0
Pretax Income,24097000.0,42909000.0,20433000.0,13307000.0
Other Income Expense,98000.0,161000.0,198000.0,217000.0
Selling General And Administration,22932000.0,5008000.0,6757000.0,5282000.0
General And Administrative Expense,22932000.0,5008000.0,6757000.0,5282000.0
Other Gand A,22932000.0,5008000.0,6757000.0,5282000.0
Total Revenue,74499000.0,71886000.0,46383000.0,44308000.0
Operating Revenue,74499000.0,71886000.0,46383000.0,44308000.0
Loss Adjustment Expense,21189000.0,20862000.0,12642000.0,20365000.0
Net Policyholder Benefits And Claims,21189000.0,20862000.0,12642000.0,20365000.0
