,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,-4898378.542203,-5988500.0,-10594871.794872,83150000.0,-1976536.312849
Tax Rate For Calcs,0.199121,0.203,0.102564,0.25,0.162011
Normalized EBITDA,1002400000.0,848200000.0,952300000.0,971200000.0,918100000.0
Total Unusual Items,-24600000.0,-29500000.0,-103300000.0,332600000.0,-12200000.0
Total Unusual Items Excluding Goodwill,-24600000.0,-29500000.0,-103300000.0,332600000.0,-12200000.0
Net Income From Continuing Operation Net Minority Interest,524200000.0,402500000.0,472900000.0,736500000.0,490900000.0
Reconciled Depreciation,241700000.0,236100000.0,235500000.0,230100000.0,235000000.0
Reconciled Cost Of Revenue,2222800000.0,2060200000.0,2269100000.0,2261500000.0,2241000000.0
EBITDA,977800000.0,818700000.0,849000000.0,1303800000.0,905900000.0
EBIT,736100000.0,582600000.0,613500000.0,1073700000.0,670900000.0
Net Interest Income,-63200000.0,-58300000.0,-61700000.0,-70400000.0,-78800000.0
Interest Expense,76200000.0,72600000.0,79200000.0,86400000.0,80200000.0
Interest Income,13000000.0,14300000.0,17500000.0,16000000.0,1400000.0
Normalized Income,543901621.457797,426011500.0,565605128.205128,487050000.0,501123463.687151
Net Income From Continuing And Discontinued Operation,524200000.0,402500000.0,472900000.0,736500000.0,490900000.0
Total Expenses,3290500000.0,3110200000.0,3319100000.0,3286300000.0,3316700000.0
Total Operating Income As Reported,710100000.0,555300000.0,582800000.0,1044800000.0,656900000.0
Diluted Average Shares,285400000.0,285300000.0,285700000.0,286000000.0,287000000.0
Basic Average Shares,283500000.0,283400000.0,283300000.0,283600000.0,284600000.0
Diluted EPS,1.84,1.41,1.66,2.58,1.71
Basic EPS,1.85,1.42,1.67,2.6,1.72
Diluted NI Availto Com Stockholders,524200000.0,402500000.0,472900000.0,736500000.0,490900000.0
Net Income Common Stockholders,524200000.0,402500000.0,472900000.0,736500000.0,490900000.0
Net Income,524200000.0,402500000.0,472900000.0,736500000.0,490900000.0
Minority Interests,-4300000.0,-4000000.0,-6600000.0,-4300000.0,-4100000.0
Net Income Including Noncontrolling Interests,528500000.0,406500000.0,479500000.0,740800000.0,495000000.0
Net Income Continuous Operations,528500000.0,406500000.0,479500000.0,740800000.0,495000000.0
Tax Provision,131400000.0,103500000.0,54800000.0,246500000.0,95700000.0
Pretax Income,659900000.0,510000000.0,534300000.0,987300000.0,590700000.0
Other Income Expense,-11600000.0,-16500000.0,-90100000.0,345500000.0,400000.0
Other Non Operating Income Expenses,13000000.0,13000000.0,13200000.0,12900000.0,12600000.0
Special Income Charges,-24600000.0,-29500000.0,-103300000.0,332600000.0,-12200000.0
Gain On Sale Of Business,-800000.0,-1600000.0,-10400000.0,364000000.0,-7300000.0
Other Special Charges,28500000.0,26400000.0,86900000.0,27500000.0,-4300000.0
Restructuring And Mergern Acquisition,-4700000.0,1500000.0,6000000.0,3900000.0,9200000.0
Net Non Operating Interest Income Expense,-63200000.0,-58300000.0,-61700000.0,-70400000.0,-78800000.0
Interest Expense Non Operating,76200000.0,72600000.0,79200000.0,86400000.0,80200000.0
Interest Income Non Operating,13000000.0,14300000.0,17500000.0,16000000.0,1400000.0
Operating Income,734700000.0,584800000.0,686100000.0,712200000.0,669100000.0
Operating Expense,1067700000.0,1050000000.0,1050000000.0,1024800000.0,1075700000.0
Selling General And Administration,1067700000.0,1050000000.0,1050000000.0,1024800000.0,1075700000.0
Gross Profit,1802400000.0,1634800000.0,1736100000.0,1737000000.0,1744800000.0
Cost Of Revenue,2222800000.0,2060200000.0,2269100000.0,2261500000.0,2241000000.0
Total Revenue,4025200000.0,3695000000.0,4005200000.0,3998500000.0,3985800000.0
Operating Revenue,4025200000.0,3695000000.0,4005200000.0,3998500000.0,3985800000.0
