,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,-28218598.0,-84314134.042731,-68838728.0,
Tax Rate For Calcs,0.254255,0.248,0.199,0.264778,0.343,
Normalized EBITDA,355194000.0,443761000.0,345083000.0,233947000.0,265898000.0,
Total Unusual Items,0.0,0.0,-141802000.0,-318433000.0,-200696000.0,
Total Unusual Items Excluding Goodwill,0.0,0.0,-141802000.0,-318433000.0,-200696000.0,
Net Income From Continuing Operation Net Minority Interest,149818000.0,216358000.0,44986000.0,-167621000.0,-54158000.0,
Reconciled Depreciation,116408000.0,111277000.0,109370000.0,108847000.0,113454000.0,
Reconciled Cost Of Revenue,277398000.0,387484000.0,299433000.0,227989000.0,246985000.0,
EBITDA,355194000.0,443761000.0,203281000.0,-84486000.0,65202000.0,
EBIT,238786000.0,332484000.0,93911000.0,-193333000.0,-48252000.0,
Net Interest Income,-37889000.0,-44757000.0,-37743000.0,-34654000.0,-34217000.0,
Interest Expense,37889000.0,44757000.0,37743000.0,34654000.0,34217000.0,
Normalized Income,149818000.0,216358000.0,158569402.0,66497865.957269,77699272.0,
Net Income From Continuing And Discontinued Operation,149818000.0,216358000.0,44986000.0,-167621000.0,-54158000.0,
Total Expenses,301578000.0,412698000.0,321489000.0,250205000.0,268186000.0,
Total Operating Income As Reported,230252000.0,317252000.0,86191000.0,-196570000.0,-51440000.0,
Diluted Average Shares,,91176327.0,91434741.0,91270386.0,91874049.0,92512447.0
Basic Average Shares,,90500162.0,90777446.0,91270386.0,91874049.0,92114415.0
Diluted EPS,,2.37,0.49,-1.84,-0.59,1.8
Basic EPS,,2.39,0.5,-1.84,-0.59,1.81
Diluted NI Availto Com Stockholders,149818000.0,216358000.0,44986000.0,-167621000.0,-54158000.0,
Net Income Common Stockholders,149818000.0,216358000.0,44986000.0,-167621000.0,-54158000.0,
Net Income,149818000.0,216358000.0,44986000.0,-167621000.0,-54158000.0,
Net Income Including Noncontrolling Interests,149818000.0,216358000.0,44986000.0,-167621000.0,-54158000.0,
Net Income Continuous Operations,149818000.0,216358000.0,44986000.0,-167621000.0,-54158000.0,
Tax Provision,51079000.0,71369000.0,11182000.0,-60366000.0,-28311000.0,
Pretax Income,200897000.0,287727000.0,56168000.0,-227987000.0,-82469000.0,
Other Income Expense,8534000.0,15232000.0,-134082000.0,-315196000.0,-197508000.0,
Other Non Operating Income Expenses,8534000.0,15232000.0,7720000.0,3237000.0,3188000.0,
Special Income Charges,0.0,0.0,-141802000.0,-318433000.0,-200696000.0,
Impairment Of Capital Assets,0.0,0.0,141802000.0,318433000.0,200696000.0,
Net Non Operating Interest Income Expense,-37889000.0,-44757000.0,-37743000.0,-34654000.0,-34217000.0,
Interest Expense Non Operating,37889000.0,44757000.0,37743000.0,34654000.0,34217000.0,
Operating Income,230252000.0,317252000.0,227993000.0,121863000.0,149256000.0,
Operating Expense,24180000.0,25214000.0,22056000.0,22216000.0,21201000.0,
Other Taxes,24180000.0,25214000.0,22056000.0,22216000.0,21201000.0,
Gross Profit,254432000.0,342466000.0,250049000.0,144079000.0,170457000.0,
Cost Of Revenue,277398000.0,387484000.0,299433000.0,227989000.0,246985000.0,
Total Revenue,531830000.0,729950000.0,549482000.0,372068000.0,417442000.0,
Operating Revenue,531830000.0,729950000.0,549482000.0,372068000.0,417442000.0,
