,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.21
Normalized EBITDA,-3450462.0,-2681606.0,-2453426.0,-9161387.0
Net Income From Continuing Operation Net Minority Interest,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Reconciled Depreciation,173142.0,178728.0,178291.0,175872.0
Reconciled Cost Of Revenue,4076081.0,5049947.0,3008507.0,10561473.0
EBITDA,-3450462.0,-2681606.0,-2453426.0,-9161387.0
EBIT,-3623604.0,-2860334.0,-2631717.0,-9337259.0
Net Interest Income,65425.0,71788.0,92260.0,128327.0
Interest Expense,9103.0,5571.0,,
Interest Income,74528.0,77359.0,92260.0,128327.0
Normalized Income,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Net Income From Continuing And Discontinued Operation,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Total Expenses,8960098.0,10843332.0,7584740.0,14901490.0
Total Operating Income As Reported,-3698132.0,-2937693.0,-2631717.0,-9337259.0
Diluted Average Shares,30344955.0,30344955.0,30444954.0,30344954.0
Basic Average Shares,30344955.0,30344955.0,30444954.0,30344954.0
Diluted EPS,-0.12,-0.09,-0.08,-0.3
Basic EPS,-0.12,-0.09,-0.08,-0.3
Diluted NI Availto Com Stockholders,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Net Income Common Stockholders,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Net Income,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Net Income Including Noncontrolling Interests,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Net Income Continuous Operations,-3632707.0,-2865905.0,-2539457.0,-9252813.0
Tax Provision,0.0,0.0,0.0,43881.0
Pretax Income,-3632707.0,-2865905.0,-2539457.0,-9208932.0
Net Non Operating Interest Income Expense,65425.0,71788.0,92260.0,128327.0
Interest Expense Non Operating,9103.0,5571.0,,
Interest Income Non Operating,74528.0,77359.0,92260.0,128327.0
Operating Income,-3698132.0,-2937693.0,-2631717.0,-9337259.0
Operating Expense,4884017.0,5793385.0,4576233.0,4340017.0
Selling General And Administration,4884017.0,5793385.0,4576233.0,4340017.0
Selling And Marketing Expense,3684506.0,4296324.0,2721965.0,2970983.0
General And Administrative Expense,1199511.0,1497061.0,1854268.0,1369034.0
Other Gand A,1199511.0,1497061.0,1854268.0,1369034.0
Gross Profit,1185885.0,2855692.0,1944516.0,-4997242.0
Cost Of Revenue,4076081.0,5049947.0,3008507.0,10561473.0
Total Revenue,5261966.0,7905639.0,4953023.0,5564231.0
Operating Revenue,5261966.0,7905639.0,4953023.0,5564231.0
