,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.216147,0.219,0.210488,0.217,0.214403
Net Income From Continuing Operation Net Minority Interest,152479000.0,131592000.0,136108000.0,138007000.0,139553000.0
Reconciled Depreciation,13981000.0,13721000.0,13563000.0,13713000.0,13531000.0
Net Interest Income,280147000.0,269102000.0,266647000.0,262351000.0,262249000.0
Interest Expense,91489000.0,95263000.0,102758000.0,109717000.0,107114000.0
Interest Income,371636000.0,364365000.0,369405000.0,372068000.0,369363000.0
Normalized Income,152479000.0,131592000.0,136108000.0,138007000.0,139553000.0
Net Income From Continuing And Discontinued Operation,152479000.0,131592000.0,136108000.0,138007000.0,139553000.0
Diluted Average Shares,132583000.0,133072000.0,134760396.0,134394750.0,135041000.0
Basic Average Shares,132455000.0,132917000.0,134760396.0,134217300.0,134881000.0
Diluted EPS,1.14,0.98,1.01,1.019048,1.03
Basic EPS,1.14,0.98,1.01,1.019048,1.03
Diluted NI Availto Com Stockholders,151019000.0,130334000.0,134841000.0,136719000.0,138241000.0
Average Dilution Earnings,-1460000.0,-1258000.0,-4913000.0,1000.0,-1312000.0
Net Income Common Stockholders,151018000.0,130333000.0,134840000.0,136718000.0,138240000.0
Otherunder Preferred Stock Dividend,1461000.0,1259000.0,1268000.0,1289000.0,1313000.0
Net Income,152479000.0,131592000.0,136108000.0,138007000.0,139553000.0
Minority Interests,-1284000.0,959000.0,-1136000.0,-2256000.0,-1889000.0
Net Income Including Noncontrolling Interests,153763000.0,130633000.0,137244000.0,140263000.0,141442000.0
Net Income Continuous Operations,153763000.0,130633000.0,137244000.0,140263000.0,141442000.0
Tax Provision,42400000.0,36964000.0,36590000.0,38245000.0,38602000.0
Pretax Income,196163000.0,167597000.0,173834000.0,178508000.0,180044000.0
Gain On Sale Of Security,437000.0,-7591000.0,977000.0,3872000.0,3233000.0
Selling General And Administration,164311000.0,162665000.0,162683000.0,163330000.0,156830000.0
Selling And Marketing Expense,5974000.0,5843000.0,5683000.0,7278000.0,5356000.0
General And Administrative Expense,158337000.0,156822000.0,157000000.0,156052000.0,151474000.0
Insurance And Claims,3312000.0,3744000.0,3181000.0,2930000.0,2354000.0
Salaries And Wages,155025000.0,153078000.0,153819000.0,153122000.0,149120000.0
Total Revenue,446197000.0,420460000.0,423060000.0,425248000.0,417726000.0
Operating Revenue,446197000.0,420460000.0,423060000.0,425248000.0,417726000.0
Occupancy And Equipment,18811000.0,19268000.0,18926000.0,18697000.0,17635000.0
Professional Expense And Contract Services Expense,12973000.0,10026000.0,8982000.0,8830000.0,8617000.0
Other Non Interest Expense,48342000.0,46417000.0,45127000.0,46743000.0,49132000.0
