,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.341463,0.29,0.315789,0.29
Normalized EBITDA,105000000.0,112000000.0,84000000.0,88000000.0
Net Income From Continuing Operation Net Minority Interest,27000000.0,35000000.0,13000000.0,20000000.0
Reconciled Depreciation,52000000.0,53000000.0,52000000.0,50000000.0
Reconciled Cost Of Revenue,128000000.0,62000000.0,134000000.0,68000000.0
EBITDA,105000000.0,112000000.0,84000000.0,88000000.0
EBIT,53000000.0,59000000.0,32000000.0,38000000.0
Net Interest Income,-12000000.0,-10000000.0,-13000000.0,-10000000.0
Interest Expense,12000000.0,10000000.0,13000000.0,10000000.0
Normalized Income,27000000.0,35000000.0,13000000.0,20000000.0
Net Income From Continuing And Discontinued Operation,27000000.0,35000000.0,13000000.0,20000000.0
Total Expenses,187000000.0,184000000.0,196000000.0,189000000.0
Total Operating Income As Reported,51000000.0,58000000.0,30000000.0,37000000.0
Diluted Average Shares,28697785.0,28700000.0,28700000.0,28700000.0
Basic Average Shares,28697785.0,28700000.0,28700000.0,28700000.0
Diluted EPS,0.940839,1.22,0.452962,0.696864
Basic EPS,0.940839,1.22,0.452962,0.696864
Diluted NI Availto Com Stockholders,27000000.0,35000000.0,13000000.0,20000000.0
Net Income Common Stockholders,27000000.0,35000000.0,13000000.0,20000000.0
Net Income,27000000.0,35000000.0,13000000.0,20000000.0
Net Income Including Noncontrolling Interests,27000000.0,35000000.0,13000000.0,20000000.0
Net Income Continuous Operations,27000000.0,35000000.0,13000000.0,20000000.0
Tax Provision,14000000.0,14000000.0,6000000.0,8000000.0
Pretax Income,41000000.0,49000000.0,19000000.0,28000000.0
Other Income Expense,2000000.0,1000000.0,2000000.0,1000000.0
Other Non Operating Income Expenses,2000000.0,1000000.0,2000000.0,1000000.0
Net Non Operating Interest Income Expense,-12000000.0,-10000000.0,-13000000.0,-10000000.0
Interest Expense Non Operating,12000000.0,10000000.0,13000000.0,10000000.0
Operating Income,51000000.0,58000000.0,30000000.0,37000000.0
Operating Expense,59000000.0,122000000.0,62000000.0,121000000.0
Other Operating Expenses,-23000000.0,39000000.0,-20000000.0,42000000.0
Depreciation Amortization Depletion Income Statement,52000000.0,53000000.0,52000000.0,50000000.0
Depreciation And Amortization In Income Statement,52000000.0,53000000.0,52000000.0,50000000.0
Selling General And Administration,30000000.0,30000000.0,30000000.0,29000000.0
General And Administrative Expense,,30000000.0,,29000000.0
Other Gand A,,30000000.0,,29000000.0
Gross Profit,110000000.0,180000000.0,92000000.0,158000000.0
Cost Of Revenue,128000000.0,62000000.0,134000000.0,68000000.0
Total Revenue,238000000.0,242000000.0,226000000.0,226000000.0
Operating Revenue,227000000.0,230000000.0,214000000.0,212000000.0
