,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,8739574.920098
Tax Rate For Calcs,0.199382,0.211,0.190747,0.179,0.22805
Total Unusual Items,0.0,,0.0,0.0,38323000.0
Total Unusual Items Excluding Goodwill,0.0,,0.0,0.0,38323000.0
Net Income From Continuing Operation Net Minority Interest,31361000.0,10517000.0,23211000.0,21048000.0,20530000.0
Reconciled Depreciation,4802000.0,3748000.0,2316000.0,2296000.0,2326000.0
Net Interest Income,73155000.0,66572000.0,51032000.0,48594000.0,45971000.0
Interest Expense,33280000.0,29644000.0,25523000.0,26059000.0,25606000.0
Interest Income,106435000.0,96216000.0,76555000.0,74653000.0,71577000.0
Normalized Income,31361000.0,10517000.0,23211000.0,21048000.0,-9053425.079902
Net Income From Continuing And Discontinued Operation,31361000.0,10517000.0,23211000.0,21048000.0,20530000.0
Diluted Average Shares,37479342.0,34680719.0,29678443.0,29679464.0,29667770.0
Basic Average Shares,37479342.0,34680719.0,29678443.0,29679464.0,29667770.0
Diluted EPS,0.84,0.3,0.78,0.71,0.69
Basic EPS,0.84,0.3,0.78,0.71,0.69
Diluted NI Availto Com Stockholders,31361000.0,10517000.0,23211000.0,21048000.0,20530000.0
Net Income Common Stockholders,31361000.0,10517000.0,23211000.0,21048000.0,20530000.0
Net Income,31361000.0,10517000.0,23211000.0,21048000.0,20530000.0
Net Income Including Noncontrolling Interests,31361000.0,10517000.0,23211000.0,21048000.0,20530000.0
Net Income Continuous Operations,31361000.0,10517000.0,23211000.0,21048000.0,20530000.0
Tax Provision,7810000.0,2813000.0,5471000.0,4596000.0,6065000.0
Pretax Income,39171000.0,13330000.0,28682000.0,25644000.0,26595000.0
Special Income Charges,0.0,,0.0,0.0,38323000.0
Other Special Charges,,,0.0,,-38323000.0
Gain On Sale Of Security,0.0,0.0,0.0,70000.0,-34893000.0
Depreciation Amortization Depletion Income Statement,2803000.0,2070000.0,438000.0,484000.0,532000.0
Depreciation And Amortization In Income Statement,2803000.0,2070000.0,438000.0,484000.0,532000.0
Amortization,2803000.0,2070000.0,438000.0,484000.0,532000.0
Amortization Of Intangibles Income Statement,2803000.0,2070000.0,438000.0,484000.0,532000.0
Selling General And Administration,28826000.0,30394000.0,22069000.0,21414000.0,22576000.0
Selling And Marketing Expense,1300000.0,1454000.0,951000.0,941000.0,909000.0
General And Administrative Expense,27526000.0,28940000.0,21118000.0,20473000.0,21667000.0
Insurance And Claims,888000.0,900000.0,714000.0,755000.0,710000.0
Salaries And Wages,26638000.0,28040000.0,20404000.0,19718000.0,20957000.0
Total Revenue,89888000.0,81412000.0,65146000.0,62395000.0,26571000.0
Operating Revenue,89888000.0,81412000.0,65146000.0,62395000.0,26571000.0
Occupancy And Equipment,4751000.0,4663000.0,3773000.0,3880000.0,3487000.0
Professional Expense And Contract Services Expense,2112000.0,4184000.0,1178000.0,1912000.0,3462000.0
Other Non Interest Expense,11025000.0,11471000.0,8381000.0,8436000.0,7617000.0
