,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,-983010.0
Tax Rate For Calcs,0.21,0.21,0.21,0.21,0.21
Normalized EBITDA,7483000.0,-2456000.0,24911000.0,12835000.0,9562000.0
Total Unusual Items,0.0,0.0,0.0,0.0,-4681000.0
Total Unusual Items Excluding Goodwill,0.0,0.0,0.0,0.0,-4681000.0
Net Income From Continuing Operation Net Minority Interest,-14706000.0,-22935000.0,1868000.0,-9211000.0,-14572000.0
Reconciled Depreciation,10826000.0,9854000.0,8775000.0,8570000.0,7632000.0
Reconciled Cost Of Revenue,54434000.0,52460000.0,51439000.0,50499000.0,48798000.0
EBITDA,7483000.0,-2456000.0,24911000.0,12835000.0,4881000.0
EBIT,-3343000.0,-12310000.0,16136000.0,4265000.0,-2751000.0
Net Interest Income,-3059000.0,-2084000.0,-1849000.0,-2159000.0,-2099000.0
Interest Expense,7139000.0,7011000.0,7587000.0,8148000.0,8073000.0
Interest Income,4080000.0,4927000.0,5738000.0,5989000.0,5974000.0
Normalized Income,-14706000.0,-22935000.0,1868000.0,-9211000.0,-10874010.0
Net Income From Continuing And Discontinued Operation,-14706000.0,-22935000.0,1868000.0,-9211000.0,-14572000.0
Total Expenses,254743000.0,256848000.0,222756000.0,229171000.0,225378000.0
Total Operating Income As Reported,-7448000.0,-17711000.0,12975000.0,-2083000.0,-8818000.0
Diluted Average Shares,120979000.0,120083000.0,123853000.0,119169000.0,118681000.0
Basic Average Shares,120979000.0,120083000.0,119748000.0,119169000.0,118681000.0
Diluted EPS,-0.12,-0.19,0.02,-0.08,-0.12
Basic EPS,-0.12,-0.19,0.02,-0.08,-0.12
Diluted NI Availto Com Stockholders,-14706000.0,-22935000.0,1868000.0,-9211000.0,-14572000.0
Net Income Common Stockholders,-14706000.0,-22935000.0,1868000.0,-9211000.0,-14572000.0
Net Income,-14706000.0,-22935000.0,1868000.0,-9211000.0,-14572000.0
Net Income Including Noncontrolling Interests,-14706000.0,-22935000.0,1868000.0,-9211000.0,-14572000.0
Net Income Continuous Operations,-14706000.0,-22935000.0,1868000.0,-9211000.0,-14572000.0
Tax Provision,4224000.0,3614000.0,6681000.0,5328000.0,3748000.0
Pretax Income,-10482000.0,-19321000.0,8549000.0,-3883000.0,-10824000.0
Other Income Expense,25000.0,474000.0,-2577000.0,359000.0,-4588000.0
Other Non Operating Income Expenses,25000.0,474000.0,-2577000.0,359000.0,93000.0
Special Income Charges,0.0,0.0,0.0,0.0,-4681000.0
Restructuring And Mergern Acquisition,0.0,0.0,0.0,0.0,4681000.0
Net Non Operating Interest Income Expense,-3059000.0,-2084000.0,-1849000.0,-2159000.0,-2099000.0
Interest Expense Non Operating,7139000.0,7011000.0,7587000.0,8148000.0,8073000.0
Interest Income Non Operating,4080000.0,4927000.0,5738000.0,5989000.0,5974000.0
Operating Income,-7448000.0,-17711000.0,12975000.0,-2083000.0,-4137000.0
Operating Expense,200309000.0,204388000.0,171317000.0,178672000.0,176580000.0
Research And Development,59236000.0,53223000.0,44728000.0,48020000.0,45149000.0
Selling General And Administration,141073000.0,151165000.0,126589000.0,130652000.0,131431000.0
Selling And Marketing Expense,107091000.0,103182000.0,95348000.0,99083000.0,101129000.0
General And Administrative Expense,33982000.0,47983000.0,31241000.0,31569000.0,30302000.0
Other Gand A,33982000.0,47983000.0,31241000.0,31569000.0,30302000.0
Gross Profit,192861000.0,186677000.0,184292000.0,176589000.0,172443000.0
Cost Of Revenue,54434000.0,52460000.0,51439000.0,50499000.0,48798000.0
Total Revenue,247295000.0,239137000.0,235731000.0,227088000.0,221241000.0
Operating Revenue,247295000.0,239137000.0,235731000.0,227088000.0,221241000.0
