,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,-105000.0,1533000.0,-336000.0
Tax Rate For Calcs,0.21,0.21,0.21
Normalized EBITDA,-22800000.0,-10500000.0,-13000000.0
Total Unusual Items,-500000.0,7300000.0,-1600000.0
Total Unusual Items Excluding Goodwill,-500000.0,7300000.0,-1600000.0
Net Income From Continuing Operation Net Minority Interest,-53700000.0,-30100000.0,-39500000.0
Reconciled Cost Of Revenue,94600000.0,104400000.0,117800000.0
EBITDA,-23300000.0,-3200000.0,-14600000.0
EBIT,-23300000.0,-3200000.0,-14600000.0
Net Interest Income,-68100000.0,-19500000.0,-17800000.0
Interest Expense,22300000.0,17800000.0,15500000.0
Interest Income,2200000.0,2200000.0,2300000.0
Normalized Income,-53305000.0,-35867000.0,-38236000.0
Net Income From Continuing And Discontinued Operation,-55800000.0,-29800000.0,-39500000.0
Total Expenses,253500000.0,264900000.0,286300000.0
Total Operating Income As Reported,5600000.0,18700000.0,4500000.0
Diluted Average Shares,46300000.0,46000000.0,44800000.0
Basic Average Shares,46300000.0,46000000.0,44800000.0
Diluted EPS,-1.21,-0.64,-0.88
Basic EPS,-1.21,-0.64,-0.88
Diluted NI Availto Com Stockholders,-55800000.0,-29800000.0,-39500000.0
Net Income Common Stockholders,-55800000.0,-29800000.0,-39500000.0
Net Income,-55800000.0,-29800000.0,-39500000.0
Net Income Including Noncontrolling Interests,-55800000.0,-29800000.0,-39500000.0
Net Income Discontinuous Operations,-2100000.0,300000.0,0.0
Net Income Continuous Operations,-53700000.0,-30100000.0,-39500000.0
Tax Provision,8100000.0,9100000.0,9400000.0
Pretax Income,-45600000.0,-21000000.0,-30100000.0
Other Income Expense,16400000.0,-12900000.0,-18400000.0
Other Non Operating Income Expenses,16900000.0,-20200000.0,-16800000.0
Special Income Charges,-500000.0,7300000.0,-1600000.0
Gain On Sale Of Ppe,-200000.0,5900000.0,-1800000.0
Impairment Of Capital Assets,0.0,0.0,
Restructuring And Mergern Acquisition,300000.0,-1400000.0,-200000.0
Net Non Operating Interest Income Expense,-68100000.0,-19500000.0,-17800000.0
Total Other Finance Cost,48000000.0,3900000.0,4600000.0
Interest Expense Non Operating,22300000.0,17800000.0,15500000.0
Interest Income Non Operating,2200000.0,2200000.0,2300000.0
Operating Income,6100000.0,11400000.0,6100000.0
Operating Expense,158900000.0,160500000.0,168500000.0
Selling General And Administration,158900000.0,160500000.0,168500000.0
Gross Profit,165000000.0,171900000.0,174600000.0
Cost Of Revenue,94600000.0,104400000.0,117800000.0
Total Revenue,259600000.0,276300000.0,292400000.0
Operating Revenue,259600000.0,276300000.0,292400000.0
