,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,1134100.0
Tax Rate For Calcs,0.0,0.22
Normalized EBITDA,-54854000.0,-38627000.0
Total Unusual Items,21186000.0,5155000.0
Total Unusual Items Excluding Goodwill,21186000.0,5155000.0
Net Income From Continuing Operation Net Minority Interest,-9785000.0,-25282000.0
Reconciled Depreciation,1190000.0,524000.0
EBITDA,-33668000.0,-33472000.0
EBIT,-34858000.0,-33996000.0
Net Interest Income,1284000.0,1755000.0
Interest Income,1284000.0,1755000.0
Normalized Income,-30971000.0,-29302900.0
Net Income From Continuing And Discontinued Operation,-9785000.0,-25282000.0
Total Expenses,34858000.0,33996000.0
Total Operating Income As Reported,-35011000.0,-34026000.0
Diluted Average Shares,139705000.0,139705000.0
Basic Average Shares,139705000.0,139705000.0
Diluted EPS,-0.07,-0.18
Basic EPS,-0.07,-0.18
Diluted NI Availto Com Stockholders,-9785000.0,-25282000.0
Net Income Common Stockholders,-9785000.0,-25282000.0
Net Income,-9785000.0,-25282000.0
Minority Interests,219000.0,121000.0
Net Income Including Noncontrolling Interests,-10004000.0,-25403000.0
Net Income Continuous Operations,-10004000.0,-25403000.0
Tax Provision,0.0,138000.0
Pretax Income,-10004000.0,-25265000.0
Other Income Expense,23570000.0,6976000.0
Other Non Operating Income Expenses,2537000.0,1851000.0
Earnings From Equity Interest,-153000.0,-30000.0
Gain On Sale Of Security,21186000.0,5155000.0
Net Non Operating Interest Income Expense,1284000.0,1755000.0
Interest Income Non Operating,1284000.0,1755000.0
Operating Income,-34858000.0,-33996000.0
Operating Expense,34858000.0,33996000.0
Research And Development,7086000.0,6365000.0
Selling General And Administration,27772000.0,27631000.0
General And Administrative Expense,27772000.0,27631000.0
Other Gand A,27772000.0,27631000.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
