,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,88420.959723,-980930.0,-1090144.0,18745.103291,-854311.896978,
Tax Rate For Calcs,0.161647,0.233,0.209,0.014531,0.209493,
Normalized EBITDA,70943000.0,140610000.0,115509000.0,68157000.0,66146000.0,
Total Unusual Items,547000.0,-4210000.0,-5216000.0,1290000.0,-4078000.0,
Total Unusual Items Excluding Goodwill,547000.0,-4210000.0,-5216000.0,1290000.0,-4078000.0,
Net Income From Continuing Operation Net Minority Interest,46071000.0,91793000.0,67822000.0,58570000.0,38444000.0,
Reconciled Depreciation,24398000.0,24427000.0,25197000.0,24383000.0,21207000.0,
Reconciled Cost Of Revenue,44002000.0,35837000.0,40774000.0,33996000.0,35663000.0,
EBITDA,71490000.0,136400000.0,110293000.0,69447000.0,62068000.0,
EBIT,47092000.0,111973000.0,85096000.0,45064000.0,40861000.0,
Net Interest Income,4111000.0,3559000.0,2646000.0,6854000.0,9439000.0,
Interest Income,,,,,,8597000.0
Normalized Income,45612420.959723,95022070.0,71947856.0,57298745.103291,41667688.103022,
Net Income From Continuing And Discontinued Operation,46071000.0,91793000.0,67822000.0,58570000.0,38444000.0,
Total Expenses,268454000.0,257588000.0,271903000.0,259742000.0,247957000.0,
Total Operating Income As Reported,47639000.0,107763000.0,79880000.0,46354000.0,36783000.0,
Diluted Average Shares,96900000.0,97471000.0,97147000.0,96593000.0,96959000.0,
Basic Average Shares,95897000.0,96329000.0,95615000.0,95395000.0,95686000.0,
Diluted EPS,0.48,0.94,0.7,0.61,0.4,
Basic EPS,0.48,0.95,0.71,0.61,0.4,
Diluted NI Availto Com Stockholders,46071000.0,91793000.0,67822000.0,58570000.0,38444000.0,
Net Income Common Stockholders,46071000.0,91793000.0,67822000.0,58570000.0,38444000.0,
Net Income,46071000.0,91793000.0,67822000.0,58570000.0,38444000.0,
Minority Interests,-471000.0,-433000.0,-248000.0,-296000.0,-1211000.0,
Net Income Including Noncontrolling Interests,46542000.0,92226000.0,68070000.0,58866000.0,39655000.0,
Net Income Continuous Operations,46542000.0,92226000.0,68070000.0,58866000.0,39655000.0,
Tax Provision,8974000.0,28024000.0,17981000.0,868000.0,10509000.0,
Pretax Income,55516000.0,120250000.0,86051000.0,59734000.0,50164000.0,
Other Income Expense,4313000.0,4718000.0,-1691000.0,7816000.0,-136000.0,
Other Non Operating Income Expenses,3766000.0,8928000.0,3525000.0,6526000.0,3942000.0,
Special Income Charges,547000.0,-4210000.0,-5216000.0,1290000.0,-4078000.0,
Restructuring And Mergern Acquisition,-547000.0,4210000.0,5216000.0,-1290000.0,4078000.0,
Net Non Operating Interest Income Expense,4111000.0,3559000.0,2646000.0,6854000.0,9439000.0,
Total Other Finance Cost,-4111000.0,-3559000.0,-2646000.0,-6854000.0,-9439000.0,
Interest Income Non Operating,,,,,,8597000.0
Operating Income,47092000.0,111973000.0,85096000.0,45064000.0,40861000.0,
Operating Expense,224452000.0,221751000.0,231129000.0,225746000.0,212294000.0,
Research And Development,65982000.0,61707000.0,66638000.0,68636000.0,65501000.0,
Selling General And Administration,158470000.0,160044000.0,164491000.0,157110000.0,146793000.0,
Selling And Marketing Expense,86163000.0,89629000.0,94399000.0,87901000.0,77518000.0,
General And Administrative Expense,72307000.0,70415000.0,70092000.0,69209000.0,69275000.0,
Other Gand A,72307000.0,70415000.0,70092000.0,69209000.0,69275000.0,
Gross Profit,271544000.0,333724000.0,316225000.0,270810000.0,253155000.0,
Cost Of Revenue,44002000.0,35837000.0,40774000.0,33996000.0,35663000.0,
Total Revenue,315546000.0,369561000.0,356999000.0,304806000.0,288818000.0,
Operating Revenue,315546000.0,369561000.0,356999000.0,304806000.0,288818000.0,
