,2024-12-31,2024-09-30,2024-03-31,2023-12-31
Tax Effect Of Unusual Items,0.0,0.0,-58363688.011909,-39756651.695036
Tax Rate For Calcs,0.32099,0.305459,0.29722,0.301146
Normalized EBITDA,8791074000.0,4698697000.0,5529985000.0,4660814000.0
Total Unusual Items,,,-196365000.0,-132018000.0
Total Unusual Items Excluding Goodwill,,,-196365000.0,-132018000.0
Net Income From Continuing Operation Net Minority Interest,3414581000.0,3381190000.0,3082091000.0,2537108000.0
Reconciled Depreciation,610794000.0,601523000.0,543718000.0,524144000.0
Reconciled Cost Of Revenue,6641620000.0,2589735000.0,2030410000.0,4800351000.0
EBITDA,8791074000.0,4698697000.0,5333620000.0,4528796000.0
EBIT,8180280000.0,4097174000.0,4789902000.0,4004652000.0
Net Interest Income,-1284012000.0,906473000.0,154323000.0,233070000.0
Interest Expense,,,255402000.0,259747000.0
Interest Income,,,409725000.0,492817000.0
Normalized Income,3414581000.0,3381190000.0,3220092311.988091,2629369348.304964
Net Income From Continuing And Discontinued Operation,3414581000.0,3381190000.0,3082091000.0,2537108000.0
Total Expenses,4520092000.0,3386119000.0,2855684000.0,3229678000.0
Total Operating Income As Reported,4500485000.0,4097174000.0,4579223000.0,3647263000.0
Diluted Average Shares,,30000089.0,30000107.0,30000095.0
Basic Average Shares,,30000089.0,30000107.0,30000095.0
Diluted EPS,,112.706,102.736,84.57
Basic EPS,,112.706,102.736,84.57
Diluted NI Availto Com Stockholders,3414581000.0,3381190000.0,3082091000.0,2537108000.0
Net Income Common Stockholders,3414581000.0,3381190000.0,3082091000.0,2537108000.0
Net Income,3414581000.0,3381190000.0,3082091000.0,2537108000.0
Minority Interests,-175136000.0,-93364000.0,-104663000.0,-80035000.0
Net Income Including Noncontrolling Interests,3589717000.0,3474554000.0,3186754000.0,2617143000.0
Net Income Continuous Operations,3589717000.0,3474554000.0,3186754000.0,2617143000.0
Tax Provision,1696978000.0,1528107000.0,1347746000.0,1127762000.0
Pretax Income,5286695000.0,5002661000.0,4534500000.0,3744905000.0
Other Income Expense,2070222000.0,-986000.0,-199046000.0,-135428000.0
Earnings From Equity Interest,-2268000.0,-986000.0,-2681000.0,-3410000.0
Gain On Sale Of Security,,,-196365000.0,-132018000.0
Net Non Operating Interest Income Expense,-1284012000.0,906473000.0,154323000.0,233070000.0
Total Other Finance Cost,,-906473000.0,,
Interest Expense Non Operating,,,255402000.0,259747000.0
Interest Income Non Operating,,,409725000.0,492817000.0
Operating Income,4500485000.0,4097174000.0,4579223000.0,3647263000.0
Operating Expense,-2121528000.0,796384000.0,825274000.0,-1570673000.0
Other Operating Expenses,,731277000.0,746255000.0,
Selling General And Administration,94759000.0,65107000.0,79019000.0,81987000.0
General And Administrative Expense,94759000.0,65107000.0,79019000.0,81987000.0
Other Gand A,94759000.0,65107000.0,79019000.0,81987000.0
Gross Profit,2378957000.0,4893558000.0,5404497000.0,2076590000.0
Cost Of Revenue,6641620000.0,2589735000.0,2030410000.0,4800351000.0
Total Revenue,9020577000.0,7483293000.0,7434907000.0,6876941000.0
Operating Revenue,9020577000.0,7483293000.0,7434907000.0,6876941000.0
