,2024-06-30,2024-03-31,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,114240.0,3537.004294,0.0,0.0
Tax Rate For Calcs,0.0,0.21,0.002778,0.0,0.0
Normalized EBITDA,-7120000.0,1181000.0,-3995000.0,-3420000.0,-9366000.0
Total Unusual Items,107000.0,544000.0,1273000.0,805000.0,1699000.0
Total Unusual Items Excluding Goodwill,107000.0,544000.0,1273000.0,805000.0,1699000.0
Net Income From Continuing Operation Net Minority Interest,-8097000.0,572000.0,-3948000.0,-4153000.0,-10868000.0
Reconciled Depreciation,1046000.0,1122000.0,1198000.0,1507000.0,2012000.0
EBITDA,-7013000.0,1725000.0,-2722000.0,-2615000.0,-7667000.0
EBIT,-8059000.0,603000.0,-3920000.0,-4122000.0,-9679000.0
Net Interest Income,92000.0,78000.0,139000.0,179000.0,-824000.0
Interest Expense,38000.0,31000.0,39000.0,31000.0,1189000.0
Interest Income,130000.0,109000.0,178000.0,210000.0,365000.0
Normalized Income,-8204000.0,142240.0,-5217462.995706,-4958000.0,-12567000.0
Net Income From Continuing And Discontinued Operation,-8097000.0,572000.0,-3948000.0,-4153000.0,-10868000.0
Total Expenses,8485000.0,10974000.0,12010000.0,10869000.0,18370000.0
Total Operating Income As Reported,-8296000.0,-50000.0,-5371000.0,-5137000.0,-11743000.0
Diluted Average Shares,6557295.0,7015864.0,,5092859.0,3756711.0
Basic Average Shares,6557295.0,5374268.0,,5092859.0,3756711.0
Diluted EPS,-1.23,0.08,,-0.82,-2.89
Basic EPS,-1.23,0.11,,-0.82,-2.89
Diluted NI Availto Com Stockholders,-8097000.0,572000.0,-3948000.0,-4153000.0,-10868000.0
Net Income Common Stockholders,-8097000.0,572000.0,-3948000.0,-4153000.0,-10868000.0
Net Income,-8097000.0,572000.0,-3948000.0,-4153000.0,-10868000.0
Net Income Including Noncontrolling Interests,-8097000.0,572000.0,-3948000.0,-4153000.0,-10868000.0
Net Income Continuous Operations,-8097000.0,572000.0,-3948000.0,-4153000.0,-10868000.0
Tax Provision,,,-11000.0,0.0,
Pretax Income,-8097000.0,572000.0,-3959000.0,-4153000.0,-10868000.0
Other Income Expense,107000.0,544000.0,1273000.0,805000.0,1699000.0
Special Income Charges,107000.0,544000.0,1273000.0,805000.0,1699000.0
Gain On Sale Of Ppe,0.0,,0.0,-76000.0,-399000.0
Other Special Charges,,,0.0,,-1795000.0
Restructuring And Mergern Acquisition,-107000.0,-544000.0,-1273000.0,-881000.0,-303000.0
Net Non Operating Interest Income Expense,92000.0,78000.0,139000.0,179000.0,-824000.0
Interest Expense Non Operating,38000.0,31000.0,39000.0,31000.0,1189000.0
Interest Income Non Operating,130000.0,109000.0,178000.0,210000.0,365000.0
Operating Income,-8296000.0,-50000.0,-5371000.0,-5137000.0,-11743000.0
Operating Expense,8485000.0,10974000.0,12010000.0,10869000.0,18370000.0
Other Operating Expenses,-383000.0,-162000.0,-377000.0,-1064000.0,-238000.0
Research And Development,5402000.0,7405000.0,8796000.0,7624000.0,13413000.0
Selling General And Administration,3466000.0,3731000.0,3591000.0,4309000.0,5195000.0
General And Administrative Expense,3466000.0,3731000.0,3591000.0,4309000.0,5195000.0
Other Gand A,3466000.0,3731000.0,3591000.0,4309000.0,5195000.0
Total Revenue,189000.0,10924000.0,6639000.0,5732000.0,6627000.0
Operating Revenue,189000.0,10924000.0,6639000.0,5732000.0,6627000.0
