,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.277,0.276,0.277,0.312
Normalized EBITDA,12517000.0,15977000.0,26243000.0,28197000.0
Net Income From Continuing Operation Net Minority Interest,-2310000.0,2075000.0,8166000.0,8745000.0
Reconciled Depreciation,6426000.0,6625000.0,6460000.0,6367000.0
Reconciled Cost Of Revenue,218059000.0,192829000.0,206153000.0,197426000.0
EBITDA,12517000.0,15977000.0,26243000.0,28197000.0
EBIT,6091000.0,9352000.0,19783000.0,21830000.0
Net Interest Income,-9303000.0,-6503000.0,-8465000.0,-9112000.0
Interest Expense,9303000.0,6503000.0,8465000.0,9112000.0
Normalized Income,-2310000.0,2075000.0,8166000.0,8745000.0
Net Income From Continuing And Discontinued Operation,-2310000.0,2075000.0,8166000.0,8745000.0
Total Expenses,263884000.0,234792000.0,247105000.0,238726000.0
Total Operating Income As Reported,13859000.0,14394000.0,19374000.0,20075000.0
Diluted Average Shares,77599384.0,77599384.0,77599384.0,77599384.0
Basic Average Shares,77599384.0,77599384.0,77599384.0,77599384.0
Diluted EPS,-0.029768,0.02674,0.105233,0.112694
Basic EPS,-0.029768,0.02674,0.105233,0.112694
Diluted NI Availto Com Stockholders,-2310000.0,2075000.0,8166000.0,8745000.0
Net Income Common Stockholders,-2310000.0,2075000.0,8166000.0,8745000.0
Net Income,-2310000.0,2075000.0,8166000.0,8745000.0
Minority Interests,12000.0,13000.0,-21000.0,-2000.0
Net Income Including Noncontrolling Interests,-2322000.0,2062000.0,8187000.0,8747000.0
Net Income Continuous Operations,-2322000.0,2062000.0,8187000.0,8747000.0
Tax Provision,-890000.0,787000.0,3131000.0,3971000.0
Pretax Income,-3212000.0,2849000.0,11318000.0,12718000.0
Other Income Expense,-7768000.0,-5042000.0,409000.0,1755000.0
Other Non Operating Income Expenses,-7768000.0,-5042000.0,409000.0,1755000.0
Net Non Operating Interest Income Expense,-9303000.0,-6503000.0,-8465000.0,-9112000.0
Interest Expense Non Operating,9303000.0,6503000.0,8465000.0,9112000.0
Operating Income,13859000.0,14394000.0,19374000.0,20075000.0
Operating Expense,42973000.0,38912000.0,38008000.0,38449000.0
Other Operating Expenses,393000.0,-13000.0,56000.0,498000.0
Depreciation Amortization Depletion Income Statement,3574000.0,3574000.0,3516000.0,3516000.0
Depreciation And Amortization In Income Statement,3574000.0,3574000.0,3516000.0,3516000.0
Amortization,3574000.0,3574000.0,3516000.0,3516000.0
Amortization Of Intangibles Income Statement,3574000.0,3574000.0,3516000.0,3516000.0
Research And Development,5432000.0,4627000.0,4636000.0,5717000.0
Selling General And Administration,33574000.0,30724000.0,29800000.0,28718000.0
Gross Profit,56832000.0,53306000.0,57382000.0,58524000.0
Cost Of Revenue,220911000.0,195880000.0,209097000.0,200277000.0
Total Revenue,277743000.0,249186000.0,266479000.0,258801000.0
Operating Revenue,277743000.0,249186000.0,266479000.0,258801000.0
