,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.295107,0.385463
Normalized EBITDA,2619000.0,999000.0
Net Income From Continuing Operation Net Minority Interest,461000.0,-558000.0
Reconciled Depreciation,1352000.0,1323000.0
Reconciled Cost Of Revenue,12651000.0,11894000.0
EBITDA,2619000.0,999000.0
EBIT,1267000.0,-324000.0
Net Interest Income,-613000.0,-584000.0
Interest Expense,613000.0,584000.0
Normalized Income,461000.0,-558000.0
Net Income From Continuing And Discontinued Operation,461000.0,-1596000.0
Total Expenses,29551000.0,29378000.0
Total Operating Income As Reported,1152000.0,-214000.0
Diluted Average Shares,35218547.0,33634538.0
Basic Average Shares,33917700.0,33634538.0
Diluted EPS,0.01,-0.05
Basic EPS,0.01,-0.05
Diluted NI Availto Com Stockholders,461000.0,-1596000.0
Net Income Common Stockholders,461000.0,-1596000.0
Net Income,461000.0,-1596000.0
Net Income Including Noncontrolling Interests,461000.0,-1596000.0
Net Income Discontinuous Operations,0.0,-1038000.0
Net Income Continuous Operations,461000.0,-558000.0
Tax Provision,193000.0,-350000.0
Pretax Income,654000.0,-908000.0
Other Income Expense,115000.0,-110000.0
Other Non Operating Income Expenses,115000.0,-110000.0
Net Non Operating Interest Income Expense,-613000.0,-584000.0
Interest Expense Non Operating,613000.0,584000.0
Operating Income,1152000.0,-214000.0
Operating Expense,16477000.0,17079000.0
Depreciation Amortization Depletion Income Statement,929000.0,918000.0
Depreciation And Amortization In Income Statement,929000.0,918000.0
Amortization,929000.0,918000.0
Amortization Of Intangibles Income Statement,929000.0,918000.0
Research And Development,2719000.0,2722000.0
Selling General And Administration,12829000.0,13439000.0
Gross Profit,17629000.0,16865000.0
Cost Of Revenue,13074000.0,12299000.0
Total Revenue,30703000.0,29164000.0
Operating Revenue,30703000.0,29164000.0
