,2023-12-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,-2551000.0,-2776000.0,-2922000.0
Net Income From Continuing Operation Net Minority Interest,-2525000.0,-2788000.0,-2952000.0
Reconciled Depreciation,46000.0,45000.0,41000.0
Reconciled Cost Of Revenue,0.0,61000.0,0.0
EBITDA,-2551000.0,-2776000.0,-2922000.0
EBIT,-2597000.0,-2821000.0,-2963000.0
Net Interest Income,72000.0,33000.0,11000.0
Interest Income,,33000.0,11000.0
Normalized Income,-2525000.0,-2788000.0,-2952000.0
Net Income From Continuing And Discontinued Operation,-2525000.0,-2788000.0,-2952000.0
Total Expenses,2597000.0,2963000.0,2963000.0
Total Operating Income As Reported,-2597000.0,-2821000.0,-2963000.0
Diluted Average Shares,2998278.0,2998278.0,2361493.0
Basic Average Shares,2998278.0,2998278.0,2361493.0
Diluted EPS,-0.84,-0.93,-1.28
Basic EPS,-0.84,-0.93,-1.28
Diluted NI Availto Com Stockholders,-2525000.0,-2788000.0,-2952000.0
Net Income Common Stockholders,-2525000.0,-2788000.0,-2952000.0
Net Income,-2525000.0,-2788000.0,-2952000.0
Net Income Including Noncontrolling Interests,-2525000.0,-2788000.0,-2952000.0
Net Income Continuous Operations,-2525000.0,-2788000.0,-2952000.0
Pretax Income,-2525000.0,-2788000.0,-2952000.0
Net Non Operating Interest Income Expense,72000.0,33000.0,11000.0
Interest Income Non Operating,,33000.0,11000.0
Operating Income,-2597000.0,-2821000.0,-2963000.0
Operating Expense,2597000.0,2902000.0,2963000.0
Research And Development,1611000.0,1852000.0,1838000.0
Selling General And Administration,966000.0,1050000.0,1125000.0
General And Administrative Expense,509000.0,1050000.0,1125000.0
Other Gand A,-1657000.0,1050000.0,1125000.0
Gross Profit,0.0,81000.0,0.0
Cost Of Revenue,0.0,61000.0,0.0
Total Revenue,0.0,142000.0,0.0
Operating Revenue,0.0,142000.0,0.0
