,2025-06-30,2025-03-31,2024-12-31,2024-09-30,2024-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.035931,0.21,0.377819,0.079916,0.151947
Normalized EBITDA,36803000.0,27184000.0,17543000.0,16450000.0,20943000.0
Net Income From Continuing Operation Net Minority Interest,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Reconciled Depreciation,3440000.0,3590000.0,3661000.0,2876000.0,2243000.0
Reconciled Cost Of Revenue,69684000.0,66647000.0,58925000.0,52180000.0,47349000.0
EBITDA,36803000.0,27184000.0,17543000.0,16450000.0,20943000.0
EBIT,33363000.0,23594000.0,13882000.0,13574000.0,18700000.0
Net Interest Income,11427000.0,10415000.0,10697000.0,11246000.0,10721000.0
Interest Income,11427000.0,10415000.0,10697000.0,11246000.0,10721000.0
Normalized Income,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Net Income From Continuing And Discontinued Operation,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Total Expenses,218902000.0,207149000.0,195668000.0,179020000.0,159627000.0
Total Operating Income As Reported,33363000.0,23594000.0,13882000.0,13574000.0,18700000.0
Diluted Average Shares,49000000.0,48497000.0,44936000.0,47673469.0,47747059.0
Basic Average Shares,45610000.0,45148000.0,44936000.0,44075472.0,43483929.0
Diluted EPS,0.91,0.72,0.309485,0.49,0.51
Basic EPS,0.98,0.78,0.309485,0.53,0.56
Diluted NI Availto Com Stockholders,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Net Income Common Stockholders,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Net Income,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Net Income Including Noncontrolling Interests,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Net Income Continuous Operations,44781000.0,35135000.0,13907000.0,23360000.0,24351000.0
Tax Provision,1669000.0,-125000.0,8445000.0,2029000.0,4363000.0
Pretax Income,46450000.0,35010000.0,22352000.0,25389000.0,28714000.0
Other Income Expense,1660000.0,1001000.0,-2227000.0,569000.0,-707000.0
Other Non Operating Income Expenses,1660000.0,1001000.0,-2227000.0,569000.0,-707000.0
Net Non Operating Interest Income Expense,11427000.0,10415000.0,10697000.0,11246000.0,10721000.0
Interest Income Non Operating,11427000.0,10415000.0,10697000.0,11246000.0,10721000.0
Operating Income,33363000.0,23594000.0,13882000.0,13574000.0,18700000.0
Operating Expense,149218000.0,140502000.0,136743000.0,126840000.0,112278000.0
Research And Development,73670000.0,70390000.0,66395000.0,62878000.0,55147000.0
Selling General And Administration,75548000.0,70112000.0,70348000.0,63962000.0,57131000.0
Selling And Marketing Expense,29563000.0,26662000.0,24815000.0,25574000.0,20174000.0
General And Administrative Expense,45985000.0,43450000.0,45533000.0,38388000.0,36957000.0
Other Gand A,45985000.0,43450000.0,45533000.0,38388000.0,36957000.0
Gross Profit,182581000.0,164096000.0,150625000.0,140414000.0,130978000.0
Cost Of Revenue,69684000.0,66647000.0,58925000.0,52180000.0,47349000.0
Total Revenue,252265000.0,230743000.0,209550000.0,192594000.0,178327000.0
Operating Revenue,210678000.0,230297000.0,209166000.0,192205000.0,143909000.0
