,2025-06-30,2025-03-31,2024-06-30,2024-03-31
Tax Effect Of Unusual Items,-1299369.744631,-4719285.0,-3317447.658481,5605722.0
Tax Rate For Calcs,0.008031,0.279,0.368892,0.333
Normalized EBITDA,-309652000.0,120967000.0,74296000.0,68132000.0
Total Unusual Items,-161798000.0,-16915000.0,-8993000.0,16834000.0
Total Unusual Items Excluding Goodwill,-161798000.0,-16915000.0,-8993000.0,16834000.0
Net Income From Continuing Operation Net Minority Interest,-482100000.0,64791000.0,32923000.0,48639000.0
Reconciled Depreciation,14209000.0,13880000.0,12632000.0,11593000.0
Reconciled Cost Of Revenue,910334000.0,423267000.0,315981000.0,267886000.0
EBITDA,-471450000.0,104052000.0,65303000.0,84966000.0
EBIT,-485659000.0,90172000.0,52671000.0,73373000.0
Net Interest Income,9608000.0,7630000.0,7956000.0,7856000.0
Interest Expense,344000.0,335000.0,504000.0,497000.0
Interest Income,9952000.0,7965000.0,8460000.0,8353000.0
Normalized Income,-321601369.744631,76986715.0,38598552.341519,37410722.0
Net Income From Continuing And Discontinued Operation,-482100000.0,64791000.0,32923000.0,48639000.0
Total Expenses,984353000.0,479363000.0,376855000.0,317148000.0
Total Operating Income As Reported,-325582000.0,92940000.0,50246000.0,52319000.0
Diluted Average Shares,107514.0,215432.0,215432.0,215432.0
Basic Average Shares,107514.0,197748.0,197748.0,197748.0
Diluted EPS,-4.48,0.29,0.0,0.0
Basic EPS,-4.48,0.33,0.0,0.0
Diluted NI Availto Com Stockholders,-482100000.0,0.0,0.0,0.0
Net Income Common Stockholders,-482100000.0,0.0,0.0,0.0
Preferred Stock Dividends,,64791000.0,32923000.0,48639000.0
Net Income,-482100000.0,64791000.0,32923000.0,48639000.0
Net Income Including Noncontrolling Interests,-482100000.0,64791000.0,32923000.0,48639000.0
Net Income Continuous Operations,-482100000.0,64791000.0,32923000.0,48639000.0
Tax Provision,-3903000.0,25046000.0,19244000.0,24237000.0
Pretax Income,-486003000.0,89837000.0,52167000.0,72876000.0
Other Income Expense,-169336000.0,-17003000.0,-8964000.0,17074000.0
Other Non Operating Income Expenses,-7538000.0,-88000.0,29000.0,240000.0
Special Income Charges,,-6270000.0,,4373000.0
Impairment Of Capital Assets,,6270000.0,,-4373000.0
Gain On Sale Of Security,-161798000.0,-10645000.0,-8993000.0,12461000.0
Net Non Operating Interest Income Expense,9608000.0,7630000.0,7956000.0,7856000.0
Interest Expense Non Operating,344000.0,335000.0,504000.0,497000.0
Interest Income Non Operating,9952000.0,7965000.0,8460000.0,8353000.0
Operating Income,-326275000.0,99210000.0,53175000.0,47946000.0
Operating Expense,74019000.0,56096000.0,60874000.0,49262000.0
Other Operating Expenses,8760000.0,7672000.0,6875000.0,6334000.0
Depreciation Amortization Depletion Income Statement,14209000.0,13880000.0,12632000.0,11593000.0
Depreciation And Amortization In Income Statement,14209000.0,13880000.0,12632000.0,11593000.0
Amortization,600000.0,13500000.0,500000.0,11100000.0
Amortization Of Intangibles Income Statement,600000.0,13500000.0,500000.0,11100000.0
Depreciation Income Statement,13600000.0,400000.0,12200000.0,500000.0
Selling General And Administration,51050000.0,34544000.0,41367000.0,31335000.0
Selling And Marketing Expense,7910000.0,3860000.0,5638000.0,818000.0
General And Administrative Expense,43140000.0,30684000.0,35729000.0,30517000.0
Other Gand A,43140000.0,30684000.0,35729000.0,30517000.0
Gross Profit,-252256000.0,155306000.0,114049000.0,97208000.0
Cost Of Revenue,910334000.0,423267000.0,315981000.0,267886000.0
Total Revenue,658078000.0,578573000.0,430030000.0,365094000.0
Operating Revenue,657883000.0,574350000.0,428489000.0,364544000.0
