,2024-03-31,2023-09-30,2023-06-30,2023-03-31
Tax Effect Of Unusual Items,521150.543265,,-54406.280667,-30660.0
Tax Rate For Calcs,0.151983,,0.035329,0.21
Normalized EBITDA,-3019000.0,,-1713000.0,-2690000.0
Total Unusual Items,3429000.0,,-1540000.0,-146000.0
Total Unusual Items Excluding Goodwill,3429000.0,,-1540000.0,-146000.0
Net Income From Continuing Operation Net Minority Interest,-6478000.0,,-10813000.0,-11231000.0
Reconciled Depreciation,1094000.0,,1540000.0,1571000.0
Reconciled Cost Of Revenue,5737000.0,,5395000.0,5339000.0
EBITDA,410000.0,,-3253000.0,-2836000.0
EBIT,-684000.0,,-4793000.0,-4407000.0
Net Interest Income,-6955000.0,,-6416000.0,-6594000.0
Interest Expense,6955000.0,,6416000.0,6594000.0
Normalized Income,-9385849.456735,,-9327406.280667,-11115660.0
Net Income From Continuing And Discontinued Operation,-6478000.0,,-10813000.0,-11231000.0
Total Expenses,10043000.0,,8460000.0,8719000.0
Total Operating Income As Reported,-4051000.0,,-3412000.0,-2617000.0
Diluted Average Shares,67663377.0,65616298.0,65616298.0,65616298.0
Basic Average Shares,67663377.0,65616298.0,65616298.0,65616298.0
Diluted EPS,-0.1,-0.180763,-0.164791,-0.171162
Basic EPS,-0.1,-0.180763,-0.164791,-0.171162
Diluted NI Availto Com Stockholders,-6478000.0,,-10813000.0,-11231000.0
Net Income Common Stockholders,-6478000.0,,-10813000.0,-11231000.0
Net Income,-6478000.0,,-10813000.0,-11231000.0
Net Income Including Noncontrolling Interests,-6478000.0,,-10813000.0,-11231000.0
Net Income Continuous Operations,-6478000.0,,-10813000.0,-11231000.0
Tax Provision,-1161000.0,,-396000.0,230000.0
Pretax Income,-7639000.0,,-11209000.0,-11001000.0
Other Income Expense,3538000.0,,-1087000.0,-146000.0
Other Non Operating Income Expenses,109000.0,,453000.0,
Special Income Charges,62000.0,,294000.0,1644000.0
Gain On Sale Of Ppe,62000.0,,391000.0,1317000.0
Other Special Charges,,,,-375000.0
Impairment Of Capital Assets,0.0,,97000.0,48000.0
Gain On Sale Of Security,3367000.0,,-1834000.0,-1790000.0
Net Non Operating Interest Income Expense,-6955000.0,,-6416000.0,-6594000.0
Interest Expense Non Operating,6955000.0,,6416000.0,6594000.0
Operating Income,-4222000.0,,-3706000.0,-4261000.0
Operating Expense,4306000.0,,3065000.0,3380000.0
Depreciation Amortization Depletion Income Statement,1094000.0,,1540000.0,1571000.0
Depreciation And Amortization In Income Statement,1094000.0,,1540000.0,1571000.0
Selling General And Administration,3212000.0,,1525000.0,1809000.0
Selling And Marketing Expense,,,2000.0,
General And Administrative Expense,3212000.0,,1523000.0,1809000.0
Other Gand A,3212000.0,,1523000.0,1809000.0
Salaries And Wages,,,2122000.0,
Gross Profit,84000.0,,-641000.0,-881000.0
Cost Of Revenue,5737000.0,,5395000.0,5339000.0
Total Revenue,5821000.0,,4754000.0,4458000.0
Operating Revenue,5821000.0,,4739000.0,4395000.0
