,2023-09-30,2023-06-30,2023-03-31,2022-12-31
Tax Effect Of Unusual Items,-36750.0,-755370.0,-228690.0,-462694.319893
Tax Rate For Calcs,0.21,0.21,0.21,0.035358
Normalized EBITDA,-12618000.0,-20495000.0,-22702000.0,-31608000.0
Total Unusual Items,-175000.0,-3597000.0,-1089000.0,-13086000.0
Total Unusual Items Excluding Goodwill,-175000.0,-3597000.0,-1089000.0,-13086000.0
Net Income From Continuing Operation Net Minority Interest,-24491000.0,-35652000.0,-34983000.0,-58302000.0
Reconciled Depreciation,9607000.0,9480000.0,9217000.0,13596000.0
Reconciled Cost Of Revenue,66359000.0,66742000.0,67353000.0,47309000.0
EBITDA,-12793000.0,-24092000.0,-23791000.0,-44694000.0
EBIT,-22400000.0,-33572000.0,-33008000.0,-58290000.0
Net Interest Income,-1300000.0,-1549000.0,-1180000.0,-1839000.0
Interest Expense,1604000.0,1701000.0,1577000.0,2149000.0
Interest Income,304000.0,152000.0,397000.0,310000.0
Normalized Income,-24352750.0,-32810370.0,-34122690.0,-45678694.319893
Net Income From Continuing And Discontinued Operation,-24491000.0,-35652000.0,-34983000.0,-58302000.0
Total Expenses,120269000.0,125347000.0,133455000.0,129448000.0
Total Operating Income As Reported,-23409000.0,-33179000.0,-32596000.0,-57362000.0
Diluted Average Shares,5591425.0,5572850.0,5561550.0,5550650.0
Basic Average Shares,5591425.0,5572850.0,5561550.0,5550650.0
Diluted EPS,-4.4,-6.4,-6.4,-8.4
Basic EPS,-4.4,-6.4,-6.4,-8.4
Diluted NI Availto Com Stockholders,-24491000.0,-35652000.0,-34983000.0,-58302000.0
Net Income Common Stockholders,-24491000.0,-35652000.0,-34983000.0,-58302000.0
Net Income,-24491000.0,-35652000.0,-34983000.0,-58302000.0
Net Income Including Noncontrolling Interests,-24491000.0,-35652000.0,-34983000.0,-58302000.0
Net Income Continuous Operations,-24491000.0,-35652000.0,-34983000.0,-58302000.0
Tax Provision,487000.0,379000.0,398000.0,-2137000.0
Pretax Income,-24004000.0,-35273000.0,-34585000.0,-60439000.0
Other Income Expense,530000.0,-4142000.0,-1898000.0,-14324000.0
Other Non Operating Income Expenses,705000.0,-545000.0,-809000.0,-1238000.0
Special Income Charges,-175000.0,-3597000.0,-1089000.0,-13086000.0
Restructuring And Mergern Acquisition,175000.0,3597000.0,1089000.0,13086000.0
Net Non Operating Interest Income Expense,-1300000.0,-1549000.0,-1180000.0,-1839000.0
Interest Expense Non Operating,1604000.0,1701000.0,1577000.0,2149000.0
Interest Income Non Operating,304000.0,152000.0,397000.0,310000.0
Operating Income,-23234000.0,-29582000.0,-31507000.0,-44276000.0
Operating Expense,46429000.0,54817000.0,62492000.0,74801000.0
Depreciation Amortization Depletion Income Statement,2126000.0,5692000.0,5607000.0,6258000.0
Depreciation And Amortization In Income Statement,2126000.0,5692000.0,5607000.0,6258000.0
Research And Development,15958000.0,18739000.0,21016000.0,31741000.0
Selling General And Administration,28345000.0,30386000.0,35869000.0,36802000.0
Selling And Marketing Expense,2661000.0,2727000.0,3571000.0,15802000.0
General And Administrative Expense,25684000.0,27659000.0,32298000.0,21000000.0
Other Gand A,7647000.0,7734000.0,10438000.0,12107000.0
Salaries And Wages,18037000.0,19925000.0,21860000.0,8893000.0
Gross Profit,23195000.0,25235000.0,30985000.0,30525000.0
Cost Of Revenue,73840000.0,70530000.0,70963000.0,54647000.0
Total Revenue,97035000.0,95765000.0,101948000.0,85172000.0
Operating Revenue,97035000.0,95765000.0,101948000.0,85172000.0
