,2023-12-31,2023-09-30
Tax Effect Of Unusual Items,369810.0,146201.427489
Tax Rate For Calcs,0.21,0.072701
Normalized EBITDA,-11508000.0,-14073000.0
Total Unusual Items,1761000.0,2011000.0
Total Unusual Items Excluding Goodwill,1761000.0,2011000.0
Net Income From Continuing Operation Net Minority Interest,-14978000.0,-14681000.0
Reconciled Depreciation,3345000.0,3324000.0
Reconciled Cost Of Revenue,406714000.0,280715000.0
EBITDA,-9747000.0,-12062000.0
EBIT,-13092000.0,-15386000.0
Net Interest Income,-1024000.0,473000.0
Interest Expense,1632000.0,446000.0
Interest Income,608000.0,919000.0
Normalized Income,-16369190.0,-16545798.572511
Net Income From Continuing And Discontinued Operation,-14978000.0,-14681000.0
Total Expenses,473764000.0,336388000.0
Total Operating Income As Reported,-17661000.0,-18818000.0
Diluted NI Availto Com Stockholders,-14978000.0,-14681000.0
Net Income Common Stockholders,-14978000.0,-14681000.0
Net Income,-14978000.0,-14681000.0
Net Income Including Noncontrolling Interests,-14978000.0,-14681000.0
Net Income Continuous Operations,-14978000.0,-14681000.0
Tax Provision,254000.0,-1151000.0
Pretax Income,-14724000.0,-15832000.0
Other Income Expense,3961000.0,2513000.0
Other Non Operating Income Expenses,2200000.0,502000.0
Gain On Sale Of Security,1761000.0,2011000.0
Net Non Operating Interest Income Expense,-1024000.0,473000.0
Interest Expense Non Operating,1632000.0,446000.0
Interest Income Non Operating,608000.0,919000.0
Operating Income,-17620000.0,-18818000.0
Operating Expense,67050000.0,55673000.0
Selling General And Administration,53650000.0,55673000.0
Gross Profit,49430000.0,36855000.0
Cost Of Revenue,406714000.0,280715000.0
Total Revenue,456144000.0,317570000.0
Operating Revenue,456144000.0,317570000.0
