,2024-08-31,2024-05-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0
Normalized EBITDA,-1373878.0,-1664815.0,-843868.0,-1282540.0
Total Unusual Items,,,-4.0,-849.0
Total Unusual Items Excluding Goodwill,,,-4.0,-849.0
Net Income From Continuing Operation Net Minority Interest,-1533519.0,-1987626.0,-871661.0,-1308094.0
Reconciled Depreciation,95414.0,287586.0,24554.0,21470.0
Reconciled Cost Of Revenue,155455.0,173581.0,176116.0,36491.0
EBITDA,-1373878.0,-1664815.0,-843872.0,-1283389.0
EBIT,-1469292.0,-1952401.0,-868426.0,-1304859.0
Net Interest Income,-64227.0,-35225.0,-3235.0,-3226.0
Interest Expense,,,3235.0,3235.0
Interest Income,,,0.0,9.0
Normalized Income,-1533519.0,-1987626.0,-871657.0,-1307245.0
Net Income From Continuing And Discontinued Operation,-1534650.0,-1978717.0,-871661.0,-1308094.0
Total Expenses,1623790.0,2141194.0,1042315.0,1401062.0
Total Operating Income As Reported,-1469292.0,-1952401.0,-900327.0,-1304019.0
Diluted Average Shares,1359126.0,1279165.0,560310.0,538635.0
Basic Average Shares,1359126.0,1279165.0,560310.0,538635.0
Diluted EPS,-1.14,-1.55,-1.57,-2.4
Basic EPS,-1.14,-1.55,-1.57,-2.4
Diluted NI Availto Com Stockholders,-1545338.0,-1989405.0,-882348.0,-1318782.0
Net Income Common Stockholders,-1545338.0,-1989405.0,-882348.0,-1318782.0
Preferred Stock Dividends,10688.0,10688.0,10687.0,10688.0
Net Income,-1534650.0,-1978717.0,-871661.0,-1308094.0
Net Income Including Noncontrolling Interests,-1534650.0,-1978717.0,-871661.0,-1308094.0
Net Income Discontinuous Operations,-1131.0,8909.0,,
Net Income Continuous Operations,-1533519.0,-1987626.0,-871661.0,-1308094.0
Tax Provision,0.0,0.0,0.0,0.0
Pretax Income,-1533519.0,-1987626.0,-871661.0,-1308094.0
Other Income Expense,,,31901.0,-849.0
Other Non Operating Income Expenses,,,31905.0,
Gain On Sale Of Security,,,-4.0,-849.0
Net Non Operating Interest Income Expense,-64227.0,-35225.0,-3235.0,-3226.0
Total Other Finance Cost,64227.0,35225.0,,
Interest Expense Non Operating,,,3235.0,3235.0
Interest Income Non Operating,,,0.0,9.0
Operating Income,-1469292.0,-1952401.0,-900327.0,-1304019.0
Operating Expense,1468335.0,1967613.0,866199.0,1364571.0
Other Operating Expenses,285270.0,356820.0,201366.0,335322.0
Depreciation Amortization Depletion Income Statement,95414.0,287586.0,24554.0,21470.0
Depreciation And Amortization In Income Statement,95414.0,287586.0,24554.0,21470.0
Research And Development,,,245.0,105259.0
Selling General And Administration,1087651.0,1323207.0,640034.0,902520.0
Selling And Marketing Expense,51347.0,156188.0,15797.0,57824.0
General And Administrative Expense,1036304.0,1167019.0,624237.0,844696.0
Other Gand A,393704.0,523873.0,251265.0,152025.0
Salaries And Wages,642600.0,643146.0,372972.0,692671.0
Gross Profit,-957.0,15212.0,-34128.0,60552.0
Cost Of Revenue,155455.0,173581.0,176116.0,36491.0
Total Revenue,154498.0,188793.0,141988.0,97043.0
Operating Revenue,154498.0,188793.0,141988.0,97043.0
