,2024-09-30,2024-06-30,2024-03-31,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0,0.0,0.0
Normalized EBITDA,-468000.0,396000.0,-676000.0,-1284000.0,-2240000.0
Total Unusual Items,0.0,-1261000.0,,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-1261000.0,,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,-567000.0,-1050000.0,-809000.0,-1434000.0,-2414000.0
Reconciled Depreciation,96000.0,180000.0,133000.0,129000.0,129000.0
Reconciled Cost Of Revenue,,,,1000.0,0.0
EBITDA,-468000.0,-865000.0,-676000.0,-1284000.0,-2240000.0
EBIT,-564000.0,-1045000.0,-809000.0,-1414000.0,-2369000.0
Net Interest Income,-3000.0,-5000.0,0.0,-20000.0,-45000.0
Interest Expense,3000.0,5000.0,0.0,20000.0,45000.0
Normalized Income,-567000.0,211000.0,-809000.0,-1434000.0,-2414000.0
Net Income From Continuing And Discontinued Operation,-609000.0,-1090000.0,-734000.0,-3378000.0,-2414000.0
Total Expenses,1406000.0,1413000.0,1455000.0,1720000.0,2909000.0
Total Operating Income As Reported,-859000.0,-2440000.0,-1142000.0,-1773000.0,-2472000.0
Diluted Average Shares,11532000.0,11532000.0,11532000.0,10701000.0,10219000.0
Basic Average Shares,11532000.0,11532000.0,11532000.0,10701000.0,10219000.0
Diluted EPS,-0.05,-0.09,-0.06,-0.32,-0.24
Basic EPS,-0.05,-0.09,-0.06,-0.32,-0.24
Diluted NI Availto Com Stockholders,-609000.0,-1090000.0,-734000.0,-3378000.0,-2414000.0
Net Income Common Stockholders,-609000.0,-1090000.0,-734000.0,-3378000.0,-2414000.0
Net Income,-609000.0,-1090000.0,-734000.0,-3378000.0,-2414000.0
Net Income Including Noncontrolling Interests,-609000.0,-1090000.0,-734000.0,-3378000.0,-2414000.0
Net Income Discontinuous Operations,-42000.0,-40000.0,75000.0,-1944000.0,0.0
Net Income Continuous Operations,-567000.0,-1050000.0,-809000.0,-1434000.0,-2414000.0
Tax Provision,0.0,0.0,0.0,0.0,0.0
Pretax Income,-567000.0,-1050000.0,-809000.0,-1434000.0,-2414000.0
Other Income Expense,295000.0,134000.0,333000.0,359000.0,103000.0
Other Non Operating Income Expenses,295000.0,1395000.0,333000.0,359000.0,103000.0
Special Income Charges,0.0,-1261000.0,,0.0,0.0
Impairment Of Capital Assets,0.0,1261000.0,,0.0,0.0
Net Non Operating Interest Income Expense,-3000.0,-5000.0,0.0,-20000.0,-45000.0
Interest Expense Non Operating,3000.0,5000.0,0.0,20000.0,45000.0
Operating Income,-859000.0,-1179000.0,-1142000.0,-1773000.0,-2472000.0
Operating Expense,1406000.0,1413000.0,1455000.0,1720000.0,2909000.0
Depreciation Amortization Depletion Income Statement,96000.0,180000.0,133000.0,130000.0,128000.0
Depreciation And Amortization In Income Statement,96000.0,180000.0,133000.0,130000.0,128000.0
Selling General And Administration,1310000.0,1233000.0,1322000.0,1590000.0,2781000.0
Gross Profit,547000.0,234000.0,,-53000.0,437000.0
Cost Of Revenue,,,,0.0,0.0
Total Revenue,547000.0,234000.0,313000.0,-53000.0,437000.0
Operating Revenue,547000.0,234000.0,313000.0,-53000.0,437000.0
