,2023-09-30,2023-06-30
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-7295000.0,-9011000.0
Net Income From Continuing Operation Net Minority Interest,-4436000.0,-4173000.0
Reconciled Depreciation,1569000.0,1626000.0
Reconciled Cost Of Revenue,43977000.0,30551000.0
EBITDA,-7295000.0,-9011000.0
EBIT,-8864000.0,-10637000.0
Net Interest Income,-4257000.0,-3949000.0
Interest Expense,4257000.0,3949000.0
Normalized Income,-4436000.0,-4173000.0
Net Income From Continuing And Discontinued Operation,-4436000.0,-4173000.0
Total Expenses,64429000.0,46000000.0
Total Operating Income As Reported,-8864000.0,-10637000.0
Diluted Average Shares,8880552.0,7197137.0
Basic Average Shares,8880552.0,7197137.0
Diluted EPS,-0.5,-0.58
Basic EPS,-0.5,-0.58
Diluted NI Availto Com Stockholders,-4436000.0,-4173000.0
Net Income Common Stockholders,-4436000.0,-4173000.0
Net Income,-4436000.0,-4173000.0
Minority Interests,8685000.0,10413000.0
Net Income Including Noncontrolling Interests,-13121000.0,-14586000.0
Net Income Continuous Operations,-13121000.0,-14586000.0
Tax Provision,0.0,0.0
Pretax Income,-13121000.0,-14586000.0
Net Non Operating Interest Income Expense,-4257000.0,-3949000.0
Interest Expense Non Operating,4257000.0,3949000.0
Operating Income,-8864000.0,-10637000.0
Operating Expense,20452000.0,15449000.0
Selling General And Administration,20452000.0,15449000.0
Selling And Marketing Expense,10330000.0,6179000.0
General And Administrative Expense,10122000.0,9270000.0
Other Gand A,10122000.0,9270000.0
Gross Profit,11588000.0,4812000.0
Cost Of Revenue,43977000.0,30551000.0
Total Revenue,55565000.0,35363000.0
Operating Revenue,55565000.0,35363000.0
